pair_ID,sentence_A,sentence_B,entailment_label,relatedness_score,entailment_AB,entailment_BA,sentence_A_original,sentence_B_original,sentence_A_dataset,sentence_B_dataset,SemEval_set
8067,,,sick,,,,,A brown dog is running through a snowy trail,A white dog is running through a snowy trail,,neutral
4541,,,sick,,,,,A cat is sliding upside down under a couch,An animal is crawling under a piece of furniture,,entailment
4940,,,sick,,,,,An officer is talking to the recruits,The recruits are barking at the military officer,,neutral
6700,,,sick,,,,,A group of people is sitting on both sides of a red stone structure,Some people are sitting on the ground outside a monument,,neutral
6300,,,sick,,,,,A shoeless woman is sitting on a blanket under a lavender umbrella,A shoeless woman is standing over a blanket near a lavender umbrella,,neutral
6513,,,sick,,,,,There is no little black dog chasing a little brown dog,A brown dog and a black dog are in the grass,,neutral
6696,,,sick,,,,,A group of people is sitting relaxed on both sides of a red stone monument,A group of people is sitting on both sides of a red stone structure,,entailment
733,,,sick,,,,,The man in the purple hat is operating a camera that makes videos,The subject is being studied by a man with a camera,,neutral
4396,,,sick,,,,,A guy is not riding a horse,A man is riding a horse in the desert,,neutral
9447,,,sick,,,,,The dog is jumping in the shade of some trees,A dog is jumping in the shade of some trees,,entailment
8479,,,sick,,,,,A young man on a bmx bicycle is jumping on a masonry pyramid,A young man on a bmx bicycle is jumping off a masonry pyramid,,entailment
4853,,,sick,,,,,A man is playing an electronic keyboard,An electronic keyboard is being played by a man,,entailment
2091,,,sick,,,,,A white car is being driven by the man,A person is driving the white car,,entailment
410,,,sick,,,,,A group of scouts are hiking through the grass,Some people are walking,,entailment
1682,,,sick,,,,,The man is pouring some oil on the tomatoes,Somebody is pouring tomato oil on the man,,neutral
8381,,,sick,,,,,The young girl in blue is having fun on a slide,The young girl in blue is enjoying a slide,,entailment
2457,,,sick,,,,,A baby rhino is walking around a pen with its mother,A baby and an adult are being followed by a rhino,,neutral
6161,,,sick,,,,,A boy and a girl in swimsuits are wearing arm floats,A boy and a girl in swimsuits are wearing floats for their arms,,entailment
2627,,,sick,,,,,The man with a hard hat is dancing,A man is wearing a hard hat and dancing,,entailment
4869,,,sick,,,,,A woman is cutting potatoes,A woman is slicing potatoes,,entailment
5895,,,sick,,,,,A dog is running on the ground,A girl is tapping her fingernails,,neutral
5617,,,sick,,,,,A person is severing the toe of an empty leather boot with a sword,A man is severing the toe of an empty leather boot with a sword,,entailment
3243,,,sick,,,,,A squirrel is running in circles,An animal is running tiredly in circles,,neutral
2545,,,sick,,,,,Someone is slicing a tomato,The person is slicing a vegetable,,entailment
8589,,,sick,,,,,A man with a white hat and brown shirt is behind a woman in red and is looking to the right,A man with a white hat and brown shirt is behind a woman in red and is looking to the left,,neutral
5435,,,sick,,,,,Two baby pandas are playing,Two cubs are playing,,entailment
8532,,,sick,,,,,A light brown dog is running in the water,A light brown dog is sprinting in the water,,entailment
6345,,,sick,,,,,A white dog is wearing a Christmas reindeer headband and is playing with a brown dog in the grass,The white dog wearing reindeer ears is near a brown dog,,entailment
7606,,,sick,,,,,A young woman is getting a tattoo on her hand,A girl is getting a tattoo on her hand,,entailment
4346,,,sick,,,,,A man is eating a banana,Someone is removing the peel of a banana,,neutral
3623,,,sick,,,,,Some fish are swimming,A fish is swimming,,entailment
1935,,,sick,,,,,The baby is being put into a trash can by a woman,A woman is putting the baby into a trash can,,entailment
3643,,,sick,,,,,A man is holding a frog,The woman is handling a frog,,neutral
2701,,,sick,,,,,The man is singing and playing the guitar,A man is playing a guitar,,entailment
959,,,sick,,,,,"Two toddlers are eating corndogs in a wagon, which is really small",Two young kids are eating corndogs,,entailment
6987,,,sick,,,,,A family is posing by the mantel and the Christmas tree,A happy family is posing by the fireplace,,neutral
2896,,,sick,,,,,A man is lifting barbells,The man is lifting weights,,entailment
9368,,,sick,,,,,A man in a red jacket and khaki pants is walking through an American state,A person in a red jacket and khaki pants is walking through an American state,,entailment
6992,,,sick,,,,,Two twin preteen boys are dueling with sticks,Two boys are wearing brown shirts and are enthusiastically tugging at a rope on a wooden platform,,neutral
8852,,,sick,,,,,A black dog on a leash is walking in the water,A white dog on a leash is walking in the water,,neutral
7397,,,sick,,,,,A yellow kayak is being ridden by a man and a young boy,A man and a young boy are riding in a yellow kayak,,entailment
1524,,,sick,,,,,A woman is cutting some plants,A woman is cutting broccoli,,neutral
2890,,,sick,,,,,The man is lifting barbells,A man is lifting barbells,,entailment
7402,,,sick,,,,,There is no man and child kayaking through gentle waters,A man and a young boy are riding in a yellow kayak,,neutral
6834,,,sick,,,,,A little boy is running on the ground and playing with a little girl,The little boy is running on the ground and playing with a little girl,,entailment
7670,,,sick,,,,,The man is doing a handstand on the wet sand at the edge of the water at the beach,A handstand is being performed by a man on the beach,,entailment
3018,,,sick,,,,,Three teenage girls are dancing in the room,Three teenage girls are idling in the room,,neutral
375,,,sick,,,,,A man with tattoos is holding a couch with a pencil,A man with tattoos is lounging on a couch and holding a pencil,,neutral
7483,,,sick,,,,,Two guys are sitting around a table and holding beers in their hands,A man in a white shirt and sunglasses and a man in a black shirt and sunglasses are sitting at a table with four bottles of beer,,neutral
991,,,sick,,,,,"The man and the boy are standing at the bottom of the stairs, which are outdoors",The man is standing outdoor and the boy is falling over the bottom of the stairs,,neutral
1580,,,sick,,,,,"A badger, which is shrewd, is digging the earth",A badger is shrewdly digging the earth,,entailment
2123,,,sick,,,,,The cat is licking a shallow dish full of milk,The cat is hungrily drinking milk,,neutral
7335,,,sick,,,,,A mountain is being climbed by two men,The men are climbing a mountain,,entailment
8504,,,sick,,,,,The man is going into the water,The person is going into the water,,entailment
7457,,,sick,,,,,A surfer is riding the wave,The wave is being ridden by a surfer,,entailment
8213,,,sick,,,,,There is no girl with black and orange patches on the cheeks,A girl is standing in a group and is wearing a black shirt and pink beads,,neutral
7554,,,sick,,,,,A young girl in a blue leotard is jumping in the air,A young girl in blue is jumping in the air,,entailment
1680,,,sick,,,,,Some oil is being poured on the tomatoes by the man,The man is pouring some oil on the tomatoes,,entailment
6711,,,sick,,,,,"A child, who is small, is outdoors climbing steps outdoors in an area full of grass",A small child in a pink sweater is climbing a concrete staircase,,neutral
9015,,,sick,,,,,A young girl with a heart tank top is raising her hands as she is playing on a slide,A young girl with a heart tank top is raising her hands as she is sliding,,entailment
6123,,,sick,,,,,A boy wearing red shorts is jumping into a paddling pool,A kid wearing red shorts is jumping into a paddling pool,,entailment
7375,,,sick,,,,,A man is standing on the top of the rocks with clouds behind them,A person is sitting on a mountain top,,neutral
9859,,,sick,,,,,The men are packing suitcases into the trunk of a car,The young boy is running through the ocean waves,,neutral
7564,,,sick,,,,,A small boy in a striped shirt is sliding out of a green tube,A little boy is crawling in a green tunnel with a smile on his face,,neutral
5755,,,sick,,,,,The man is playing a game on the grass,There is no rhino grazing on the grass,,neutral
5521,,,sick,,,,,A man is erasing some figures,A man is drawing on a digital dry erase board,,neutral
5875,,,sick,,,,,An animal is biting a person's finger,An animal is biting someone's finger,,entailment
9254,,,sick,,,,,A woman is sitting near a flower bed and is overlooking a tunnel,Two people are standing on a bench,,neutral
1517,,,sick,,,,,Some women are holding each other in a circle and dancing,Two men are playing table tennis,,neutral
434,,,sick,,,,,The helmeted girl is riding a bike,The helmeted girl is perching on a bike,,neutral
2577,,,sick,,,,,A man is playing a bamboo flute,A flute is being played by the man,,entailment
2593,,,sick,,,,,A tiger is walking around with no aim,A tiger is walking around aimlessly,,entailment
7557,,,sick,,,,,A small boy in a striped shirt is sliding out of a green tube,A little boy in a striped shirt is sliding out of a green tube,,entailment
5902,,,sick,,,,,A man and a woman are driving down the street in a jeep,A man and a woman are driving down the road in a car,,entailment
9307,,,sick,,,,,A man in a red shirt is doing a trick with a skateboard,A skateboarder is jumping in the air,,neutral
2655,,,sick,,,,,The lady is carefully slicing up the meat,The lady is slicing up the meat,,entailment
531,,,sick,,,,,A black helmet is being worn by a man who is pushing a bicycle,One man is wearing a black helmet and pushing a bicycle,,entailment
7344,,,sick,,,,,One man is climbing a rock wall and another man is holding a rope,The men are not climbing a mountain,,neutral
3958,,,sick,,,,,The boy is not riding a bike on the top of a metal fence,A biker is riding along the top of a fence,,neutral
3853,,,sick,,,,,A cat is playing a piano,A cat is playing keyboards,,entailment
6913,,,sick,,,,,A woman wearing casual clothing is keeping her mouth closed and is near other people dressed differently,A woman is wearing a blue shirt with a white vest and a white cap and is talking and marching,,neutral
1607,,,sick,,,,,A snake is being fed a mouse by a man,One man is feeding a mouse to the snake,,entailment
5620,,,sick,,,,,A woman is severing the toe of an empty leather boot with a sword,A man is cutting a boot with a sword,,entailment
2748,,,sick,,,,,The lady is breaking eggs that are raw into a bowl,The woman is cracking eggs into a bowl,,entailment
9285,,,sick,,,,,A man is skiing down a hill and over a red obstacle,A man is skiing down a hill and jumping a red obstacle,,entailment
6246,,,sick,,,,,A brown dog is sitting down,A malnourished looking dog is standing on its hind legs and preparing to jump,,neutral
2340,,,sick,,,,,The oriental lady is cutting a carrot into pieces that are thin,A woman is slicing a carrot,,entailment
3920,,,sick,,,,,The women are dancing outside,A group of people are dancing,,entailment
4458,,,sick,,,,,The rhino is grazing on the grass,A animal is grazing in a field,,entailment
8689,,,sick,,,,,Three children are running down a grassy hillside,Three children are running down a hillside covered by grass,,entailment
5534,,,sick,,,,,A group of people are dancing at a concert,A group of people are dancing in a show,,entailment
7714,,,sick,,,,,The blonde girl with the pink top is smiling and wearing funny glasses with a large nose attached,A little girl is smiling and wearing a fake nose and glasses,,entailment
8748,,,sick,,,,,Three people are walking across a rope and steel bridge over a river,People are walking across a rope bridge over a rocky stream,,entailment
3041,,,sick,,,,,The puppy is playing with a plastic container,The dog is playing with a plastic container,,entailment
9385,,,sick,,,,,A kid is splashing in the pool,A kid is splashing in the ocean,,neutral
3221,,,sick,,,,,A boy is fearfully walking across a bridge,A boy is walking across a bridge,,entailment
8987,,,sick,,,,,A young girl in a bikini is jumping on the beach,A young girl in a bikini is sitting on the beach,,neutral
6879,,,sick,,,,,The large brown dog is running outdoors in the dirt,The large brown dog is running outside in the dirt,,entailment
7925,,,sick,,,,,Four athletes are with a man in a crowded stadium,Four athletes are with a person in a crowded stadium,,entailment
4349,,,sick,,,,,There is no man eating a banana,Someone is peeling a banana,,neutral
7884,,,sick,,,,,Three people are driving four wheel ATVs in a field,ATVs are being driven by three people,,entailment
4689,,,sick,,,,,A woman is slicing an onion,A woman is slicing garlic,,neutral
1,,,sick,,,,,A group of kids is playing in a yard and an old man is standing in the background,A group of boys in a yard is playing and a man is standing in the background,,neutral
1378,,,sick,,,,,A steak is being rinsed with water by a person,A person is rinsing a steak with water,,entailment
9482,,,sick,,,,,A black dog and a tan dog are fighting,A black dog and a white dog are wrestling on the floor,,neutral
2436,,,sick,,,,,A man is idling,A man is playing the keyboard with his nose,,neutral
5919,,,sick,,,,,A person is riding a horse,There is no woman slicing potatoes,,neutral
9720,,,sick,,,,,A kid wearing a striped shirt is running barefoot on the sandy hill,A boy is running through the sand,,entailment
9577,,,sick,,,,,A small black and white dog is carrying a stick and is swimming,A small black and white dog is biting a stick and is swimming,,entailment
4154,,,sick,,,,,A man is playing a wooden flute,A wooden flute is being played by a man,,entailment
6191,,,sick,,,,,The group of people is sitting on a rocky ledge and a scenic view is behind them,Four people are sitting on a low cement ledge,,neutral
8327,,,sick,,,,,Some bikers are doing acrobatics on a track near water and a skyline,Some bikers are getting airborne on a track near water and a skyline,,entailment
2145,,,sick,,,,,The man is slicing potatoes,A potato is being peeled by a woman,,neutral
5311,,,sick,,,,,A wind instrument is being played by a girl,A girl is playing a wind instrument,,entailment
5191,,,sick,,,,,A man is petting two dogs,A woman is pouring eggs into a frying pan,,neutral
4205,,,sick,,,,,A man is slicing some bread,A man is cutting a slice of bread,,entailment
3062,,,sick,,,,,A man is talking to the woman who is seated beside him and is driving a car,A woman is driving a car and is talking to the man who is seated beside her,,entailment
2554,,,sick,,,,,A little girl is playing a grand piano on stage,A little girl is playing the piano,,entailment
978,,,sick,,,,,A man is laying a cover over a wild horse that is falling on the track,A man is falling off a horse on a track and is laid in the wild,,neutral
7461,,,sick,,,,,There is no surfer riding the wave,A man is performing a trick on a surfboard in the water,,neutral
4965,,,sick,,,,,A woman is cutting a fish,A woman is slicing a fish,,entailment
9006,,,sick,,,,,A man in a black hat is reaching for a box,A person in a black hat is reaching for a box,,entailment
8614,,,sick,,,,,A man is wearing a beret and is riding the bicycle on a recreation trail,A woman is wearing a beret and is riding the bicycle on a recreation trail,,neutral
1387,,,sick,,,,,A person is riding an old motorcycle,A person is riding a motorcycle,,entailment
2086,,,sick,,,,,A woman is beating two eggs in a bowl and using a whisk made of wire,A strong person is leaving the whisk in the bowl near the eggs,,neutral
2857,,,sick,,,,,Two cats are lying together,Two cats are fighting each other,,neutral
6731,,,sick,,,,,A child is making a snow ball,A child in orange is playing outdoors with a snowball,,entailment
2208,,,sick,,,,,Two kids are playing in a swimming pool with a green colored crocodile float,An inflatable crocodile is being pushed by two kids in a pool,,neutral
2397,,,sick,,,,,Somebody is cutting a tomato,Someone is cutting a tomato,,entailment
6381,,,sick,,,,,There is no surfer leaning on a surfboard,The man is wearing a wetsuit and is riding a surfboard,,neutral
3567,,,sick,,,,,The piece of paper is being cut,Some paper is being cut,,entailment
8424,,,sick,,,,,A skier in black is catching a tiny bit of air,A skier dressed in black is catching a tiny bit of air,,entailment
500,,,sick,,,,,A black person is running along a white stand and a dog barks behind him,A little dog is sprinting and its owner is trying to catch it,,neutral
4611,,,sick,,,,,A man is driving a car,A man is driving a vehicle,,entailment
391,,,sick,,,,,A man with paint covered clothes is sitting outside in a busy area writing something,A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,,entailment
956,,,sick,,,,,"Some corndogs are being eaten by two toddlers who are in a wagon, which is really small",Two young kids are eating corndogs,,entailment
4961,,,sick,,,,,A child is walking down the street and a jeep is not pulling up,A man in a car is pulling up beside a woman that is who along a road,,neutral
7208,,,sick,,,,,A dog with a blue blanket is running through the grass,A dog with a muzzle and a blue jacket is resting in the yard,,neutral
2688,,,sick,,,,,A person is cutting a capsicum into pieces,One person is slicing a clove of garlic into pieces,,neutral
6899,,,sick,,,,,A young man with brown hair and shades is sitting in front of some cans of soda,A young man with brown hair and sunglasses is sitting in front of some cans of soda,,entailment
7314,,,sick,,,,,A man is wearing a straw hat and smoking a cigarette,The man in the straw hat is smoking a cigarette,,entailment
2970,,,sick,,,,,A big green ball is knocking a potato,A large green ball is missing a potato,,neutral
4275,,,sick,,,,,A man and a woman are shaking hands,Two persons are shaking hands,,entailment
4344,,,sick,,,,,Someone is peeling a banana,Someone is removing the peel of a banana,,entailment
8175,,,sick,,,,,"A brown and white dog is jumping over a red, yellow and white hurdle","A brown and white dog is passing under a red, yellow and white hurdle",,neutral
3999,,,sick,,,,,A man is singing and playing a guitar,There is no boy playing a piano,,neutral
120,,,sick,,,,,Five wooden stands are in front of each child's hut,Five children are standing in front of a wooden hut,,neutral
4950,,,sick,,,,,A baby elephant is eating a small tree,There is no little girl peddling a scooter,,neutral
1129,,,sick,,,,,The turtle is following the red fish,The turtle is following the fish,,entailment
2713,,,sick,,,,,The man is clumsily kick boxing with a trainer,The man is kick boxing with a trainer,,entailment
8120,,,sick,,,,,Some cheerleaders are taking a break,Some cheerleaders are relaxing,,entailment
7784,,,sick,,,,,The muscular black man is dancing and the man behind him is wearing green beads,The shirtless man in striped shorts and sunglasses is not standing near a man in a white shirt and sunglasses,,neutral
7666,,,sick,,,,,The man is doing a handstand on the wet shore at the edge of the water at the beach,The man is doing a handstand on the wet sand at the edge of the water at the beach,,entailment
1474,,,sick,,,,,Three men are jumping off a wall,"Three young men are running, jumping and kicking near a vending machine",,neutral
1970,,,sick,,,,,"The woman is happily playing a guitar, which is acoustic, and singing",A person is playing a guitar and singing,,entailment
1082,,,sick,,,,,A dog of large size is running on the grass with a tennis ball in its mouth,A large dog is running on the grass with a tennis ball in its mouth,,entailment
6648,,,sick,,,,,Football players in red and white are jumping and hugging each other,A football player in a red and white uniform is being lifted by two teammates,,neutral
8090,,,sick,,,,,A black and white dog is playing with a tattered volleyball in a brown field,A black and white dog is playing with a broken volleyball,,entailment
2014,,,sick,,,,,A magic trick is being performed by the magician,The man is doing a magic trick,,entailment
9037,,,sick,,,,,Two dogs are playing on a beach made of rocks,A black dog is approaching a golden dog on pebbly beach,,neutral
984,,,sick,,,,,A man is falling off a horse on a track and is laid in the wild,The cowboy is tossing the blue and red pants towards the horse,,neutral
3162,,,sick,,,,,The man is not cutting the tape on the box,A man is cutting a box,,neutral
8759,,,sick,,,,,A young boy is jumping into water,A young kid is jumping into water,,entailment
9736,,,sick,,,,,The woman is wearing ear protection and is firing a gun at an indoor shooting range,A woman is shooting at target practice,,entailment
9877,,,sick,,,,,A man is putting garlic on some bread slices,A person is bowling the ingredients to the man at the mixer,,neutral
5788,,,sick,,,,,A fish is being cut by a man,A man is cutting a fish,,entailment
734,,,sick,,,,,The man in the purple hat is operating a camera that makes videos,There is no man with a camera studying the subject,,neutral
2020,,,sick,,,,,A man is dangerously throwing knives at the tree,The man is doing a magic trick,,neutral
3938,,,sick,,,,,A boy is attentively looking at a calendar,A boy is checking a calendar,,entailment
7019,,,sick,,,,,A child in light colored clothing is standing with his arms extended outward,A child in light colored clothing is lying with his arms crossed,,neutral
5072,,,sick,,,,,A woman is frying something in a pan,The guitar is being played by a man,,neutral
2960,,,sick,,,,,A man is eating a banana,The man is not eating a banana by a tree,,neutral
883,,,sick,,,,,Some cheers are being performed by the girl in the blue and white uniform,"A girl in a uniform, which is blue, is raising her arm.",,neutral
1147,,,sick,,,,,A woman is dipping a shrimp in batter,A man is driving a car,,neutral
4181,,,sick,,,,,A dog is eating a doll,A dog is biting a doll,,entailment
8705,,,sick,,,,,A shirtless man is posing with a girl who is hiking in a park,A shirtless person is posing with a girl who is hiking in a park,,entailment
2865,,,sick,,,,,Two people are riding a motorcycle,Two people are driving a motorcycle,,entailment
7006,,,sick,,,,,"A dog, which is white, is standing on fallen leaves",A white dog is standing on fallen leaves,,entailment
979,,,sick,,,,,A man is abruptly falling off a horse on a track laid in the wild,A horse is tossing the cowboy wearing pants of blue and red color,,neutral
8629,,,sick,,,,,Five adults are sitting on a chair,People are sitting against a wall,,neutral
1434,,,sick,,,,,A man is playing a guitar,A musician is playing a keyboard,,neutral
5356,,,sick,,,,,The lady is peeling the potato,The potato is being peeled by the lady,,entailment
7793,,,sick,,,,,There is no person wearing grey pants who is airborne on a snowboard,A snowboarding man is jumping through the air,,neutral
4301,,,sick,,,,,An airplane is taking off,A plane is taking off,,entailment
2724,,,sick,,,,,A woman on a boulder is lying on a blanket and reading a book,A woman on a rock is lying on a blanket and reading a book,,entailment
802,,,sick,,,,,"Two people are in the snow, wearing clothes that provide camouflage",Two men are walking two dogs with golden coats in the snow,,neutral
7878,,,sick,,,,,Three people are driving ATVs,ATVs are being driven by three people,,entailment
9709,,,sick,,,,,A black and white dog is carrying a big stick on the green grass,A black and white dog with a large branch is running in the field,,entailment
2455,,,sick,,,,,A baby rhino is walking around a pen with its mother,"A rhino, which is little, is following an adult rhino",,entailment
5762,,,sick,,,,,A woman is cracking eggs,A woman is breaking eggs,,entailment
6579,,,sick,,,,,The tan dog is watching a brown dog that is swimming in a pond,A pet dog is standing on the bank and is looking at another brown dog in the pond,,neutral
9903,,,sick,,,,,One climber is holding a rock and another man is roping a wall,The black and white dog is running outdoors,,neutral
8502,,,sick,,,,,The man is going into the lake,The person is going into the water,,entailment
7996,,,sick,,,,,Children in swimming suits are playing in the water,The boys are wearing bathing suits and water is splashing around,,neutral
3340,,,sick,,,,,A man is standing on the top of a roof and playing a violin,A man is dancing on a roof ,,neutral
1466,,,sick,,,,,Three men are jumping off a tall wall,Three men are jumping off a wall,,entailment
2374,,,sick,,,,,The man is playing an acoustic guitar,One man is playing the guitar,,entailment
7213,,,sick,,,,,A brown dog is running breathlessly across the yard with a toy in its mouth,A brown dog is running across the yard with a toy in its mouth,,entailment
5952,,,sick,,,,,The dog is catching a ball,A dog is catching a ball,,entailment
8072,,,sick,,,,,A brown dog is running through a snowy trail,A dog is running on a snowy path,,entailment
3987,,,sick,,,,,A woman is slicing a tomato,The woman is peeling a potato,,neutral
4507,,,sick,,,,,The doctors are reviving a man,The doctor is helping the patient,,entailment
2853,,,sick,,,,,A woman is cooking eggs,The woman is cooking something,,entailment
8581,,,sick,,,,,A tan dog which is dirty is rolling in the dirt and looking right at the camera,A dog is rolling on the ground,,entailment
1873,,,sick,,,,,Some kittens are hungry,Some kittens are eating,,neutral
4633,,,sick,,,,,A man is playing a violin,The baby is laughing and crawling,,neutral
6006,,,sick,,,,,The girl is carrying a sign and a group of people is following her,The girl is carrying a sign and is being followed by a group of people,,entailment
3574,,,sick,,,,,Paper is being cut with scissors,The piece of paper is being cut,,entailment
7508,,,sick,,,,,Two dogs are battling for a frisbee in a lake,Two dogs are fighting for a frisbee in a lake,,entailment
7542,,,sick,,,,,A football player in a purple jersey is running with the ball for a touchdown,A person playing football is running past an official carrying a football,,neutral
2094,,,sick,,,,,The man is granting an interview,A person is driving the white car,,neutral
5781,,,sick,,,,,A boy is talking to a leaf,A young man is talking to a leaf,,entailment
6687,,,sick,,,,,A group of kids is playing on a structure which is colorful,A group of kids is playing on a colorful structure,,entailment
4076,,,sick,,,,,One man is riding a horse,The man is riding a horse,,entailment
200,,,sick,,,,,A motorcyclist is riding a motorbike dangerously along a roadway,A motorcyclist is riding a motorbike along a roadway,,entailment
2146,,,sick,,,,,The man is slicing potatoes,There is no woman peeling a potato,,neutral
4257,,,sick,,,,,The horse is being ridden by the girl,The girl is riding the horse,,entailment
2980,,,sick,,,,,Two teams are enthusiastically playing soccer,Different teams are playing football on a field,,entailment
961,,,sick,,,,,"A man in a shirt dyed purple is walking away from a man in a black shirt, who is serious",A man in a shirt dyed purple is looking at a man in a black shirt who is doing a funny face,,entailment
5039,,,sick,,,,,A man is slicing onions,A man is cutting onions,,entailment
9821,,,sick,,,,,A big dog and a small white dog are playing together,Two construction workers are sitting up on the top of a building,,neutral
8028,,,sick,,,,,A tan skinned kid is looking at the camera,A tan skinned child is looking at the camera,,entailment
6390,,,sick,,,,,A waterfall is flowing into a shallow pool,"The people are walking on the road beside a waterfall, which is beautiful",,neutral
9058,,,sick,,,,,A dog is standing on the side of a mountain,A dog is standing on a mountain,,entailment
81,,,sick,,,,,A little girl is looking at a woman in costume,People wearing costumes are scattering in a forest and are looking in different directions,,neutral
8289,,,sick,,,,,A dog is running on the sea shore,A dog is running on the beach,,entailment
5525,,,sick,,,,,A woman is cutting onions,A woman is chopping onions,,entailment
8611,,,sick,,,,,A person on a yellow clean bike is taking a jump,A cyclist on a yellow bike is airborne,,entailment
404,,,sick,,,,,Some people are walking,People are walking,,entailment
4047,,,sick,,,,,A man is slowly dancing on the road,A man is dancing on the road,,entailment
4901,,,sick,,,,,There is no man sharpening a knife,A man is carrying a woman,,neutral
6342,,,sick,,,,,The white dog wearing reindeer ears is close to a brown dog,A white dog is wearing a Christmas reindeer headband and is playing with a brown dog in the grass,,neutral
277,,,sick,,,,,A boy is standing in the water,The kid is swimming through the blue ocean,,neutral
2365,,,sick,,,,,The person is setting fire to the cameras,A person is repairing some cameras with a blow torch,,neutral
6584,,,sick,,,,,A young female is dancing,A young girl is dancing,,entailment
7973,,,sick,,,,,Two poodles are in the snow and one is lying down,Two poodles are in the snow and one is jumping high,,neutral
2368,,,sick,,,,,A man is playing the guitar,One man is playing the guitar,,entailment
3748,,,sick,,,,,A man is putting down the guitar,A woman is playing a guitar,,neutral
2330,,,sick,,,,,A person is cutting an onion,A person is eating a cut onion,,neutral
4998,,,sick,,,,,A man is reading an email,A person is peeling a banana,,neutral
8340,,,sick,,,,,A man is doing a skateboard trick on an outdoor park porch,A person is doing a trick on a skateboard,,entailment
1317,,,sick,,,,,A person is performing a card trick,A man is frying a tortilla,,neutral
3253,,,sick,,,,,A woman is taking two eggs out of a pot of water,A woman is boiling eggs,,neutral
862,,,sick,,,,,A black person in white is joyfully running with the dog on the grass,One white dog and one black one are running side by side on the grass,,neutral
3701,,,sick,,,,,A woman is putting make-up on,The woman is putting make-up on,,entailment
2592,,,sick,,,,,A tiger is walking outside a cage,A tiger is walking around a cage,,entailment
8859,,,sick,,,,,A little girl in a green coat and a boy holding a red sled are walking in the snow,A little girl in a green coat and a boy holding a red sled are lying in the snow,,neutral
811,,,sick,,,,,There is no girl wearing a t-shirt and keeping her mouth open,"A girl from Asia, in front of a brick window, looks surprised",,neutral
7724,,,sick,,,,,A boy under an umbrella is being held by his father who is wearing a coat dyed in blue,A boy under an umbrella is being held by his father who is wearing a blue coat,,entailment
9676,,,sick,,,,,A young girl is playing on the edge of a fountain and an older woman is not watching her,A little girl and a woman wearing a yellow shirt are getting splashed by a city fountain,,neutral
2243,,,sick,,,,,A dog is pushing a toddler into a puddle of rain,The dog is knocking a boy into the water,,entailment
5056,,,sick,,,,,A man is opening a door,A man is cutting an onion,,neutral
3884,,,sick,,,,,A man is dancing upside-down on the ceiling,A man is dancing on the ceiling of a room,,entailment
2012,,,sick,,,,,The man is on the ride with the horse,A man is riding a motorbike,,neutral
1404,,,sick,,,,,A man is chopping butter into a small container,A man is chopping butter into a container,,entailment
9879,,,sick,,,,,A homeless man is holding up a sign and is begging for money,The cat is hungrily drinking milk,,neutral
486,,,sick,,,,,Two brown dogs are fighting over a red ball and are playing in the grass,Two dogs are playing with a small red ball,,neutral
5811,,,sick,,,,,A man is shooting with a bow,A man is rowing a boat,,neutral
8719,,,sick,,,,,Two white dogs are running together,Two black puppies are playing near a pool,,neutral
9662,,,sick,,,,,A shirtless man is escorting a horse that is pulling a carriage along a paved road,A shirtless man is escorting a horse that is pulling a carriage along a road,,entailment
6051,,,sick,,,,,A man is being curiously looked at by a woman,"A man and a woman are in a beige room, wearing dark colored shirts and a monitor is in the background",,neutral
5500,,,sick,,,,,A woman is firing a rifle,A woman is firing a weapon,,entailment
9305,,,sick,,,,,The skateboarder is jumping in the air,A man in a red shirt is doing a trick with the skateboard,,neutral
9024,,,sick,,,,,A brown dog is running after a black dog on a rocky shore,A brown dog is running after a dark dog on a rocky shore,,entailment
6321,,,sick,,,,,A yellow dog is running on white snow on a very sunny day,A tan dog is running through the snow,,neutral
7353,,,sick,,,,,Two children are playing on a statue,A climber is parking with the children by a small statue,,neutral
1373,,,sick,,,,,A man is playing a keyboard in a park,A person is playing the keyboard,,entailment
9465,,,sick,,,,,A person on a bike is in the air near a body of water,A man on a green car is performing tricks on a dirt ramp,,neutral
5154,,,sick,,,,,A lemur is hanging on a cord,A woman is buttering a piece of bread,,neutral
9803,,,sick,,,,,A seated woman is singing a song and playing the guitar,The man isn't lifting weights,,neutral
4761,,,sick,,,,,A man is dancing in the rain,A man is singing into an old microphone,,neutral
7001,,,sick,,,,,A soccer player is being tackled by his opponent,Some people playing rugby are tackling each other,,neutral
1527,,,sick,,,,,A woman is cutting some flowers,There is no woman cutting broccoli,,neutral
3929,,,sick,,,,,Boys are dancing in front of some people,A funny crowd of people is doing a skit of two boxing men,,neutral
1271,,,sick,,,,,A man is arranging the garden,A man is mowing a lawn,,neutral
5160,,,sick,,,,,A woman is putting a baby in a waste bin,The woman is poking holes in the potato,,neutral
8926,,,sick,,,,,No little dog is running on the sand,The dog is running across the gravel,,neutral
6804,,,sick,,,,,A man is wearing a sports uniform and is running down the field,A sports uniform is being worn by a man who is running down the field,,entailment
2582,,,sick,,,,,A person is absently cutting mushrooms with a knife,A person is cutting mushrooms with a knife,,entailment
441,,,sick,,,,,A woman is performing a trick on a ramp with a bicycle,The helmeted girl is perching on a bike,,neutral
2838,,,sick,,,,,"A girl, who is little, is playing a grand piano on stage",A little girl is playing a grand piano on stage,,entailment
