premise,hypo,generated_hypo
"<t> They would then take their body measurements to any of several participating retailers, who pass the information on to their apparel suppliers and have the clothing custom-made. </t> <g> ( <pointer:0> know-01 :ARG0 ( <pointer:1> nobody ) :ARG1 ( <pointer:2> much :topic ( <pointer:3> person :mod ( <pointer:4> early ) :mod ( <pointer:5> regional-group :wiki <lit> Etruscans </lit> :name ( <pointer:6> name :op1 <lit> Etruscans </lit> ) ) ) ) )  </g> [EOS]",The body measurements would be given to the participating retailers., The retailers would then take their measurements to the suppliers. ...and have
"<t> Controllers would notify their supervisors, who in turn would inform management all the way up to FAA headquarters in Washington. </t> <g> ( <pointer:0> think-01 :polarity ( <pointer:1> amr-unknown ) :ARG0 ( <pointer:2> you ) :ARG1 ( <pointer:3> recommend-01 :ARG1 ( <pointer:4> concern-01 :ARG1 ( <pointer:5> i ) ) ) )  </g> [EOS]",Supervisors were notified and they would in turn tell FAA managers.," Controllers would inform their supervisors. , who in turn informed management all"
<t> Crisis managers at the FAA and the airlines did not yet act to warn other aircraft. </t> <g> ( <pointer:0> step-01 :ARG1 ( <pointer:1> we ) :ARG2 ( <pointer:2> and :op1 ( <pointer:3> empower-01 :ARG0 <pointer:1> :ARG1 ( <pointer:4> person :ARG1-of ( <pointer:5> employ-01 :ARG0 <pointer:1> ) ) ) :op2 ( <pointer:6> invest-01 :ARG0 <pointer:1> :ARG2 <pointer:4> ) ) :quant ( <pointer:7> number ) )  </g> [EOS],Other aircraft in flight had yet to be warned by the FAA.," The airlines did not warn other aircraft. , and the FAA didn't"
<t> He passed these instructions to the pilots that launched at 10:42 and afterward. </t> <g> ( <pointer:0> place :location-of ( <pointer:1> view-01 :ARG1 ( <pointer:2> azalea :time ( <pointer:3> date-entity :season ( <pointer:4> spring ) ) ) ) :domain ( <pointer:5> festival :wiki - :name ( <pointer:6> name :op1 <lit> Azalea </lit> :op2 <lit> Festival </lit> ) :time ( <pointer:7> week :mod ( <pointer:8> last ) :part-of ( <pointer:9> date-entity :month 4 ) ) :location ( <pointer:10> worship-place :wiki <lit> Nezu Shinto shrine </lit> :name ( <pointer:11> name :op1 <lit> Nezu </lit> :op2 <lit> Shrine </lit> ) :location ( <pointer:12> city :wiki <lit> Tokyo </lit> :name ( <pointer:13> name :op1 <lit> Tokyo </lit> ) ) ) ) :ARG1-of ( <pointer:14> have-degree-91 :ARG2 ( <pointer:15> good-02 :ARG1 <pointer:0> ) :ARG3 ( <pointer:16> most ) ) )  </g> [EOS],Instructions were given to the pilots that flew after 10:42.," The pilots were given instructions. , he passed these Instructions to the Pil"
<t> Parents must ask questions like   </t> <g> ( <pointer:0> cause-01 :ARG0 ( <pointer:1> hear-01 :ARG0 ( <pointer:2> i ) :ARG1 ( <pointer:3> need-01 :ARG0 ( <pointer:4> person :ARG0-of ( <pointer:5> have-rel-role-91 :ARG1 <pointer:2> :ARG2 ( <pointer:6> kid ) ) ) :ARG1 <pointer:2> :mod ( <pointer:7> again ) ) ) :ARG1 ( <pointer:8> and :op1 ( <pointer:9> go-02 :ARG0 <pointer:2> :ARG4 ( <pointer:10> see-01 :ARG0 <pointer:2> :ARG1 ( <pointer:11> thing :ARG1-of ( <pointer:12> need-01 :ARG0 <pointer:4> ) ) ) ) :op2 ( <pointer:13> possible-01 :ARG1 ( <pointer:14> talk-01 :ARG0 ( <pointer:15> we ) :ARG2 ( <pointer:16> you ) :mod ( <pointer:17> again ) ) ) ) :mod ( <pointer:18> well :mode expressive ) )  </g> [EOS],Parents should ask questions such as," Parents have to ask questions. , when they see something that needs doing"
"<t> And I said, I don't have anybody, I said, hidden away. </t> <g> ( <pointer:0> and :op1 ( <pointer:1> have-03 :ARG1 ( <pointer:2> that ) :manner ( <pointer:3> well ) ) :op2 ( <pointer:4> seem-01 :polarity - :ARG1 ( <pointer:5> person :quant ( <pointer:6> many :degree ( <pointer:7> very ) ) ) :ARG1-of ( <pointer:8> real-04 ) ) :op3 ( <pointer:9> contrast-01 :ARG1 ( <pointer:10> be-located-at-91 :ARG1 ( <pointer:11> person :quant ( <pointer:12> lot ) ) :ARG2 ( <pointer:13> row :mod ( <pointer:14> die-01 ) ) ) :ARG2 ( <pointer:15> kill-01 :ARG1 ( <pointer:16> person :quant ( <pointer:17> many :polarity - :degree ( <pointer:18> very ) ) ) :ARG1-of ( <pointer:19> actual-02 ) ) ) )  </g> [EOS]",I don't have anyone hidden here. ," I hid that fact. , and i said (I don't have"
"<t> We look forward to your written response, membership support, and having the opportunity to work with you. </t> <g> ( <pointer:0> break-01 :ARG0 ( <pointer:1> he ) :ARG1 ( <pointer:2> one ) :direction ( <pointer:3> back ) :extent ( <pointer:4> about :op1 ( <pointer:5> long-03 :ARG1 ( <pointer:6> forearm :part-of <pointer:1> ) ) ) )  </g> [EOS]",Working with you and getting your written response is something we are waiting for.," We look forward to working with you. , he spoke of his written"
"<t> While this was being discussed by executives at FAA headquarters, the Command Center ordered one at 9:25. </t> <g> ( <pointer:0> account-01 :ARG1 ( <pointer:1> program ) :ARG1-of ( <pointer:2> mean-01 :ARG2 ( <pointer:3> account :mod ( <pointer:4> budget ) :location-of ( <pointer:5> appropriate-01 :ARG2 ( <pointer:6> cover-01 :ARG1 ( <pointer:7> monetary-quantity :ARG2-of ( <pointer:8> cost-01 :ARG1 ( <pointer:9> or :op1 ( <pointer:10> loan-01 :ARG1-of ( <pointer:11> direct-02 ) ) :op2 ( <pointer:12> program :ARG0-of ( <pointer:13> guarantee-01 :ARG1 ( <pointer:14> loan-01 ) ) ) ) ) :ARG3-of ( <pointer:15> subsidize-01 ) ) ) ) :ARG2-of ( <pointer:16> disburse-01 :ARG1 <pointer:7> :ARG2 ( <pointer:17> account :ARG0-of ( <pointer:18> finance-01 ) ) ) ) ) )  </g> [EOS]",The Command Center ordered one at 9:25 PM., The Command Center ordered one at 9:25.  (elements discussed
<t> Please note that on your calendar. </t> <g> ( <pointer:0> possible-01 :ARG1 ( <pointer:1> perform-02 :polarity - :ARG0 ( <pointer:2> screen :ARG1-of ( <pointer:3> standard-02 ) ) :ARG1-of ( <pointer:4> have-degree-91 :ARG2 ( <pointer:5> well-09 ) :ARG3 ( <pointer:6> equal ) ) :location ( <pointer:7> subgroup :mod ( <pointer:8> patient ) :mod ( <pointer:9> this ) :ARG0-of ( <pointer:10> represent-01 :ARG1 ( <pointer:11> part :mod ( <pointer:12> considerable ) :part-of ( <pointer:13> population :mod ( <pointer:14> department :mod ( <pointer:15> emergency ) ) ) ) :ARG1-of ( <pointer:16> possible-01 ) ) ) ) )  </g> [EOS],Could you put that in your calendar? ," You should note that on your calendar. , when you are in the"
<t> Thirty-one privately-funded scholarships totaling $82.000 awarded to students annually </t> <g> ( <pointer:0> and :op1 ( <pointer:1> think-01 :ARG0 ( <pointer:2> i ) :ARG1 ( <pointer:3> team :ARG1-of ( <pointer:4> come-01 :direction ( <pointer:5> up ) ) :domain ( <pointer:6> team :wiki <lit> Buffalo Bills </lit> :name ( <pointer:7> name :op1 <lit> Buffalo </lit> ) :ARG4-of ( <pointer:8> go-01 :ARG1 ( <pointer:9> they ) ) ) ) ) :op2 ( <pointer:10> show-01 :ARG0 <pointer:6> :ARG1 ( <pointer:11> promise-01 :ARG0 <pointer:6> :ARG1-of ( <pointer:12> real-04 ) :mod ( <pointer:13> some ) ) :time ( <pointer:14> after :op1 ( <pointer:15> now ) :duration ( <pointer:16> few :op1 ( <pointer:17> temporal-quantity :quant 1 :unit ( <pointer:18> year ) ) ) ) ) )  </g> [EOS],Private citizens fund thirty-one scholarships for students each year.," There are $82.000 scholarships for students each year , and the"
"<t> Although I'm a retired person, today I have a beautiful outlook on life because of Indy Reads. </t> <g> ( <pointer:0> have-concession-91 :ARG1 ( <pointer:1> persist-01 :ARG1 <pointer:5> ) :ARG2 ( <pointer:2> reject-01 :ARG0 ( <pointer:3> i ) :ARG1 ( <pointer:4> it ) :ARG3 ( <pointer:5> absurd ) ) )  </g> [EOS]","Because of Indy Reads, I have a good outlook on life, even though I've retired.", I have a beautiful outlook on life because of Indy Reads.  Although i
"<t> I spent hours daydreaming and looking at old pictures of Mom, Dad, Sarah, and me.  </t> <g> ( <pointer:0> have-condition-91 :ARG1 ( <pointer:1> high-02 :ARG1 ( <pointer:2> woman ) :location ( <pointer:3> government-organization :wiki - :name ( <pointer:4> name :op1 <lit> Applied </lit> ) ) :time ( <pointer:5> by :op1 ( <pointer:6> now ) ) ) :ARG2 ( <pointer:7> dislike-01 :ARG0 <pointer:2> :ARG1 ( <pointer:8> restaurant :poss <pointer:2> ) :degree ( <pointer:9> much :degree ( <pointer:10> so ) ) ) )  </g> [EOS]",I looked at old family pictures., I looked at old pictures of my family.  i spent hours daydreaming
"<t> (Admittedly, no party completely purges its rhetoric of terms like phallologocentric, however.) </t> <g> ( <pointer:0> spend-01 :ARG0 ( <pointer:1> i ) :location ( <pointer:2> continent :wiki <lit> Asia </lit> :name ( <pointer:3> name :op1 <lit> Asia </lit> ) ) :mod ( <pointer:4> yeah :mode expressive ) )  </g> [EOS]",No party completely purges its rhetoric of terms like phallogocentric., No party completely stops using terms like phallologocentric.  (pite
"<t> As a byproduct of participation, children gain a rich understanding of their own and others' mental lives'powerful tools in predicting and explaining human behavior and, therefore, in getting along with others. </t> <g> ( <pointer:0> query-01 :ARG0 ( <pointer:1> chatterbox ) :ARG1 ( <pointer:2> person :wiki <lit> Justin Trudeau </lit> :name ( <pointer:3> name :op1 <lit> Trudeau </lit> ) ) :ARG2 ( <pointer:4> thing :ARG1-of ( <pointer:5> quote-01 :ARG2 ( <pointer:6> newspaper :wiki <lit> Dallas Morning News </lit> :name ( <pointer:7> name :op1 <lit> Dallas </lit> :op2 <lit> Morning </lit> :op3 <lit> News </lit> ) ) ) ) )  </g> [EOS]",Children have a better understanding of other people's behavior and getting along with others when they participate. , Children gain a rich understanding of their own and others' mental lives. 
"<t> Since a second copy exceeded the first by one hundred percent, it was considered an abundance. </t> <g> ( <pointer:0> publication-91 :ARG0 ( <pointer:1> government-organization :wiki <lit> Government Accountability Office </lit> :name ( <pointer:2> name :op1 <lit> General </lit> :op2 <lit> Accounting </lit> :op3 <lit> Office </lit> ) ) :ARG1 ( <pointer:3> publication :wiki - :name ( <pointer:4> name :op1 <lit> A </lit> :op2 <lit> Model </lit> :op3 <lit> of </lit> :op4 <lit> Strategic </lit> :op5 <lit> Human </lit> : op6 <lit> Capital </lit> : op7 <lit> Management </lit> ) ) :ARG4 ( <pointer:5> publication :wiki - :name ( <pointer:6> name :op1 <lit> GAO-02-373SP </lit> ) ) :time ( <pointer:7> date-entity :month 3 :day 9 ) :location ( <pointer:8> city :wiki <lit> Washington, D.C. </lit> :name ( <pointer:9> name :op1 <lit> Washington </lit> :op2 <lit> D.C. </lit> ) ) )  </g> [EOS]",It was an abundance by one hundred percent, A second copy was considered an abundance. ...when it exceeded the first
<t> As if this earth in fast thick pants were breathing. </t> <g> ( <pointer:0> possible-01 :ARG1 ( <pointer:1> support-01 :polarity - :ARG0 ( <pointer:2> person :ARG0-of ( <pointer:3> regulate-01 ) ) :ARG1 ( <pointer:4> model-01 :ARG1 ( <pointer:5> business ) :ARG1-of ( <pointer:6> have-degree-91 :ARG2 ( <pointer:7> comprehensive ) :ARG3 ( <pointer:8> more ) ) ) :degree ( <pointer:9> total ) :ARG1-of ( <pointer:10> cause-01 :ARG0 ( <pointer:11> concern-01 :ARG0 ( <pointer:12> base-02 :ARG1 ( <pointer:13> information ) :ARG2 ( <pointer:14> judge-01 :quant ( <pointer:15> lot ) :ARG0-of ( <pointer:16> cause-01 :ARG1 ( <pointer:17> lack-01 :ARG1 ( <pointer:18> precision ) :ARG0-of ( <pointer:19> make-02 :ARG1 ( <pointer:20> difficult :domain ( <pointer:21> enforce-01 :ARG1 ( <pointer:22> standard :topic ( <pointer:23> report-01 ) ) ) ) :ARG1-of ( <pointer:24> possible-01 ) ) ) ) ) ) :ARG1 <pointer:2> ) ) ) )  </g> [EOS],It's like the earth was breathing.," It was as if the earth were breathing. , support-of.-"
"<t> Um, I don't think I'll be able to settle down here though, because most of my relatives live up north. </t> <g> ( <pointer:0> adopt-01 :ARG1 ( <pointer:1> rule :mod ( <pointer:2> interim ) :poss ( <pointer:3> government-organization :wiki <lit> United States Department of Labor </lit> :name ( <pointer:4> name :op1 <lit> Department </lit> :op2 <lit> of </lit> :op3 <lit> Labor </lit> ) ) ) :ARG1-of ( <pointer:5> accord-02 :ARG2 ( <pointer:6> authority :ARG1-of ( <pointer:7> contain-01 :ARG0 ( <pointer:8> section :mod 707 :part-of ( <pointer:9> law :wiki <lit> Employees Retirement Income Security Act </lit> :name ( <pointer:10> name :op1 <lit> Employee </lit> :op2 <lit> Retirement </lit> :op3 <lit> Income </lit> :op4 <lit> Security </lit> :op5 <lit> Act </lit> ) ) :ARG1-of ( <pointer:11> title-01 :ARG2 ( <pointer:12> publication :wiki - :name ( <pointer:13> name :op1 <lit> Pub </lit> ) ) ) ) ) ) ) )  </g> [EOS]",Most of my relatives live up North. , I don't think that my relatives will live here. ...what if
"<t> Young Parents  A key component in reduction of potential risk of child abuse, designed to decrease stress in the parent/child relationship enabling the parent to continue school attendance and achievement. </t> <g> ( <pointer:0> magnify-01 :ARG1 ( <pointer:1> it ) :degree ( <pointer:2> high-02 ) :ARG1-of ( <pointer:3> see-01 :ARG0 ( <pointer:4> you ) ) )  </g> [EOS]",created to lower the levels of stress in the parent/child relationship, Young parents are a key component in reducing child abuse. ...to decrease
"<t> Do you think they've become more ex, do you think they've accepted more what you've decided to do or that's going to take a while? </t> <g> ( <pointer:0> hold-01 :ARG0 ( <pointer:1> person :wiki - :name ( <pointer:2> name :op1 <lit> Thorn </lit> ) ) :ARG1 ( <pointer:3> sword :ARG1-of ( <pointer:4> differ-02 :ARG2 ( <pointer:5> sword :ARG1-of ( <pointer:6> see-01 :ARG0 ( <pointer:7> person :wiki - :name ( <pointer:8> name :op1 <lit> Ca'anan </lit> ) :mod ( <pointer:9> any ) ) :time ( <pointer:10> ever ) ) ) ) ) )  </g> [EOS]",Do you think they agree with your course of action?," Do you think they've become more ex, do  have to wait a while?"
<t> Support at this level could assist the dental school in a variety of ways. </t> <g> ( <pointer:0> multi-sentence :snt1 ( <pointer:1> and :op2 ( <pointer:2> see-01 :polarity - :ARG0 ( <pointer:3> nurse ) ) ) :snt2 ( <pointer:4> obligate-01 :ARG1 ( <pointer:5> you ) :ARG2 ( <pointer:6> pay-01 :ARG0 <pointer:5> :ARG1 ( <pointer:7> that ) ) ) )  </g> [EOS],The dental school is in need of assistance.," The support could help the dental school. , and a variety of ways"
"<t> He found lodgings with Younis Khalis, the head of one of the main mujahideen factions. </t> <g> ( <pointer:0> cover-01 :ARG0 ( <pointer:1> newspaper :wiki <lit> The Standard </lit> :name ( <pointer:2> name :op1 <lit> The </lit> :op2 <lit> Standard </lit> ) :ARG1-of ( <pointer:3> publish-01 :time ( <pointer:4> before :op1 ( <pointer:5> die-01 :ARG1 ( <pointer:6> person :wiki <lit> Deng Xiaoping </lit> :name ( <pointer:7> name :op1 <lit> Deng </lit> ) ) ) :quant ( <pointer:8> few :op1 ( <pointer:9> temporal-quantity :quant 1 :unit ( <pointer:10> day ) ) ) ) ) ) :ARG1 ( <pointer:11> territory :ARG1-of ( <pointer:12> resemble-01 ) ) )  </g> [EOS]",Younis Khalis was a member of an important mujahideen faction., Younis Khalis was the head of one mujahideen faction. 
"<t> However, I am sure there will be other items that will be needed in the new facility to enhance the educational experience of students, including graduate students. </t> <g> ( <pointer:0> contrast-01 :ARG1 ( <pointer:1> know-01 :ARG0 ( <pointer:2> you ) :ARG1 ( <pointer:3> easy-05 :polarity - :ARG1 ( <pointer:4> do-02 :ARG1 ( <pointer:5> it ) ) ) ) )  </g> [EOS]",There will be additional items needed in the new facility to enhance the educational experience of students.," There will be other items that I am sure. , enhance the educational"
<t> Further research is needed and families still need help. </t> <g> ( <pointer:0> cause-01 :ARG0 ( <pointer:1> and :op1 ( <pointer:2> trap-01 :ARG1 ( <pointer:3> weather :ARG1-of ( <pointer:4> cold-01 ) ) :ARG2 ( <pointer:5> along :op1 ( <pointer:6> ground ) ) :mod ( <pointer:7> just ) :mod ( <pointer:8> simple ) ) :op2 ( <pointer:9> possible-01 :polarity - :ARG1 ( <pointer:10> get-05 :ARG1 <pointer:3> :ARG2 ( <pointer:11> away ) ) ) ) )  </g> [EOS],Further research must be conducted.," Further research is needed. , families still need help; it's just"
"<t> And in several of these random instances of pleonasm, truism, kinky syntax, malapropos metaphor, and just plain dumb things to say, I perceived the moroxonic spirit at work. </t> <g> ( <pointer:0> multi-sentence :snt1 ( <pointer:1> view-01 :ARG1 ( <pointer:2> across :op1 ( <pointer:3> river ) :source ( <pointer:4> city ) ) :mod ( <pointer:5> superb ) ) :snt2 ( <pointer:6> design-01 :ARG1 ( <pointer:7> room ) :ARG3 ( <pointer:8> contemporary :degree ( <pointer:9> very ) ) ) )  </g> [EOS]","There were instances of pleonasm, truism, and kinky syntax.", I saw the moroxonic spirit in some of these random instances. 
"<t> By 8:33, it had reached its assigned cruising altitude of 31,000 feet. </t> <g> ( <pointer:0> and :op1 ( <pointer:1> trade-01 :ARG0 ( <pointer:2> country :wiki <lit> Madeira </lit> :name ( <pointer:3> name :op1 <lit> Madeiran </lit> ) :ARG1-of ( <pointer:4> new-01 ) ) :ARG1 ( <pointer:5> sugar :mod ( <pointer:6> item :mod ( <pointer:7> luxury ) :ARG0-of ( <pointer:8> dominate-01 :ARG1 ( <pointer:9> era ) ) ) ) :ARG2 ( <pointer:10> and :op1 ( <pointer:11> country :wiki <lit> United Kingdom </lit> :name ( <pointer:12> name :op1 <lit> Britain </lit> ) ) :op2 ( <pointer:13> country :wiki <lit> Flanders </lit> :name ( <pointer:14> name :op1 <lit> Flanders </lit> ) ) ) ) :op2 ( <pointer:15> prove-01 :ARG1 ( <pointer:16> skillful :domain <pointer:2> :topic ( <pointer:17> art :mod ( <pointer:18> make-01 :ARG1 ( <pointer:19> wine ) ) ) ) ) )  </g> [EOS]","By 8:33 is was on its delegated cruising altitude of about 30,000 feet."," It reached its assigned cruising altitude of 31,000 feet by 8:33. "
"<t> We had a barn, a dairy farm that was maybe quarter of a mile from the house and uh, Mama say, We need milk. </t> <g> ( <pointer:0> require-01 :ARG0 ( <pointer:1> and :op1 ( <pointer:2> screen-01 :mod ( <pointer:3> routine ) ) :op2 ( <pointer:4> intervene-01 :mod <pointer:3> ) ) :ARG1 ( <pointer:5> instill-01 :ARG1 ( <pointer:6> sense-01 :ARG1 ( <pointer:7> responsible-03 :ARG0 ( <pointer:8> person :ARG0-of ( <pointer:9> have-org-role-91 :ARG1 ( <pointer:10> department :mod ( <pointer:11> emergency ) ) :ARG2 ( <pointer:12> clinician ) ) ) :ARG1 ( <pointer:13> address-02 :ARG0 <pointer:8> :ARG1 ( <pointer:14> abuse-02 :ARG1 ( <pointer:15> substance ) ) ) :mod ( <pointer:16> role ) ) ) ) )  </g> [EOS]",We needed milk from our nearby dairy farm. ," We had a dairy farm that was close to the house. , Mama"
"<t> At the same time, children can develop more attractive dispositions and adaptive skills as the result of parental warmth, attention, and consistent guidance. </t> <g> ( <pointer:0> or :op1 ( <pointer:1> search-01 :mode imperative :ARG0 ( <pointer:2> you ) :ARG1 ( <pointer:3> site :mod ( <pointer:4> era :wiki <lit> Prehistory </lit> :name ( <pointer:5> name :op1 <lit> Prehistory </lit> ) ) :ARG1-of ( <pointer:6> elude-01 :ARG2-of ( <pointer:7> have-degree-91 :ARG1 <pointer:3> :ARG3 ( <pointer:8> more ) ) ) ) ) :op2 ( <pointer:9> take-01 :mode imperative :ARG0 <pointer:2> :ARG1 ( <pointer:10> path :mod ( <pointer:11> cliff ) :poss ( <pointer:12> or :op1 ( <pointer:13> coast :mod ( <pointer:14> northwest ) ) :op2 ( <pointer:15> coast :mod ( <pointer:16> south ) ) ) ) ) :location ( <pointer:17> island :wiki <lit> Menorca </lit> :name ( <pointer:18> name :op1 <lit> Menorca </lit> ) ) )  </g> [EOS]",Kids can develop better dispositions.," Children can develop better dispositions and adaptive skills as the result of parental warmth, attention"
"<t> These include toys, books, television, computers, special lessons, weekend outings, time with grandparents and other extended family members, as well as the quality of child care, schooling, and the neighborhood they choose to live in (depending, of course, on the extent to which communities oer viable choices). </t> <g> ( <pointer:0> clear-06 :polarity - :ARG0 ( <pointer:1> movie ) :ARG1 ( <pointer:2> or :op1 ( <pointer:3> thing :source-of ( <pointer:4> report-01 :mod ( <pointer:5> secret ) :ARG0-of ( <pointer:6> kick-off-04 :ARG1 ( <pointer:7> interest-01 :ARG1 ( <pointer:8> person :wiki <lit> Ingmar Bergman </lit> :name ( <pointer:9> name :op1 <lit> Bergman </lit> ) ) :ARG2 ( <pointer:10> tobacco ) ) ) ) ) :op2 ( <pointer:11> think-01 :ARG0 ( <pointer:12> person :ARG0-of ( <pointer:13> have-org-role-91 :ARG1 ( <pointer:14> government-organization :wiki <lit> Food and Drug Administration </lit> :name ( <pointer:15> name :op1 <lit> FDA </lit> ) ) ) ) :ARG1 ( <pointer:16> idea :ARG1-of ( <pointer:17> good-02 ) :domain ( <pointer:18> turn-02 :ARG0 <pointer:12> :ARG1 <pointer:8> :ARG2 ( <pointer:19> person :wiki <lit> Alfred Wigand </lit> :name ( <pointer:20> name :op1 <lit> Wigand </lit> ) ) ) ) ) ) )  </g> [EOS]",They include toys and outings.," The quality of child care, schooling and the neighborhood they choose to live in all have"
"<t> In a typical apparel factory, a sewing operator is actually sewing only one-quarter of the time. </t> <g> ( <pointer:0> and :op1 ( <pointer:1> lean-01 :ARG0 ( <pointer:2> he ) :ARG2 ( <pointer:3> over :op1 ( <pointer:4> person :wiki - :name ( <pointer:5> name :op1 <lit> Tommy </lit> ) ) ) ) :op2 ( <pointer:6> purple-01 :ARG1 ( <pointer:7> face :part-of <pointer:2> ) :ARG1-of ( <pointer:8> cause-01 :ARG0 ( <pointer:9> excite-01 :ARG1 <pointer:2> ) ) ) )  </g> [EOS]",Sewing operators are usually only sewing 25% of the time., A sewing operator only does one-third of the work in a typical apparel factory.
"<t> The Secret Service agent felt strongly that the situation in Washington was too unstable for the President to return there, and Card agreed. </t> <g> ( <pointer:0> be-located-at-91 :ARG1 ( <pointer:1> i ) :ARG2 ( <pointer:2> duty :mod ( <pointer:3> temporary ) :location ( <pointer:4> facility :wiki <lit> Bentwaters Dam </lit> :name ( <pointer:5> name :op1 <lit> Bent </lit> :op2 <lit> Waters </lit> ) ) ) :ARG1-of ( <pointer:6> real-04 ) :mod ( <pointer:7> oh ) )  </g> [EOS]",The Secret Service agent had strong feelings about the situation.," The Secret Service agent did not want the President to go there. ,"
"<t> Duende meant `hobgoblin,' `sprite,' or `ghost' in Spanish for a long time, but it is not known when it acquired its artistic coloration. </t> <g> ( <pointer:0> possible-01 :ARG1 ( <pointer:1> increase-01 :ARG1 ( <pointer:2> price-01 ) :mod ( <pointer:3> overall ) ) :time ( <pointer:4> increase-01 :ARG1 ( <pointer:5> amount :quant-of ( <pointer:6> money :ARG1-of ( <pointer:7> circulate-01 ) ) ) :mod ( <pointer:8> overall ) :mod ( <pointer:9> only ) ) )  </g> [EOS]","Duende has had many meanings, but all were similar.", Duende was a Spanish word.  When it acquired its artistic coloration
"<t> Finally, it might be worth mentioning that the program has the capacity to store in a temporary memory buffer about 100 words (proper names, for instance) that it has identified as not stored in its dictionary. </t> <g> ( <pointer:0> allow-01 :mode imperative :ARG0 ( <pointer:1> you ) :ARG1 ( <pointer:2> time ) :purpose ( <pointer:3> explore-01 :ARG0 <pointer:1> :ARG1 ( <pointer:4> island :wiki <lit> Thirwat Island </lit> :name ( <pointer:5> name :op1 <lit> Thirasia </lit> ) :ARG0-of ( <pointer:6> have-rel-role-91 :ARG1 ( <pointer:7> island :wiki <lit> Santorini </lit> :name ( <pointer:8> name :op1 <lit> Santorini </lit> ) ) :ARG2 ( <pointer:9> sibling ) ) :ARG1-of ( <pointer:10> have-degree-91 :ARG2 ( <pointer:11> small ) :ARG3 ( <pointer:12> more ) ) ) ) )  </g> [EOS]","It's possible to store words in a temporary dictionary, if they don't appear in a regular dictionary. "," The program can store 100 words.  That might be worth mentioning, it"
"<t> Children can become competent readers and writers without being trained, pushed, or goaded into literacy learning in early childhood. </t> <g> ( <pointer:0> say-01 :ARG0 ( <pointer:1> person :wiki - :name ( <pointer:2> name :op1 <lit> Blue </lit> ) ) :ARG1 ( <pointer:3> claim-01 :ARG0 ( <pointer:4> person :wiki <lit> Richard Blumenthal </lit> :name ( <pointer:5> name :op1 <lit> Blumenthal </lit> ) ) :ARG1 ( <pointer:6> tell-01 :ARG0 ( <pointer:7> person :wiki <lit> Bill Clinton </lit> :name ( <pointer:8> name :op1 <lit> Clinton </lit> ) ) :ARG1 ( <pointer:9> advance-01 :ARG1 ( <pointer:10> person :wiki <lit> Monica Lewinsky </lit> :name ( <pointer:11> name :op1 <lit> Lewinsky </lit> ) ) :ARG4 ( <pointer:12> sex-01 :ARG0 <pointer:10> :ARG1 <pointer:4> ) :ARG1-of ( <pointer:13> want-01 :polarity - :ARG0 <pointer:7> ) ) :ARG2 <pointer:4> ) ) )  </g> [EOS]","If children are exposed to reading and writing when young, they can learn to be competent in these areas without being pushed. "," Children can become competent readers and writers without being trained. , when you"
<t> Vygotsky's theory has been the wellspring of our recent appreciation of the profoundly social nature of even very young children's imaginative play'and its wide-ranging infiuence on cognitive and social development. </t> <g> ( <pointer:0> survey :wiki - :name ( <pointer:1> name :op1 <lit> Assessment </lit> :op2 <lit> Survey </lit> ) :topic ( <pointer:2> condition ) )  </g> [EOS],Our recognition of the social aspects of make-believe in young children is actually recent., Vygotsky's theory has been the wellspring of our recent appreciation. 
"<t> Is there anything specific that, uh, you remember about your grandma? </t> <g> ( <pointer:0> find-01 :ARG1 ( <pointer:1> she ) :mod ( <pointer:2> well ) )  </g> [EOS]",Do you remember anything in particular about your grandma?, Do you remember anything about your grandmother? .shtml )amazing
"<t> she said, I mean, a huge group! </t> <g> ( <pointer:0> and :op2 ( <pointer:1> legal-02 :polarity - :ARG1 ( <pointer:2> they ) :ARG0-of ( <pointer:3> cause-01 :ARG1 ( <pointer:4> think-01 :polarity - :ARG0 ( <pointer:5> i ) :ARG1 ( <pointer:6> good-04 :ARG1 ( <pointer:7> outlaw-01 :ARG1 <pointer:2> :mod ( <pointer:8> together :mod ( <pointer:9> all ) ) ) :ARG2 ( <pointer:10> we ) :mod ( <pointer:11> any ) ) ) ) ) )  </g> [EOS]",She said there was a pretty large turnout. ," She said a large group. , I mean...a huge bunch!"
<t> Knowledgeable community volunteers -- people just like you -- ensure that your gift is spent wisely and that 88 PERCENT OF FUNDS RAISED GO TO HELP PEOPLE IN NEED RIGHT HERE IN CENTRAL INDIANA. </t> <g> ( <pointer:0> say-01 :ARG0 ( <pointer:1> you ) :ARG1 ( <pointer:2> good-02 :ARG1 ( <pointer:3> that ) ) )  </g> [EOS],88% of funds raised go to help people in Central Indiana., Knowledgeable community volunteers make sure your gift is spent wisely. ...that
<t> FAA personnel at both Reagan National and Dulles airports notified the Secret Service. </t> <g> ( <pointer:0> expect-01 :polarity - :ARG1 ( <pointer:1> cast-01 :ARG0 ( <pointer:2> we ) :ARG1 ( <pointer:3> ballet :topic ( <pointer:4> subject ) ) ) )  </g> [EOS],FAA personnel at both airports contacted the Secret Service., The Secret Service was notified by FAA personnel at both Reagan National and Dulles airports.
