premise,hypo,generated_hypo
"Richard Bauerls writes interestingly about the recent proliferation of  one-letter words  [XIV, 1; XV, 1]. [EOS]",The recent popularity of one-letter words discussed by Richard Bauerls. ,Richard Bauerls writes about the recent proliferation of one letter words. PHOTO
"The recorder captured the sounds of loud thumps, crashes, shouts, and breaking glasses and plates. [EOS]",There were many loud noises captured on the recorder.,"The recorder recorded loud noises. PHOTO OF THumps, crashes and shouts"
Your contribution will help with funding so Jameson Camp can continue providing the year-round camping experience that gives kids a chance to create dreams. [EOS],You will help the funding of Jameson Camp if you give us money,Jameson Camp is a year-round camping experience. PHOTOComments will
It is spoken even in  A beautiful girl awakens in bed to find a vampire at her side. [EOS],A child wakes up to see a creature in her room.,A beautiful girl wakes up to find a vampire at her side. PHIL
But only four editors for such a massive work? [EOS],Just four editors to do this large quantity of work?,There are only four editors for such a large work. PHILIPPE
"OK, well um, are there any particular stories related to this or anything else you enjoy reading now or um, I mean, is there anything looking at what you experienced, is there anything, any type of stories that you like to read now or that you like to hear about now? [EOS]",Do you like to read or hear stories about what you experienced?,Are there any stories you like to read now? Comments are welcome. Do
Junior may have wrecked the car and daughter may have attained the age for orthodontia. [EOS],Junior may have wrecked the car and daughter may need an orthodontist. ,Junior may have wrecked the car. factoryComments are being made on
"He argued that other extremists, who aimed at local rulers or Israel, did not go far enough. [EOS]",He held the stance that the other extremists should have went further.,He argued that other extremists did not go far enough. PHILIPPE
The IUPUI Challenger Scholars Program encourages bright and dedicated students who want to teach to continue in that career path. [EOS],The scholarship program encourages students interested in a teaching career to continue pursuing that path.,The Challenger Scholars Program encourages bright and dedicated students who want to teach. PH
But of what use is a long entry on spoonerisms? [EOS],What what can this long entry do for us?,A long entry on spoonerisms is not of any use. PHIL
Anybody who asks  Why a brass monkey?  [EOS],"Why a brass monkey, they ask? ",Anybody who asks why a brass monkey? factory.com/tem
"So, we stayed there. [EOS]",We were there.,"We stayed there. factoryAdvertisementscommentsand we were not leaving immediately,"
"He was defeated by the alerted, unarmed passengers of United 93. [EOS]",The person was beat down by the people on the plane.,The passengers of United 93 were alert and prepared. PHILIPPE was
Bin Ladin maintained connections in the Bosnian conflict as well. [EOS],Bin Ladin keep his connections in the conflict.,Bin Ladil maintained connections in the Bosnian conflict. PHILIP
"Then he assists with a general prompt,  Which piece might go down here?  [EOS]","Which piece might fit here?, as he assisted with a general prompt. ",He gives a general prompt. pioterrorismAdvertisementscommentsand then he
Other parents use a repetitive style. [EOS],A repetitive style is used by other parents.,Other parents use a repetitive style. PHOTO: Other Parents Use A Repe
"--the teachers were much more, I guess, I don't know??? [EOS]","I don't know, the teachers were ---??",I guess the teachers were more. PHILIPPEASANT! I
"The computer, on command, then connects the image of the points on its screen with a series of line segments that form the silhouette of the pattern piece. [EOS]",The image of the points on the screen are connected by the computer.,The computer connects the image of points on its screen with a series. PH
"The other name, native well is, as a later explorer David Carnegie, author of Spinifex and Sand (1898), points out, a misnomer. [EOS]",The alternative name was a misnomer according to the explorer David Carnegie.,David Carnegie wrote Spinifex and Sand. PHOTO of native well is
"She knew I was going to do it, but Dad was pretty irate. [EOS]","Although she knew, dad was very mad.",She knew I was going to do it. factoryAdvertisementscommentsand she
"These capacities, in turn, ease the task of establishing an intersubjective connection, and that connection provides the platform for the creation of additional  zones,  enabling children to master complex, culturally adaptive skills. [EOS]",These capacities make it easier for children to master more complex cultural skills.,"The capacities help children to master complex, culturally adaptive skills. PHOTO:"
"However, when I highlighted antecedent , what appeared on the screen was the same list of synonyms but with antecedent missing, and preceding had reappeared. [EOS]","When I highlighted the word antecedent, the synonym list was identical but preceding had returned.","When I highlighted antecedent, what appeared on the screen was a list of syn"
"Such fund are often used for college tuition, vocational training or a deposit on an apartment. [EOS]",The funds can be used for a variety of things.,College tuition is often used with such fund. PHILIPPE MAL
"Suits and pants require thread colors that match or blend with the shell fabric, and it is important to reduce the number of thread changes the sewing operator has to make. [EOS]",Thread colors have to match with the shell fabric with suits.,The sewing operator needs to make fewer changes than necessary. PHOTO: The
"In particular, advanced practices in distribution and modular production interact with each other because they both reduce throughput time. [EOS]",One should certainly expect that distribution and modular production practices are combined to reduce the average time to complete processes.,Advanced practices in distribution and modular production interact with each other because they both reduce throughput time
"Where is, where was this? [EOS]",Where did it happen?,Where is this? phobic.comComments on where it was located:
"But the highest-level Defense Department officials relied on the NMCC's air threat conference, in which the FAA did not participate for the first 48 minutes. [EOS]",Defense Department officials relied on the NMCC's air threat conference which didn't include the FAA intially.,The FAA did not participate for the first 48 minutes. factoryAdvertisements'
"At 9:57, the passenger assault began. [EOS]",The passengers started fighting back at 9.57.,The passenger assault began at 9:57. factoryAdvertisementscommentsand more
"If you'd like to make a donation at a later date, please indicate your pledge on the invoice and return it to us. [EOS]",We appreciate you indicating your pledged amount on the invoice.,Please indicate your pledge on the invoice and return it to us if you'd like a
"It is true that textiles firms still sell to apparel-makers, which in turn sell to retailers, which ultimately sell to consumers. [EOS]",Retailers act as a middleman between textile companies and consumers.,Textiles firms sell to apparel makers. PHOTO OF TEXTILES F
"Do you have a chance to re-tell this story, um, in your work or to your own children? [EOS]",Do you have a chance to re-tell this story?,Do you have a chance to re-tell this story in your work or with children
"You cannot touch, see, or hear the most important benefit of your Audubon membership. [EOS]","Audubon membership's most important benefit cannot be touched, seen or heard.","You can't touch, see or hear the most important benefit of your Audubon"
"Whether clerical workers or executives, the majority confirmed the parental state of mind just  They complained of overly long workdays and frenetic home lives. [EOS]",They did complain of workdays that were too long and a home life that was frenetic. ,The majority of clerical workers and executives confirmed the parental state. Phr
This year I have been teaching introductory geology laboratories. [EOS],I've been teaching labs for introductory geology this year.,I have been teaching introductory geology laboratories this year. PHILOSOP
I know about that! [EOS],I knew that!,I am aware of that. pioterrorismAdvertisementscommentsand comments about
"Such a plot had not been carried out anywhere in the world in more than 30 years, and never in the United States. [EOS]",It was the first time such a plot happened in the United States.,The United States has never had a plot like this. PHILIPPE
Yet the income gap in free time is not large; financially well-o individuals average only 2 to 4 hours a week less free time than do their less economically advantaged counterparts. [EOS],Richer folk only had an average of about 2-4 fewer hours of free time per week in comparison to less well off people. ,The income gap in free time is not large. PHILOSOPHY
But my main object in choosing the passage was to illustrate the way in which Shakespeare could move from the literal to the metaphorical or metaphysical in his use of a legal term. [EOS],My main objective was to show that Shakespeare could go from literal to metaphysical. ,I wanted to show how Shakespeare could move from the literal and metaphorical. 
It came over the chat. [EOS],Chat was used for the communication.,It came over the chat. phobicComments from people on a conversation about
"And, there is always a need for scholarship funds to help make college degrees possible for our students, most of whom come from central Indiana. [EOS]",Most of the students come from Indiana.,There is always a need for scholarship funds to help make college degrees possible. 
"It is safe to say that lean retailers have also come out ahead, given their rapid growth in relation to, and at the expense of, traditional retailers in many different retail channels. [EOS]",Lean retailers have also come out on top.,Lean retailers have been able to grow at a faster rate than traditional retail channels. 
"Often, an entry offers nothing in the way of etymology and merely explains the meaning. [EOS]",An entry merely explains the meaning and doesn't offer anything in the way of etymology.,An entry often only explains the meaning. PHOTO: wikipedia/com
"In addition, they overstated the FAA's ability to provide the military with timely and useful information that morning. [EOS]",They oversold the competence off the FAA in regards to providing useful information on time.,They overstated the FAA's ability to provide timely and useful information that morning. 
"It took somebody like Slater'an indentured apprentice for over six years at the Arkwright and Strut's plant in Milford, England'to ferry the plans to America. [EOS]",The plans took more than six years to reach America.,Slater'an indentured apprentice ferried the plans to America for over six years
Computer images can be viewed on the local area network or even put on the Internet in a secure form. [EOS],Digital photos can be seen on the local network or securely uploaded onto the internet.,Computer images can be viewed on the local area network or even put onto a secure form
That fund would allow us to grant a $500 scholarship annually to meritorious applicants with financial need. [EOS],The fund has been especially set up to give us a vehicle through which we can award monetary help to worthy students.,We could give a $500 scholarship to merit-based applicants. PHIL
"Others are from families that are struggling to provide a healthy, happy environment but don't have the resources to make it possible. [EOS]",Others are from parents that are struggling to provide a healthy environment for their kids. ,Some families don't have enough money to provide a happy environment. PHIL
"We classify the SKUs into three  those with high demand (averaging 5,700 units a week) and low demand variation (Cv=0.6), those with medium demand (averaging 3,000 units a week) and medium demand variation (Cv=0.7), and those with low demand (averaging 1,300 units a week) and high demand variation (Cv= 1.3). [EOS]",The SKUs can be classified into three different classes with varying demands and demand variations.,The SKUs are classified into three categories. PHOTO: We classify the
"Which is really a story from beginning to end, I suppose. [EOS]","It is a complete story, I guess.",I suppose it's a story from beginning to end. PHILOSOP
"This year, 1993, marks the ten-year anniversary of the A. Rebekah Fisk Memorial Scholarship. [EOS]",The A. Rebekah Fisk Memorial Scholarship was established ten years ago.,The A. Rebekah Fisk Memorial Scholarship was established in 1993 and it has
"After all, what can one do with a language like English except come up with things like A SLUT NIXES SEX IN TULSA or I MAIM MAIMI? [EOS]",Is there more someone can do with the English language than come up with absurdities?,English is a language that can be used to come up with things like A SLUT
You couldn't leave it if you didn't rinse your glass out after you got drinking after you got done drinking it would stick to the glass to the point where you'd have to scrape it. [EOS],"If you didn't rinse the glass, it would stick to it.",You couldn't leave it if you didn`t rinse your glass out after drinking.
They claimed they had a bomb. [EOS],They said they had a bomb.,They claimed they had a bomb. phobicCommentscommentsAdvertisementsand comments about
Oh I've done that a number of times. [EOS],I've done that many times.,I've done that before. PHOTO OF THE DAY! I have also
"The threat of Soviet bombers diminished significantly as the Cold War ended, and the number of NORAD alert sites was reduced from its Cold War high of 26. [EOS]","After the end of the Cold War, the number of NORAD alert sites plummeted.",The Cold War ended and the threat of Soviet bombers decreased. PHILAD
It wasn't always like that. [EOS],It didn't used to be that way.,"It was not always like that. phoenixAdvertisementscommentsand more..."""
"When they learned a second plane had struck the World Trade Center, nearly everyone in the White House told us, they immediately knew it was not an accident. [EOS]",Everyone knew that the planes crashing were intentional.,"When they learned a second plane hit the World Trade Center, everyone in White House knew"
An envelope and giving card are enclosed (with checks payable to Indiana University Foundation). [EOS],We have enclosed an envelope and giving card for your convenience.,The envelope and giving card are enclosed. PHOTO: Indiana University Foundation's
Quality assembly of garments from pieces of material cut according to a particular pattern involves operations that can be carried out almost anywhere in the world. [EOS],Quality assembly of garments can be done virtually anywhere in the world.,The quality of garments can be achieved anywhere in the world. PHOTO:
Laser-cutting equipment must be totally enclosed to be safe for human operators. [EOS],It is dangerous to operate laser-cutting machines as-is without a containment method.,Laser-cutting equipment must be completely enclosed to make it safe for human operators.
Your gift to the law school will be an investment in its continued excellence. [EOS],Your gift to the school will be an investment in its excellence.,The law school will be improved with your gift. PHOTO: The Law
About this time the Fasten Seatbelt sign would usually have been turned off and the flight attendants would have begun preparing for cabin service. [EOS],The Fasten Seatbelt sign would have been turned off and the flight attendants would have begun the cabin service around this time.,The flight attendants would have begun preparing for cabin service around this time. PH
Both plants are capable of making the same set of products. [EOS],The same product set can be made by either plant.,Both plants can make the same set of products. factory conditions are similar
Boston Center asked the Herndon Command Center to issue a similar cockpit security alert nationwide. [EOS],Herndon was asked by Boston to send a cockpit security alert to the whole country.,The Herndon Command Center was asked to issue a similar cockpit security alert nationwide.
"In some plants, the carts may contain up to a day's worth of work. [EOS]",It's possible for a cart to contain as much as a full day of work.,The carts can hold up to a day's worth of work. PHOTO
"On a farm and uh, she has some wild and crazy stories that she sat and shared with us. [EOS]",She shared stories with us.,She has some wild and crazy stories that she sat down with us. PH
"Bin Ladin flew on a leased aircraft from Khartoum to Jalalabad, with a refueling stopover in the United Arab Emirates. [EOS]",Bin Ladin leased an airplane to get to Jalalabad.,Bin Ladalin flew from Khartoum to Jalalabad. 
"However, a donation of $25 or more entitles you to official membership in the Alumni Association with the privileges thereof,  1) The right to vote in the upcoming Alumni Association Board Member elections (currently two members of the Class of' 84, Maureen Althert and Brian Elson serve on the Board); 2) An official Alumni Association decal and membership card; 3) A discount on Alumni Association apparel; and, 4) Eligibility for the Charity Raffle, $500 to be given to the charity of your choice. [EOS]",You can become an official member if you give $25.  ,You can get official membership in the Alumni Association with a donation of $25 or
"In doing so, they invite children to judge the appropriateness of their requirements. [EOS]",The appropriateness of the requirements are judged by the children.,They invite children to judge the appropriateness of their requirements. PHOTO
"In the hands of an already successful scholar, the extras that endowments provide ensure continued success - for the scholar and the school. [EOS]",Extras that are provided by endowments help make sure there is continued success for the school.,The endowments help the scholar and school. PHOTO: The extra
Your gift will also count toward the largest campaign for private contributions in the University's history. [EOS],The largest campaign for private contributions in the University's history--that's where your gift will also count toward.,The University's largest campaign for private contributions in history will be counted towards your gift.
This does not necessarily translate into a desire for clerical rule and the abolition of a secular state. [EOS],That fact does not mean a wish for clerical rule and getting rid of secular state.,This does not necessarily translate into a desire for clerical rule and the abolition of secular
It is the story of eccentric and violent ideas sprouting in the fertile ground of political and social turmoil. [EOS],This story is about violent ideas fomented by political and social turmoil.  ,The story is about ideas that grow in the midst of political turmoil. PH
"As shown in the cases studied in Chapter 7, production-cycle time and inventory carrying costs are two crucial parameters in making rapid replenishment sourcing decisions. [EOS]",There were cases that were studied in the seventh chapter.,The production cycle time and inventory carrying costs are two crucial parameters in making rapid replenishment
"American 77 traveled undetected for 36 minutes on a course heading due east for Washington, D.C. [EOS]","American 77 traveled on a course heading east to Washington, D.C",American 77 traveled for 36 minutes without being seen. fantasyAdvertisementscommentsand
"About this same time Sweeney reported to Woodward, Something is wrong. [EOS]","Around this time, Sweeny to Woodward, something is off.",Sweeney reported to Woodward that something was wrong. factoryComments from Sweeney
"In 1998, Iraq was under intensifying U.S. pressure, which culminated in a series of large air attacks in December. [EOS]","In the late 1990s, the U.S. launched a series of air attacks on Iraq.",Iraq was under increasing pressure in 1998. PHOTO GALLERYIn December
Enclosed is a pledge card and return envelope to assist you in making your tax deductible contribution. [EOS],You will need to mail the pledge card to us in order to make a tax deductible contribution.,You can make a tax deductible contribution with the help of an envelope and pledge card.
Of course you only had a thousand students through all those six grades. [EOS],For all the six grade there was a thousand students.,There were only a thousand students through all six grades. PHILOSOP
"Please find it in your heart to renew your pledge or, if possible, increase it. [EOS]",We'd appreciate it if you could renew or increase your pledge.,Please renew your pledge or increase it. phobicComments and suggestions are welcome
"As you know, major changes in dental education are under way throughout the country. [EOS]","There are currently major changes going on around the country regarding dental education,",There are major changes in dental education. PHOTO ID: https://www
"In preschools and kindergartens, behaviorist tenets were used to justify large-group drill on letters, numbers, and general knowledge as well as repetitive worksheet practice that required young children to sit at their desks for long periods, filling in blanks, coloring within the lines, and otherwise following teacher prescriptions. [EOS]",Behaviorist tenets helped justify strictly regimented education practices.,"Behaviorist tenets were used to justify large-group drill on letters, numbers and"
"Perhaps one day we shall find an Etruscan library, buried deep in the Italian countryside; but for the present, we have to make do with what we have, which is precious little. [EOS]","We have to make do with what he have for now, which is precious little.",We have to make do with what we currently possess. PHILIPPE
" Allows children to learn, play, and develop friendships during their summer and holiday vacations. [EOS]",Gives children the chance to play games and learn together with other children during holidays throughout the year. ,"Children can learn, play and develop friendships during their summer vacations. PHOTO"
"I'm going to cut it with the, a knife, the knot, so the cow can go and she won't die. [EOS]","I am going to cut through the knot with a knife so the cow can escape, otherwise she'll die.",I'm going to cut it with a knife. factory conditions will be
"Bodenheim adds a   Most of the above-listed terms are peculiar to Harlem, but some of them are also used by whites in other sections.  [EOS]",Harlem is full of the above-listed items,Bodenheim adds a few terms that are unique to Harlem. PH
Intelligence clearly linked the bombing to Libya's Colonel Muammar Qadhafi. [EOS],Intelligence said the bomb was linked to Libya's Qadhafi.,The bombing was linked to Libya's Colonel Muammar Qadhafi. 
They were armed and under NORAD's control. [EOS],They were armed and following NORAD's directions.,They were under the control of NORAD. PHILIPPEANIC
"Meanwhile, a manager from Boston Center reported that they had deciphered what they had heard in one of the first hijacker transmissions from American 11: Boston  Hey . . . you still there? [EOS]",A manager from the Boston center said they heard a hijacker transmission.,A manager from Boston Center said they had deciphered what the hijacker transmissions were
As the tax year draws to a close I would like to urge you to make a tax deductible contribution for the support of Women's Studies. [EOS],Hopefully you make a tax deductible contribution to support Women's Studies.,I would like to encourage you make a tax deductible contribution for the support of Women's
"By this time, Bin Ladin was well-known and a senior figure among Islamist extremists, especially those in Egypt, the Arabian Peninsula, and the Afghanistan-Pakistan border region. [EOS]","In certain areas of the middle east, like Egypt and Pakistan, Bin Laden had already secured a senior place as a well respected member of radical Islam.",Bin Ladalin was a senior figure among Islamist extremists. PHILIP
"Unlike the earlier flights, the Flight 77 hijackers were reported by a passenger to have box cutters. [EOS]",There was a report that hijackers on one of the flights had box cutters.,The Flight 77 hijackers were reported to have box cutters. PHIL
"Um, I wish I could think more. [EOS]",I wish I could ponder more.,I wish I could think more. PHILIPPEASANTISTA
That sounds dangerous. [EOS],That doesn't sound safe.,"That sounds dangerous. factory conditions are changing rapidly, and this is a"
There was confusion at that moment in the FAA. [EOS],The FAA was confused at that time.,The FAA was confused. fantasysAdvertisementscommentsand comments from the
"But the longer term viability of American textile centers will depend on the development of infrastructures capable of supporting advanced textile production in countries close to the U.S. market, such as Mexico and elsewhere in Latin America. [EOS]",Infrastructure which produces advanced textiles in Mexico and Latin America will impact the viability of American textile centers.,The development of infrastructures capable for supporting advanced textile production in countries close to
A number of poignant Yiddish words defy genuine translation into  [EOS],A certain amount of moving Yiddish words are very hard to translate.,There are a number of Yiddish words that defy translation. PHASE
"You know, like I know one day I'll have to sit down and decide if I'm where I want to be in life or if I'm not. [EOS]",There will come a time that I have to decide whether I'm contented where I am in life or not.,I know that one day I will have to decide if my life is where it should
"Touching the lives of youth on a daily basis, helping develop new skills, and preparing children to face the challenges of the next century are the Club's strengths. [EOS]",Helping kids every day so they can develop new job training skills is important to us.,The Club's strengths are helping children to face the challenges of their future. 
"They were planning to hijack these planes and turn them into large guided missiles, loaded with up to 11,400 gallons of jet fuel. [EOS]",Their plan was to hijack the aircraft and use them as missiles.,They were planning to turn the planes into missiles. PhonyphileAdvertisements
The space age began with the launch of Sputnik in October 1957. [EOS],In October 1957 the space age started after the launch of Sputnik.,The launch of Sputnik in October 1957 started the space age. PH
"The operation was carried out principally, perhaps exclusively, by Saudi Hezbollah, an organization that had received support from the government of Iran. [EOS]",The operation was carried out by Saudi Hezbollah.,Saudi Hezbollah was the main group that carried out this operation. PHILIP
How should I start? [EOS],How should I begin?,How should I start? fluxxAdvertisementscommentsand comments.com/
"And that's how it was, he left, at dawn, and he said, See you there, and he left with the, with the livestock, with the, and the, the others who were going to help. [EOS]",He left me at dawn to take care of the livestock with some others that were going to help out.,He left at dawn with the livestock. PHILIPPE was going to
"Amsterdam was settled by the Dutch, Geneva by the Swiss, etc., till one passes by a town apparently settled by the British'Sodus. [EOS]","Geneva was settled by the Swiss, Amsterdam by the Dutch, till one passes by a town apparently settled by the British'Sodus.",Amsterdam was settled by the Dutch. PHOTO: A town that is
"Um, and we're talking about childhood and middle school, what about high school? [EOS]","We have discussed middle school and childhood, let's talk about high school next.","We're talking about childhood and middle school, what's next? phobic"
"As outlined during recent meetings of the Board of Visitors and Alumni Association Directors, these will include an Indianapolis law student/alumni telephone campaign and increased emphasis on giving at the Maennerchor Society level. [EOS]","During meetings of the Board of Visitors and Alumni Association Directors, telephone campaigns were discussed.",An Indianapolis law student/alumni telephone campaign will be included in the new initiatives.
"Consequently, Sydney begins to move toward independent solving of the puzzle. [EOS]",Sydney starts solving the puzzle by herself.,Sydney is moving towards solving the puzzle independently. PHASE 1 of
You know you look down and see the Pentagon burning and I thought the bastards snuck one by us. [EOS],I thought that they got one against us.,I thought the Pentagon was on fire. fantasyAdvertisementscommentsand you look
"Simply fill out the enclosed card, and we will see you at the Grill! [EOS]",We will see you at the grill when you reply,Fill out the enclosed card and we will see you at Grill! phobic
"Under the leadership of Dean H. William Gilmore, the school has identified student support and technological infrastructure as the greatest needs in this year's annual fund appeal. [EOS]","Student support and technological infrastructure are the key areas in need of funding this year, per the school, led by Dean H William Gilmore.",Dean H. William Gilmore is the school's leader and has identified student support as one
They could not recall that any of the passengers they screened were CAPPS selectees. [EOS],"None of the passengers they screened were CAPPS selectees, as far as they could remember.",They couldn't recall if any of the passengers they screened were CAPPS selectees.
"Ah, we heard a suspicious transmission on our departure out of Boston, ah, with someone, ah, it sounded like someone keyed the mikes and said ah everyone ah stay in your seats. [EOS]",The transmission talked about having people stay in their seats.,We heard a suspicious transmission on our departure out of Boston. PHILIP
"However you choose to participate, I know you'll enjoy being a part of the Herron School of Art and Gallery. [EOS]",You will appreciate your involvement in the Herron School of Art and Gallery.,I know you'll enjoy being a part of the Herron School. PH
"Well, I did and sometime later removed it to my cottage in Canada and used decopor (a thick, clear glazed resin) on the top. [EOS]","I changed my mind, moved it, and sealed it with a thick resin on top instead.",I removed it and used decopor on the top. PHOTO:
Your child was a recent participant in a Social Health program at his or her school. [EOS],Your child's school recently had a Social Health program.,Your child was recently in a Social Health program at school. PHILOS
"Um, I'm sure I have I just can't think of what. [EOS]",I am pretty sure but I just can not think of what at the moment.,"I'm sure I have, but can't remember what. PHILIP"
I'm from New York. [EOS],New York is the place I'm from.,I'm from New York. phobicCommentscommentsand behaviors of a person
Radar reconstructions performed after 9/11 reveal that FAA radar equipment tracked the flight from the moment its transponder was turned off at 8:56. [EOS],The flight was tracked by the radar before the tragedy.,The FAA radar equipment tracked the flight from 8:56. PHOTO OF
"So, I have my sister's kid here and I'm going to kill him underneath this vehicle shortly. [EOS]",I am going to kill my sister's kid here with this vehicle. ,I'm going to kill my sister's kid. factoryAdvertisementscommentsand
The parallels with the information integration now occurring in retail-apparel-textile channels'this time driven by advances in computer and related technologies'are striking. [EOS],Parallels are appearing in retail-apparel-textile channels.,The parallels between the information integration and advances in computer technology are striking. PH
Did you go door to door? [EOS],Was it the case that you went door to door?,"Did you go door to house? factory.com"" did it happen"
"In addition to these dimensions, there are quarterly collections of different fabrics. [EOS]",There are different fabrics in collections every quarter.,There are quarterly collections of different fabrics. PHOTO OF THE QUARTER
"However, even for a basic product like blue jeans, it is unlikely that all these assumptions will hold. [EOS]",Assumptions rarely hold.,It is unlikely that all these assumptions will hold for a basic product like blue jeans.
That message and all subsequent attempts to contact the flight were not acknowledged. [EOS],"The attempts to contact the flight, including that message, received no reply.",The flight was not contacted by that message. fantasyAdvertisementscomments about the
"We count on your continuing interest in Sudden Infant Death Syndrome, the SIDS Alliance and our programs. [EOS]",We count on your donation to help fight SIDS.,We count on you continuing to be interested in Sudden Infant Death Syndrome. 
"According to one call, they voted on whether to rush the terrorists in an attempt to retake the plane. [EOS]",One caller said that there was a vote on the plane.  ,"They voted on whether to rush the terrorists. PHILADELphia,"
"As a result, product proliferation represents a shift in the curve relating sales volume and variability (see Figure 7.4). [EOS]",Sales volume and variability can be represented on a graph.,Product proliferation shows a shift in the curve relating sales volume and variability. Sign
"The L was based on the W , but a comparison, albeit superficial, reveals a number of differences, to  [EOS]",There are differences between the L and the W. ,The L was based on the W. PHOTO: A comparison shows a
"The NMCC officer who participated told us that the call was monitored only periodically because the information was sporadic, it was of little value, and there were other important tasks. [EOS]",The officer involved informed us that the call was observed sporadically due to the information also being sporadic.,The call was monitored periodically. factoryAdvertisementsWe were told that the information
"Notice how Alison's imagination ranges far beyond the immediate play props before her'a tea set, a toy truck, and an ambulance. [EOS]",See the way Alison's imagination is more advanced.,Alison's imagination is very wide. PHILIPPEAL: Alison
I wish I could take back my whole freshman year. [EOS],I would love to be able to start afresh with my freshman year. ,I wish I could go back to my freshman year. PHILIPPE
"At the same time, Boston Center realized that a message transmitted just before 8:25 by the hijacker pilot of American 11 included the phrase, We have some planes. [EOS]",The hijacker on one of the flights said that they had some planes.,Boston Center realized that the message from American 11 included a phrase. PHOTO
"And I said to him, And what is that for? [EOS]",I asked him what that was for.,I asked him what it was for. factoryCommentscommentsand I said
"This is demonstrated in a variety of  a shared literacy and the assumptions and biases that go with it; an awareness of what books are for; consciousness and use of innumerable cultural allusions and educated idioms; and a relative ease in reading a periodical called VERBATIM, with sections called OBITER DICTA and EPISTOLAE. [EOS]",The periodical VERBATIM has at least three sections.,A shared literacy is demonstrated in a variety of ways. PHOTO: A
"A good book for browsing in, giving many Scots words which have come into use in other parts of the English-speaking world and others which could perhaps add a little color (or colour) to English vocabulary here and there. [EOS]",The book added new words to the english language.,"A good book for browsing in, giving many Scots words which have come into use "
"In a recent provocative study, sociologist Arlie Hochschild spent months getting to know employees at a large Midwestern corporation she called Americo. [EOS]","Arlie Hochschild, a sociologist, spent months getting to know employees of Americo during a recent exciting study.",Arlie Hochschild spent months getting to know employees at a large Midwestern corporation
"OK, and your age? [EOS]","Yes, old are you?",What is your age? phoenix.comComments are being made on this
The Encyclopedia of Indianapolis is progressing well. [EOS],Progress is good for the Encyclopedia of Indianapolis. ,The Encyclopedia of Indianapolis is progressing well. phobicCommentscommentsand more to
"Uh, it was pretty much a kitchen a front room and two-bedroom house one bathroom. [EOS]",The house had only one bathroom.,It was a two bedroom house with one bathroom. fantasyAdvertisementscommentsand
"A member of the Muslim Brotherhood executed in 1966 on charges of attempting to overthrow the government, Qutb mixed Islamic scholarship with a very superficial acquaintance with Western history and thought. [EOS]","In 1966, a member of the Muslim brotherhood was executed on charges of attempting to overthrow the government.",Qutb was a member of the Muslim Brotherhood. PHOTO: Q
"Essentially, he proposes that the parent of all Indo-European languages was itself born in central Anatolia, whence it spread eastward, westward, and northward, being modified by the influences of the languages with which it came into contact, till it ultimately emerged in its recognizable, modern manifestations which we categorize into Germanic, Hellenic, Italic, Indo-Iranian, Anatolian, Armenian, Celtic, Tocharian, Albanian, and BaltoSlavic. [EOS]","The intersection of various cultures affected the primordial language, shaping and mutating it into modern-day equivalents.",He proposes that the parent of all Indo-European languages was itself born in central Anat
These are in turn surrounded and supported by holders of school certificates and other qualifications. [EOS],People with school certificates surround and support them.,These are surrounded by holders of school certificates and other qualifications. PHOTO:
The Maennerchor Society brings together persons who share a desire to provide enduring and generous support for the law school. [EOS],People who wish to provide generous support to the school are united by the Maennerchor Society.,The Maennerchor Society brings together people who want to support the law school
What has your support of our campers meant to them and what have they been able to accomplish because you care? [EOS],You need to tell me of your experience with the campers,What has your support meant to our campers? Comments from the people who
"Of course, if a researcher tampers with the evidence, making a unilateral, unsupported claim or assumption that a word means something that it does not, then that does not constitute semantic  it is what is known as dirty work at the crossroads, and M and S are indulging in a bit of mischief by suggesting that semantic change either has taken place or is taking place because they have some evidence that a certain change in usage had crept in. [EOS]",Researchers sometimes tamper with evidence and incorrectly designate semanticism.,M and S are trying to make a point about semantic change. PHOTO
Clarke reported that they were asking the President for authority to shoot down aircraft. [EOS],Some people wanted to start shooting down aircraft.,Clarke said they were asking the President to shoot down aircraft. PHIL
"Oh yeah, superheroes like Captain Marvel, Superman, Batman and all of them. [EOS]",Captain Marvel is a superhero like Superman and Batman.,"Captain Marvel, Superman and Batman are all superheroes. factoryAdvertisementscommentsand"
"Daisy is a combination of the Old English words, durges `day's' + eage `eye'. [EOS]",Daisy means is from old English and means durges days's' and eage eye,Daisy is a combination of the Old English words durges and eage. 
"Between 9:34 and 9:38, the Cleveland controller observed United 93 climbing to 40,700 feet and immediately moved several aircraft out its way. [EOS]","United 93 was observed climbing 40,700 feet between 9:34 and 9:38.","The Cleveland controller saw United 93 climb to 40,700 feet. PHIL"
Figure 7.2 depicts the weekly demand for a different SKU'the same single-breasted coat'but this time in a less popular size (43-regular). [EOS],The figure shows demand for a SKU that's less popular than another very similar SKU.,Figure 7.2 shows the weekly demand for a different SKU'the same single
"As the Soviets began their withdrawal, the jihad's leaders debated what to do next. [EOS]","When Soviets withdrew, jihads debated on what to do. ",The leaders of the jihad debated what to do next. factoryAdvertisementscomments
"I urge your consideration of joining the Maennerchor Society by making a gift of $1,000 per year. [EOS]","To join the Maennerchor society, a gift of $1,000 per year is required.",I want you to consider joining the Maennerchor Society. PH
