premise,hypo,generated_hypo
Today's girls will be tomorrow's leaders--and they're counting on YOU! [EOS],"The girls of now will be the future's leaders, and they rely on you!",Today's girls are going to be tomorrows leaders. Commentary on the
The use of modern design tools and information technology can collapse the design time so that managerial decision-making becomes the longest step in the process'and even the time for that step can be shortened with information technology. [EOS],Information technology can shorten the time of managerial decision-making.,Managing decision making is the longest step in a design. ­cement
"Simply put, the less certain retailers are of the demand for their product, the more safety stock they must hold to meet consumer needs. [EOS]",More safety stock must be held by retailers if they don't know the demand for the product.,"The less certain retailers are of the demand for their product, more safety stock they must"
"Um, what kind of things did you remember reading when you started to read? [EOS]",Do you have any recollection of what sort of stuff were your initial reading materials?,"What did you read when first starting to learn how? one.com"""
"While it apparently was not heard by the passengers, this announcement, like those on Flight 11 and Flight 77, was intended to deceive them. [EOS]",The announcement was supposed to trick the passengers.,The passengers did not hear the announcement. onece over 100 people were deceived
The looking-glass image of utopia--dystopia--has provided more numerous additions to the English lexicon. [EOS],More additions were found with the looking-glass.,The English lexicon has been expanded by the looking-glass image of dystopia.
"It was passed from here through the [operations] center at the White House, from the [shelter]. [EOS]",It was passed from the center to the White House,The operations center at the White House was where it went from. onece
"I said, Well we got some // gasoline. [EOS]",We had a certain amount of gasoline.,"I said we had gasoline. Vegas, I stated that they got"
We have created a scholarship endowment which will permanently recognize Dr. Steven Bricker's contributions to our school and profession. [EOS],To permanently recognize Dr. Steven Bricker we made a scholarship endowment. ,Dr. Steven Bricker's contributions to our school and profession will be recognized by a
Your support for our work would be greatly appreciated. [EOS],We'd appreciate your support.,We would appreciate your support for our work. onecementionible?
Bin Ladin was prepared to pick up where he had left off in Sudan. [EOS],Bin Laden wanted to pick up where he left off in Sudan. ,Bin Ladins was prepared to pick up where he left off in Sudan. 
We've helped people break free of the welfare cycle. [EOS],People have gotten off of welfare because of our help.,We have helped people break free of the welfare cycle. onece over time
Kids probably wonder what God looks like. [EOS],Kids are curious about what God looks like. ,Kids probably wonder what God looks like. Vegas is a popular place
But the cases suggest that stepping in only in at times of crisis cannot compensate for providing the ongoing togetherness and haven of a family. [EOS],The cases suggest that only getting involved in a crisis can't achieve enough.,The cases suggest that stepping in only at times of crisis cannot compensate for providing the ongoing
Or the flight attendants may just have been in their way. [EOS],The flight attendants might have been in the way. ,The flight attendants might have been in their way. oneceventively
"Inside the NMCC, the deputy director for operations called for an allpurpose significant event conference. [EOS]",The deputy director had called for an event conference to take place.,The deputy director for operations called an allpurpose significant event conference. onece
"Information regarding inadequate classrooms, moot court facilities, offices, the library and support service areas follow the above paragraphs. [EOS]",Information about inadequate community or services is listed above. ,"The above paragraphs contain information regarding inadequate classrooms, moot court facilities and offices. "
"In British English it is no longer considered a solecism to use the plurals they, their, them, theirs as a generalized pronoun for words like eyeryone, everybody, anyone, anybody , etc. [EOS]","It has become acceptable to substitute ""they, their, them, theirs"" as a generalized pronoun pronoun.","British English uses plurals as a generalized pronoun. one, anyone or anybody"
"Miyares' repeated trips to sick call basically boiled down to, get your act together and get back in the field, or we'll make you a private again sergeant. [EOS]","Miyares was told that if he didn't stop going to sick call, he would be bumped back down to being a private.",Miyares was sick on a regular basis. onecevension
Consider the following problematic situations that parents recently raised with  [EOS],Parents recently brought up some problematic situations.,Parents recently raised problematic situations. oneventiveimages of parents with problems that
"I mean literally you could just see it hang, it looked like a fire scene on the news it was awful. [EOS]",The scene was like one you would see on the news.,It looked like a fire scene on the news. onecely you could
Groundhog hole found the front tire of the motorcycle and I managed to fly over the handlebars. [EOS],I fell off my motorcycle due to a hole made by a groundhog.,I flew over the handlebars after a groundhog hole found my motorcycle's front tire
"Others are from families that are struggling to provide a healthy, happy environment but don't have the resources to make it possible. [EOS]",Some families do not have the resources to provide a healthy environment.,"Some families don't have the resources to provide a healthy, happy environment. "
"Perhaps the Proximity people thought that they had got round that little problem by giving the same definition for each of the items in the list; but we know that only very rarely are two synonyms bi-unique (which is another way of saying that if A = B, B does not necessarily always equal A), an ineluctable fact of language. [EOS]","Just because x equals y, you can't assume that y and x are always identical.",The Proximity people thought they had got around that little problem by giving the same
American 77 was then 5 miles west-southwest of the Pentagon and began a 330-degree turn. [EOS],American 77 started to turn 330 degrees.,"American 77 was west of the Pentagon. one degree turn, then 5 miles"
"Members receive a membership package that includes all of our educational material, a subscription to aakp RENALlFE, membership in a local chapter if applicable and assurance that your voice is heard in Washington, DC. [EOS]",Members get a package that has all the materials in it.,Members receive a membership package that includes all of our educational material.  summa
"In the words of a newspaper ad for a language school,  Do Mistake'Learn Better.  [EOS]",The ad posted in the newspaper was promoting a language school.,A newspaper ad for a language school said to learn better. oneceven
The FAA cleared the airspace. [EOS],Airspace was cleared by the FFA.,The airspace was cleared by the FAA. onece over 100 feet in height
We were putting siding on her house and beat on the door nobody comes to the door it's summertime everybody sleeping until 10:00. [EOS],We were outside before ten o'clock.,We were putting siding on her house and nobody came to the door. 
"Two such hints, however, have only a few possible answers in common, so that the solver can concentrate on them and pick the most probable one. [EOS]",There are only a few possible answers.,The solver can concentrate on the most probable one. one of two hints
"At the other end of the spectrum, a manufacturer can alter its internal design, planning, procurement, and manufacturing operations and respond rapidly to demand changes through the use of flexible manufacturing or sourcing practices. [EOS]",Flexible manufacturing and sourcing can help a manufacturer adjust to changing demands.,Flexible manufacturing or sourcing practices can be used to respond quickly. one
Rusine should be added to the supplement of English words ending in - ine (p. [EOS],Rusine should be added to the English words.,Rusine should be added to the supplement of English words ending in -ine.
"At 9:42, the Command Center learned from news reports that a plane had struck the Pentagon. [EOS]",News reports came in about a plane hitting the Pentagon.,The Command Center learned that a plane had hit the Pentagon. onece 00
I read everything I could get my hands on. [EOS],I viewed all that I could obtain.,I read everything I could get my hands on. onecevension
"Authoritative parenting, whether assessed through direct observation or older children's ratings of their parents' communication, is linked to many aspects of competence. [EOS]",Authoritative parenting is linked to many aspects of competence.,Authoritative parenting is linked to many aspects of competence. onecemente
Tax dollars that would have been spent on public assistance are saved. [EOS],It saves money from taxes that would go to public assistance.,Tax dollars that would have been spent on public assistance are saved.  sum of
Why wouldn't you want to stay on Charlotte? [EOS],What's the reason for your refusal to stay in Charlotte?,Why wouldn't you want to stay on Charlotte? one of the reasons why
Anthropology is one of its own more recent subdivisions. [EOS],One of the more recent subdivisions being anthropology.,"Anthropology is one of its newer subdivisions. Vegas,"
"Bin Ladin apparently kept his options open, maintaining contacts with Gulbuddin Hekmatyar, who, though an Islamic extremist, was also one of the Taliban's most militant opponents. [EOS]",Bin Ladin kept his options open by keeping in contact with Gulbuddin Hekmatyar.,Gulbuddin Hekmatyar was one of the Taliban's most militant
"Or they suggest that a confiict be solved by creating new, mutual goals. [EOS]",New goals being created can help solve conflicts.,They suggest that mutual goals can solve a confiict. Conflict of
The colors of the blouse can be changed with a few computer steps. [EOS],It's just a few steps with the computer to a new color for the blouse.,The colors of the blouse can be changed with a few computer steps. 
"As I recall, I've never asked you for a contribution...until now. [EOS]","I've never asked you for a donation, but I will now.","I've never asked you for a contribution. onece, as I recall"
"When a performer is inspired, it is said that he, or she,  tiene duende  (`has it'). [EOS]",It is said that a performer 'has it' when they are most inspired.,"When a performer is inspired, it's said that he has tiene duende."
 We serve a classic Tuscan meal that includes a Florentine terrine made with dick and chicken livers. [EOS],We serve a meal of Florentine terrine.,Dick and chicken livers are both included in the classic Tuscan meal. 
"Uh Asimov, he died about 8 years ago but I still find one or two of his that I hadn't read yet. [EOS]",I still find Asimov stories that I haven't read before.,"I still find some of Asimov's books, even though he died 8 years ago"
"At 9:58:57, Jarrah told another hijacker in the cockpit to block the door. [EOS]",Jarrah told another highjacker to block the cockpit door. ,Jarrah told another hijacker to block the door. onece 00:
They knew American 77 was lost. [EOS],They had knowledge of American 77's condition.,They knew American 77 was lost.  summa contravene the law of
"As for Macbeth's great bond , this is a crux over which commentators have argued for years. [EOS]",People have argued over parts of the play for a long time.,Commentators have argued for years about Macbeth's great bond. one
"Jarrah's objective was to crash his airliner into symbols of the American Republic, the Capitol or the White House. [EOS]",Jarrah was ordered to destroy symbols of America.,Jarrah wanted to crash his plane into the Capitol or White House. one
"He tried the radios, first calling the aircraft directly, then the airline. [EOS]","He tried talking to the pilot, then he contacted the airline.","He tried the radios, first calling to his aircraft and then contacting an airline. "
"All on board, as well as many civilian and military personnel in the building, were killed. [EOS]","Everyone, including civilians and military, was killed.  ",All on board and in the building were killed. onecevenity of
"Since its re-organization, MCCOY has established its unique niche within the community by refraining from direct service programming and focusing on what it does  helping to identify youth needs, convening groups of individuals and organizations which can address those needs, and moving toward collaborative solutions. [EOS]",MCCOY helps to organize groups to address community needs.,MCCOY has a unique niche within the community. onece over time
I won't tell. [EOS],I won't tell.,I will not say anything. onecement of the truth? I won
"Consider Dickens' sharp image in Bleak House (Chapter LIV) when he describes how  Sir Leicester leans back in his chair, and breathlessly ejaculates. [EOS]",Sir Leicester was ejaculating while leaning back in his chair.,Sir Leicester ejaculates in Bleak House. onece over the course of
"metapsychosis One of the finest of traps for the knowledgeable  it has nothing to do with some over-arching, society-wide psychological illness like alcoholism or jogging. [EOS]",Metapsychosis and alcoholism aren't related to one another.,Metapsychosis is a trap for the knowledgeable. onecement
How about making their publicity buyer-friendlier as well? [EOS],Perhaps buying publicity should be made easier?,They should make their publicity buyer friendly. oneventime? How about it
"Hopefully, all of us can do more internal marketing with our young patients to encourage them to consider the field of Dental Assisting. [EOS]",We should all encourage our young patients to consider the field of Dental Assisting.,We should do more internal marketing with our young patients to encourage them. one
"She's a, she works in a warehouse now, actually. [EOS]",She is employed at the warehouse.,"She works in a warehouse. Vegas, actually? She's working"
"No evidence of firearms or of their identifiable remains was found at the aircraft's crash site, and the cockpit voice recorder gives no indication of a gun being fired or mentioned at any time. [EOS]",There was no evidence of guns on the plane.,There was no evidence of firearms or identifiable remains at the crash site. one
"But in most situations in which a firm provides a wide range of goods to customers, some of its products will have low or moderate demand variation, while others' demand will vary a great deal. [EOS]",Some of the products a firm carries will have low demand variation.,"Some of the products have low or moderate demand variation. onece, but"
"There is another option called, SUGGEST, which, if invoked, lists up to seven or eight words that you might have had in mind when you wrote the one that offended the machine, and this brings me to the point of this article. [EOS]","By using the SUGGEST option, the program lists up to seven or eight words.",SUGGEST is a way to list seven or eight words that offended the machine
"The Japanese spell and pronounce what they hear and are accustomed to pronounce, much as Americans are inclined to say  Kindagarden,   ekscape,   lawnjeray,   asterik,  and  ekcetera.  [EOS]",Americans are inclined to pronounce words differently from how they are actually spelled.,"Americans are inclined to say Kindagarden, ekscape and lawnjeray."
You can stop. [EOS],You don't have to go on.,"You can stop. onecement of the situation at hand, and you"
Futures for Children was founded over 30 years ago to provide unique solutions for positive and sustainable social change by placing children at the center of community decision-making and action. [EOS],Futures for Children mission is to provide unique solutions for social change.,Futures for Children was founded over 30 years ago.  summa>
"By the 1990s, high birthrates and declining rates of infant mortality had produced a common problem throughout the Muslim  a large, steadily increasing population of young men without any reasonable expectation of suitable or steady employment-a sure prescription for social turbulence. [EOS]",There are a lot of young unemployed Muslim men.,There was a large increase in young men without any reasonable expectation of suitable or steady employment
The Challenger Scholars Program attempts in a small way to address this crisis by encouraging bright and dedicated students with a desire to extend their knowledge into the classroom as teachers to continue in that career path. [EOS],The purpose of the Challenger Scholars program is to inspire students to become teachers and continue their career path.,The Challenger Scholars Program tries to address this crisis by encouraging bright and dedicated students with a
I want to meet the coldest women'the women who get their diamonds and cars and then start to bawl about how sad and unlucky they've been. [EOS],There are women who unfairly complain about their lives even though they have diamonds and cars.,I want to meet the coldest women. ­heitِ0x00
The opportunities presented by the Ruth Lilly Outdoor Center offer these kids learning experiences not available in the inner-city environment. [EOS],The inner-city environment doesn't have all types of learning experience kids may need.,The Ruth Lilly Outdoor Center offers kids learning experiences that are not available in the inner city
"Well, let's see. [EOS]","Let's find out, then.","Let's see. oneceventively, let us examine this matter"
Everything will be okay. [EOS],Everything will be all right.,Everything will be fine. onecevenousness of the situation is not
"They were scary, throwing a child in the oven and all that sort of thing! [EOS]",Throwing the child in the oven was scary!,"They were scary, throwing a child in the oven. onece overbearing"
"The going gets tougher, however, as the two meanings of the answer move further  [EOS]",When there are two meanings it gets harder.  ,The going gets harder as the two meanings of answer move further. one?
"We lived between, between the border of Honduras and El Salvador. [EOS]",We resided between the border of Honduras and El Salvador. ,We lived between the border of Honduras and El Salvador. onece over two
I cannot overemphasize the importance of your support. [EOS],Your support is exceedingly important and cannot be exaggerated.,I can't emphasize how important your support is.  summa contravene
"The controller tracking American 77 told us he noticed the aircraft turning to the southwest, and then saw the data disappear. [EOS]","According to the controller, the data for the aircraft disappeared after it turned to the southwest.",The controller tracked American 77 and saw the data disappear. onecemention
"When 3- and 4-year-olds use their newfound capacity to talk about mental states during play with friends, their understanding of false belief improves further. [EOS]",Children have the ability to understand false belief.,"When 3- and 4 year olds talk about mental states with their friends, they understand"
Congress killed the idea. [EOS],Congress vetoed it.,"Congress killed the idea. Vegas, California - United States of America"
Does parenting really matter? [EOS],It's unclear if parenting is really that important.,Does parenting matter? one hundred percent. The question is posed by the person
The first of two case studies illustrates how demand uncertainty affects a firm's target inventory levels. [EOS],The first case study demonstrates demand uncertainty and its effects on inventory levels.,Demand uncertainty affects a firm's target inventory levels. one of two case studies
"In an intensive observational study of daily storytelling in two communities'six middle-class Chinese families in Taipei, Taiwan, and six middle-class American families in an Irish-Catholic neighborhood in Chicago'Peggy Miller and her colleagues72 found that preschoolers and their family members routinely narrated past experiences. [EOS]",Peggy Miller's observational study revealed that preschoolers and family members narrated past experiences.,Peggy Miller and her colleagues found that preschoolers narrated past experiences. one
"In many other places, the ancient sites lay buried'and still do'beneath modern  modern property owners quite understandably take a dim view of tearing down their buildings on the off chance that the remnants of an ancient town will be found several yards below. [EOS]",Many ancient places remain in undiscovered. ,Property owners don't want to tear down their buildings if there are remnants of an ancient
Take a step toward making a difference in the lives of our young woman and recommit to the Girl Scout vision. [EOS],Move in a direction to create a difference for the lives of young women and commit again to the vision of Girl Scouts.,Take a step to make an impact on the lives of our young women. 
I'm enclosing some information on Children's Harbor which I hope you'll find interesting. [EOS],I have attached some details about Children's Harbor for you to read.,I'm enclosing some information on Children's Harbor which I hope you'll find interesting
"The IU School of Dentistry is committed to remaining the recognized leader in scholarly research, teaching and service. [EOS]","The IU School of Dentistry is the leader in scholarly research, teaching and service.","The IU School of Dentistry is committed to remaining the recognized leader in scholarly research,"
"Grandpop was a very quiet, somber man he wouldn't say much but uh, Gra ndmom was a little more boisterous. [EOS]",Grandfather was a silent man and didn't talk much.,"Grandpop was a quiet man.  summa contraption, Gra nd"
The first of the Andrews fighters was airborne at 10:38. [EOS],Fighters were in they sky at 10:38.,The first Andrews fighter was airborne at 10:38. onecemention
I have a savings account. [EOS],I have an account where I deposit my savings.,"I have a savings account. Vegas, I am aware of this"
" It sounds like, we're talking to New York, that there's another one aimed at the World Trade Center. [EOS]","When talking to New York, it seemed as if another plane was aimed at the World Trade Center.",It sounds like there is another one aimed at the World Trade Center. one
"It was a series of little fiction stories, and my mother must have read me every single one of them. [EOS]",My mother read me every one of those fiction stories.,"My mother read me a series of short fiction stories. onecely,"
"Girl Scouts experience a wide range of real life skills--first aid, resume writing, and managing money. [EOS]",Girl Scouts learn many new great and useful skills.,"Girl Scouts learn first aid, resume writing and managing money. ­hood of"
"A survey of over 36,000 Indiana youth conducted by the IU Prevention Resource Center found that approximately two-thirds of substance abuse begins with this age group. [EOS]",The survey indicated that 66% of substance abuse begins when they are still youths.,"The survey of over 36,000 Indiana youth conducted by the IU Prevention Resource Center found"
"For example, close to 50 percent of the value of shipments for men's shirts comes from the cost of materials, while 25 percent arises from compensation costs. [EOS]",The cost of materials for men's shirts is greater than the compensation costs.,Men's shirts are shipped for a lot of money. one percent comes from
We have already described some specific ways that managers can think about integration of new information technologies and manufacturing practices. [EOS],Managers can think about integration of new technologies in any of the ways we have described.,Managers can think about integration of new information technologies and manufacturing practices. one
"However, these tax credits are only available for a limited time, so we ask that you act soon if you would like to use them. [EOS]",Act soon if you would like to take advantage of these tax credits.,"If you would like to use tax credits, we ask that it be done soon."
"They're making trincheras, they call them trincheras, where they're putting mounds of stones near the houses, so that the bullets there. [EOS]","They're building trincheras, or stone trenches around their houses.","They are making trincheras, where they put stones near the houses. "
"So, early that morning, that afternoon, I came down from San Miguel, and I told him, I'm going to go. [EOS]",I traveled from San Miguel to tell him that I am leaving.,I came down from San Miguel that morning. onece over two hours later
Your memories are probably very similar. [EOS],Your memories have many similarities. ,Your memories are similar. Vegas is a place where people live and
Push them back. [EOS],They must be shoved back and left there.,Push them back. onece over the top of each other? No way
"Nobody who knew him would have expected him to do anything else, whether he had been sent away in disgrace or not'but, as it was thought he had left the country, his return did have a dramatic quality. [EOS]",Nobody he knew expected him to do anything else.,"He was sent away in disgrace. onece, nobody expected him to do"
"The program soon expanded to other vendors, including apparel suppliers, who entered their own  trading partnerships with Wal-Mart. [EOS]",Apparel suppliers began using the program after creating a trade partnership with Wal-mart.,The program soon expanded to other vendors. onecement suppliers entered their own
You don't know. [EOS],You don't know.,You don't know. onevenerment of information regarding you and your
We hope that you will consider a personal gift to help us offer our young people as possible. [EOS],We hope you will give us a personal gift to help young people.,We hope you will consider a personal gift to help us offer our young people as possible
The lines further from the trend line indicate the range with a likelihood of 90 percent. [EOS],The lines with greater distance from the trend line show the range with a 90 percent possibility.,The range with a 90% chance is indicated by the lines further from trend line.
Even on so small an island as Taiwan the Mandarin-speaking ex-mainlanders cannot converse with the Taiwanese-born majority who have not bothered to learn Mandarin. [EOS],The language differences on Taiwan mean that the Taiwanese majority and its Chinese ex-mainlanders still cannot talk to one another.,The Taiwanese-born majority have not learned Mandarin. onecement of the
My name is Gloria Cotton. [EOS],I have a name.,"Gloria Cotton is a woman. onecevently speaking, Gloria"
The outcome left Bin Ladin indisputably in charge of what remained of the MAK and al Qaeda. [EOS],Bin Ladin was in charge of what was left of al Qaeda.,Bin Ladins was in charge of what remained. onece the outcome
"Probably Lois, your Aunt Lois. [EOS]",It is likely to be your Aunt Lois.,"Lois is your aunt. Vegas, probably Lois? - yeah"
State financial support is unlikely to increase significantly during the remainder of this decade. [EOS],Financial support from the state is unlikely to increase significantly.,State financial support will not increase significantly during the remainder of this decade. one
"The connotation of gifted artistic performance, however, might stem from the gypsy culture in Andalusia whose dialect, cal?? , has words like duquende (possibly from the Russian dook ) meaning `spirit or ghost,' and duquendio , meaning `maestro. [EOS]","The word duquende translates to spirit, or ghost.",The gypsy culture in Andalusia has words like duquende and ddu
I couldn't have done it. [EOS],I couldn't have done it.,I couldn't have done it. onecementionible circumstances made that
"Three months later, when interviewed in Afghanistan by ABC-TV, Bin Ladin enlarged on these themes. [EOS]",Bin Landin was interviewed three months later.,Bin Ladins was interviewed by ABC-TV. oneventime Three
"Instead, they obey their caregivers and go to bed. [EOS]",They went to bed and didn't disobey their caregivers.,They obey their caregivers and go to bed. oneventime 00:00
"About thirty years ago, when I was concocting an epicurean dish and saw that I had no sherry on hand, I went to the liquor store and bought a bottle of muscatel that was being sold for an absurdly low price and that I thought might be exactly right for my sauce. [EOS]",Thirty years ago I ran out of sherry while making a dish so I bought a bottle of muscatel really cheap. ,I bought muscatel at the liquor store because I didn't have sherry.
"That is to say, beside Indo-European and Indo-Hittite, there must have existed an Indo-Slurvian. [EOS]",There must have existed an Indo-Slurvian.,There must have been an Indo-Slurvian. oneceven
But not all fantasy qualifies as wish fulfillment. [EOS],Not all fantasy is for wish fulfillment.,"Not all fantasy is wish fulfillment. Vegas, but not at least"
"Um, I wanted to be closer to my family, number one, and, um, number two, I have a lot of friends coming here, which helped me a lot, and, um, I just liked the Charlotte, um, UNC Charlotte because I wanted to be a, a nurse. [EOS]",I wanted to go to UNC Charlotte to become a nurse.,"I wanted to be a nurse. ­hood, I have friends coming here"
"NORAD, what's the situation? [EOS]","What is going on,  NORAD? ","What is the situation? (x) by NORAD.com, what"
Please show your support and make a gift. [EOS],Please give a gift as a way of demonstrating your support.,Please give a gift and show support. oneventiveimages/iStock
A valuable seven-week course called COPES [Community Orientation for Expatriate Spouses] introduces the non-employed spouse to day-to-day life and opportunities in central Indiana. [EOS],COPES is a seven week course that informs and trains the non-employed spouses.,COPES is a seven-week course that introduces the non employed spouse to day
Just like the respect we've earned from U.S.News  and World Report. [EOS],It's the same kind of respect we've earned from U.S.News and World Report.,We have earned respect from USNews and World Report. oneventimely
But fortunately they didn't. [EOS],"Fortunately, they did not do that.",They didn't. Vegas is not a place where they would have
My dad still doesn't believe me. [EOS],My father still doesn't think I'm telling the truth.,My dad doesn't believe me.  summa contravene the law of
Gifts of $100.00 are more are recognized through various ways by the school. [EOS],Donations of $100 dollars are appreciated more by the school.,Gifts of $100.00 are recognized by the school in various ways 
Please use the enclosed reply card and the postage-paid envelope to make your contribution. [EOS],Please use the enclosed reply card and the return envelope to donate.,The reply card and postage paid envelope are used to make your contribution. one
You can help us help overburdened new parents. [EOS],We can help overburden parents with your help.,You can help us with overburdened new parents. Vegas
"Through conversing with others, we try to make puzzling events and behaviors understandable. [EOS]","Through talking with others, we try to understand puzzling events.",We try to make puzzling events and behaviors understandable through conversing with others. 
He made a face too. [EOS],He made a face.,He made a face. oneidaptionible]ILustrations of the
What kind of stories does she tell you? [EOS],What different types of tales does she give to you?,"What kind of stories does she tell you? asked.com, what"
"Nobody who knew him would have expected him to do anything else, whether he had been sent away in disgrace or not'but, as it was thought he had left the country, his return did have a dramatic quality. [EOS]",Nobody he knew expected him to stop.,"He was sent away in disgrace. onece, nobody expected him to do"
"That's why it's such like a big thing, because my uncle, he went, he went into the military and then came out. [EOS]",My uncle served in the military.,My uncle went into the military and came out. onece over a decade
"Having spreading, computer-cutting, fusing, and inspection in the same areas also allows teams of cross-trained workers to prepare the order for sewing, finishing, final inspection, and packaging. [EOS]",Keeping many operations in the same area will help other operations be prepared.,"Having spreading, computer-cutting and inspection in the same areas allows teams of cross trained"
"Inevitably, some of the entries are more imaginative than others; Dickson will have his hands full if everyone responds giving private words. [EOS]",Some entries have a lot more imagination than others.,Dickson will have a lot of work to do if everyone responds. one
"Once these manufacturing and information practices have been adopted, it should come as no surprise that they affect the performance of business units. [EOS]","If the practices are adopted, it should come as no surprise that they affect the performance of the business units.","Once these manufacturing and information practices have been adopted, it should come as no surprise that"
"Using traditional sewing operations, it typically takes eight weeks to produce a coat, from the time an order is issued for cutting to the moment the finished goods are hanging in a manufacturer's distribution center. [EOS]","From start to finish, making a coat via traditional methods takes roughly eight weeks.",It takes eight weeks to make a coat. ­heitelligible]it
"Excessive stimulation also causes them to withdraw as they try to shield themselves from a stimulus deluge, thereby creating conditions that, paradoxically, are much like stimulus deprivation! [EOS]",Stimulus deprivation can be caused by too much stimulation.,Excessive stimulation causes them to withdraw. one sum total of conditions that are
"When Sydney experiments with the color-matching strategy and succeeds in placing the brown piece, she internalizes the technique. [EOS]",Sydney internalizes the technique only when successfully placing the brown piece.,Sydney tries the color matching strategy and succeeds. onecemention
But the situation soon  [EOS],The situation soon. ,The situation will be resolved soon. onecement of the circumstances in question
We need your participation in our activities and your financial support to help make our goals happen. [EOS],We need your money and cooperation to help achieve our goals.,We need your support to make our goals happen. onecement of participation
"I love to read just plain history, um, it must have rubbed off in some aspect because that's the kind of thing I still read. [EOS]",I love to read pure history.,"I love to read history. Vegas, I think it must have"
When I first came to Goodwill I was a single parent with little or no self-esteem. [EOS],I was a single parent with not much self-esteem when I first arrived at the Goodwill.,I was a single parent when I first came to Goodwill.  summa
The creation of a national highway system in the 1950s further fostered the development of mass retailing by opening vast new spaces in suburban malls. [EOS],The completion of national roads in the 50s helped the advancement of mass retailing.,Mass retailing was further fostered by the creation of a national highway system in 1950
Statistics for the current academic year are the same. [EOS],This academic year's statistics are identical.,Statistics for the current academic year are similar. onecement of statistics in
We are returning to the airport. [EOS],We will be going back to where the flight departed from.,"We are going back to the airport. onece over twenty minutes ago,"
Understanding is the key. [EOS],Understanding is the most important aspect,"Understanding is the key. Vegas, California - June 1st 2018"
"Most recently, we received results of an employment survey of 1990- 91 graduates, conducted by IUPUI's Career and Employment Services--it was pleasing to learn that we had nearly twice as many graduates as any other department in the School of Liberal Arts. [EOS]",We have recently received employment survey results. ,The results of the survey showed that we had more graduates than any other department in school
"Therefore, this age group continues to need more adult supervision and positive programs during after school hours. [EOS]",It's an age group that needs more adult supervision and positive programs during school hours.,This age group needs adult supervision and positive programs during school hours. ­hood
"Uh, so yeah, I took up a lot of her life and she read a lot of children's stories to me as a result of that, but I don't believe she read a lot for her own amusement. [EOS]",I took up a lot of her time and she read a lot of children's stories.,I took up a lot of her life and she read to me. one
Do you know what a teja is? [EOS],What is a teja?,"Do you know what a teja is? asked.com, do"
"In studies following children from infancy into childhood and adolescence, early brief episodes of parental stimulation and sensitivity did not result in more competent children. [EOS]",Parental stimulation and sensitivity towards a young child don't really affect a child's competency.,Studies were conducted on children from infancy to adolescence. onecement of parental
"We hope the enclosed bookmark, just the right size for a paperback, will remind you of Joe and the hundreds of other adults working to improve their lives, their families and their community through stronger basic skills. [EOS]",We hope the enclosed bookmark will remind you of Joe and other adult learners gaining basic skills.,The bookmark is just the right size for a paperback. one sum total of
The entire thing! [EOS],The whole thing,"The entire thing!  sum. All of it? Yes, indeed...it"
"Would you say that um, your mom or you dad or whoever is telling the story, tells that part of the story, the, the last part when you came to the door and she saw the glow of light, would you say that they tell that part of the story more than any other part or do they tell the whole thing from beginning to end? [EOS]","Do your mom or dad, when they tell the story, tell it all fully from start to finish and give pretty equal emphasis to all parts of it, or do they focus much more on the bit near the end where you approach the door and she sees the glowing light? ",Do you think your parents tell the whole story? one part of it is
"Hence, the term isogloss , from iso - `same' + gloss `word,' to describe the line on a map where the terms are of equal distribution. [EOS]",The word isogloss refers to the line on a Mao where terms are equally distributed. ,Isogloss is a term that describes the line on maps where terms are of equal
Coming to Goodwill was the first step toward my becoming totally independent. [EOS],becoming totally independent is a process that starts with coming to Goodwill.,"I became independent after coming to Goodwill. onece over time, I"
"It's a relatively painless experience and not very cumbersome to deal with, not bad. [EOS]",It was pretty good and really simple to deal with.,It's not very difficult to deal with. ­hood sum total of pain
"That's a little bit of pressure, though. [EOS]",That is a small amount of pressure.,That is a little bit of pressure. oneventiveimages/iStock
A list of the schools served during the 1996-97 school year is enclosed. [EOS],Here is a list of the schools we served.,The schools served during the 1996-97 school year is enclosed. Conferences
"I am happy, by the way, that Abate did not say that studying Latin helps you to think clearly'an erroneous notion still often heard. [EOS]",I am happy with what Abate had not mentioned about the studying of Latin.,Abate did not say that studying Latin helps you to think clearly. one
 Kid  Ory played great jazz trombone. [EOS],Kid played jazz music.,Kid Ory played a great jazz trombone. onece over 100
"Spreading the cloth many plies thick without stressing the cloth is, again, one of the quality steps of getting ready to sew. [EOS]",One important step in sewing is spreading the cloth many piles thick and not stressing it.,Spreading the cloth thickly is a quality step of getting ready to sew. 
"Increased rates of product introduction, product proliferation, and shortened product cycles mean that companies have to respond much faster to rapidly changing markets. [EOS]","Increased production rates, proliferation, and shortened product cycles mean companies need to respond quickly to rapidly changing markets.",Companies have to respond faster due the increased rates of product introduction. onece
"Even Shelley may stake a claim, if only in the pajama division of this sector, thanks to his description in Epipsychidion of how [EOS]",Shelly is now able to stake a claim in the pajama division of the sector.,Shelley may stake a claim in the pajama division. one
We are also planning new initiatives. [EOS],We are going to have new initiatives,"We are also planning new initiatives. Vegas, California - November 2018"
What are the most important human needs here in central Indiana? [EOS],What needs are the highest priority for people in central Indiana? ,What are the most important human needs in central Indiana? one of them.
