<t> President Reagan quickly withdrew U.S. forces from Lebanon-a reversal later routinely cited by jihadists as evidence of U.S. weakness.</t> [EOS],Reagan moving the US military out of Lebanon in response to attacks there is sometimes cited by terrorists as proof of US weakness.,Reagan quickly withdrew U.S forces from Lebanon : prep-as
"<t> If the sewing machine is correctly threaded, the operator then lifts the presser foot'a device that comes down on either side of the needle to hold the cloth'and, if the needle is in the up position, inserts the fabric.</t> [EOS]",The operator uses the foot'a device to hold the cloth on either side of the needle.,The operator then lifts the presser foot'a device that comes down on either side
"<t> Together, I believe that we can make a contribution which will be very meaningful for the students at the school.</t> [EOS]",We could raise a lot of funds for the students together.,I believe we can make a contribution that will be meaningful for the students at school.
<t> Your tax-deductible contribution may be sent in the enclosed postage-paid envelope with the attached return card.</t> [EOS],You may use the provided envelope to mail in your contribution.,The envelope with the attached return card can be sent in your tax-deductible
"<t> As for stalemate , which is related to checkmate , would it not have been important to indicate that the - mate part has nothing to do with English, having been borrowed from checkmate which is a loanword from Persian (and has nothing to do with check , either).</t> [EOS]","Stalemate is related to checkmate, and the mate part of the word is actually derived from a loanword from Persian.",It was important to indicate that the mate part has nothing in common with English.
<t> [A message to businessmen from the Pasco County (Fla.)</t> [EOS],A statement for people working at a business in Florida.,"A message to the businessmen from Pasco County.  expressive, ""a"
<t> The flight attendants would have begun their cabin service.</t> [EOS],The flight attendants' cabin service would have begun.,The flight attendants would have started their cabin service.  revealing: concerning the
"<t> There are several critical areas which cannot be funded by the citizens of the State of Indiana, and without these programs our school cannot completely fulfill its mission.</t> [EOS]",These critical areas cannot be funded by the citizens of the State of Indiana. ,The citizens of Indiana cannot fund the school.  expressive: prep-without
"<t> The emergency call lasted approximately 25 minutes, as Ong calmly and professionally relayed information about events taking place aboard the airplane to authorities on the ground.</t> [EOS]",Ong relayed information about the events to authorities on the ground for about 25 minutes.,"The emergency call lasted 25 minutes.  and Bravo, as Ong calmly relayed"
<t> Barn is compounded from the Old English words beren `barley' + ern `house.</t> [EOS],Barn is a compound word from Old English words,Beren means house in the Old English language.  expressive: prep-
"<t> We arrived, at my brother's, and Cristobal, with the livestock and the rest, still hadn't arrived.</t> [EOS]","When we got to my brother's, there was no sign of Cristobal or the livestock.",Cristobal still hadn't arrived at my brother's.  expressive:
"<t> I feel like I'm letting them down, so to, so to speak.</t> [EOS]",It seems to me that I am disappointing them. ,"I feel like I'm letting them down. amittingface, i"
<t> The YMCA of the USA also named it an Outstanding International Program in 1997.</t> [EOS],"In 1997, the YMCA of the USA also named it an Outstanding International Program.",The YMCA of the USA named it an Outstanding International Program in 1997.
"<t> Actually, my sister wrote a story on it.</t> [EOS]",My sibling created a story about it. ,My sister wrote a story about it.  expressive: prep-on behalf
"<t> The Herndon Command Center immediately established a teleconference between Boston, New York, and Cleveland Centers so that Boston Center could help the others understand what was happening.</t> [EOS]",The Herndon Command Center established a teleconference between the centers so Boston could tell the others what was going on.,"The Herndon Command Center established a teleconference between Boston, New York and Cleveland"
"<t> Well, probably the favorite book I had, this is a little different I had The Giant Golden Book of Astronomy, which I got when I was in the second grade and I read it cover to cover till I wore it out.</t> [EOS]",I read The Giant Golden Book of Astronomy many times. ,I read The Giant Golden Book of Astronomy when I was in second grade. 
"<t> The idea of a domestic command for homeland defense began to be discussed in 1997, and in 1999 the Joint Chiefs developed a concept for the establishment of a domestic Unified Command.</t> [EOS]",A domestic Unified Command was developed by the Joint Chiefs in 1999.,The Joint Chiefs developed a concept for the establishment of domestic Unified Command. 
<t> Neither do we.</t> [EOS],We also don't wish that.,"We do not.  imperative: prep-to? Otherwise, we are"
<t> Our 90th Birthday celebration began in July and will continue through February.</t> [EOS],We turned 90 recently and are celebrating from July to February.,Our 90th birthday celebration began in July and will continue through February. 
"<t> Men are seldom assigned to review them, possibly because the editor fears that they will be either ignorant of or unsympathetic to the issues raised, if not biased against them, or because the editor is a woman.</t> [EOS]",Men usually don't assigned their work to review because editors get nervous about it.,"The editor is a woman. am: prep-to review them,"
"<t> Many of the popular accounts of quick response, rapid replenishment, and supply-chain management assume that all parties'consumers, retailers, and suppliers'win as a result of these policies.</t> [EOS]",Popular accounts assert that certain methods like quick response benefit both consumers and retailers.,"Many accounts assume that all parties' consumers, retailers and suppliers win as a result of"
<t> And we don't waste money.</t> [EOS],We never waste any money.,"We don't waste money.  detecting: concerning the other thing, and"
<t> It was a very interesting experience.</t> [EOS],I found the experience interesting.,"It was a very interesting experience. , it's been aninteresting event"
"<t> The Command Center executed the request and, a minute later, Cleveland Center reported that United 93 may have a bomb on board.</t> [EOS]",A minute after the Command Center executed the request the Cleveland Center reported that flight of United 93 may have a bomb on board.,The Command Center executed the request.  and then Cleveland center reported that United
<t> Both individuals agreed that the teleconference played no role in coordinating a response to the attacks of 9/11.</t> [EOS],Neither party claimed that the phone meeting of the prior morning had been responsible for the actions taken in relation to the attacks on 9/11.,The teleconference played no role in coordinating a response to the attacks of 9/11.
<t> And I said to some of my cousins that I had only the last I had seen was at Grandpop's funeral.</t> [EOS],The last time I saw them was at grandfather's funeral.,I told my cousins that I only saw Grandpop's funeral.  expressive
"<t> For the short term, its impact will be on a relatively small niche market.</t> [EOS]",The impact will be on just a small market.,The impact will be on a small niche market for the short term.  expressive
<t> It's a faith that has made brothers and sisters of every race.</t> [EOS],People of all races have been a part of this faith.,It's a faith that has made brothers and sisters of every race.  expressive
<t> I can assure you that your investment in this institution will allow us to continue the long tradition of excellence that is Cathedral High School.</t> [EOS],Investing in cathedral High Schol will allow the school to keep on with ts tradition of excellence.,Cathedral High School has a long tradition of excellence.  expressive: prep
<t> Those accounts had the effect of deflecting questions about the military's capacity to obtain timely and accurate information from its own sources.</t> [EOS],"As a result, the military faced less scrutiny about its information-gathering.",The accounts had the effect of deflecting questions about military's ability to obtain timely and
"<t> She further indicated that the hijackers were not aware of her phone call, and that they had put all the passengers in the back of the plane.</t> [EOS]",The hijackers were not aware of her phone call.,She said that the hijackers were not aware of her phone call.  expressive
"<t> The airlines bore responsibility, too.</t> [EOS]",The airlines were responsible.,The airlines are responsible.  revealing: prep-as a part of this group
"<t> Believing they had only a minute or two, the Vice President again communicated the authorization to engage or take out the aircraft.</t> [EOS]","The VP thought they only had a minute or two to make the decision, so he told them to shoot any plane down immeditaely.",The Vice President told them they only had a minute or two.  expressive
"<t> In the 16th century the word was also a  `to run through, run across.</t> [EOS]",The word had another additional meaning in the 16th century.,The word was also used in the 16th century.  expressive: prep
<t> So we took a chance on it and started following the billboards.</t> [EOS],We started following the billboards.,We took a chance on it and started following the billboards.  expressive:
<t> Smacked my chest.</t> [EOS],Hit my chest.,"It hit me in the chest. : ""smacked my face."""
"<t> At 8:34, the Boston Center controller received a third transmission from American 11:</t> [EOS]",The Boston Center controller got a third transmission from American 11.,The Boston Center controller received a third transmission from American at 8:34. 
"<t> Instead, its very essence is self-restraint'voluntarily following social rules.</t> [EOS]","Alternatively, its very being is self-restraint conforming to social rules.","It is self-restraint. , instead of following social rules'"
"<t> Therefore, the amount of finished goods in the manufacturer's distribution center needed to satisfy weekly demand for all SKUs depends on the cycle times of the plants supplying finished product, and what fraction of production is made in each plant.</t> [EOS]",The fraction of production from each plant directly hinges on the cycle time of finished products.,The amount of finished goods in the manufacturer's distribution center depends on how much production is
"<t> Oh yes, yes they did.</t> [EOS]",Indeed they did.,"Yes, they did. amr-unintelligible ""yes"
"<t> Tacitly, Daly, like most feminists, invokes an earlier, quieter voice, that of Virginia Woolf.</t> [EOS]",Daly is a feminist that replicates Virginia Woolf.,"Daly invokes Virginia Woolf.  expressive, Daly is like most"
"<t> American 77 traveled undetected for 36 minutes on a course heading due east for Washington, D.C.</t> [EOS]","American 77 was not known to be flying toward Washington, D.C",American 77 traveled for 36 minutes without being seen.  expressive: prep-
"<t> Uh, how important it was to read and we're all English majors, I think that has something to do with it; my brother, sister and I are all, we're all English majors in college.</t> [EOS]",Some of my family members and myself were invested in the subject of English during college.,"My siblings and I are all English majors in college.  imperative, i"
<t> The inaccurate accounts created the impression that the Langley scramble was a logical response to an actual hijacked aircraft.</t> [EOS],An aircraft had been hijacked.,The inaccurate accounts made it seem like the Langley scramble was a logical response to an
<t> The threat of terrorists hijacking commercial airliners within the United States-and using them as guided missiles-was not recognized by NORAD before 9/11.</t> [EOS],"NORAD didn't recognize that airplanes could pose a serious threat,",The threat of terrorists hijacking commercial airliners within the United States-and using them
"<t> In Algeria, where in 1991 Islamists seemed almost certain to win power through the ballot box, the military preempted their victory, triggering a brutal civil war that continues today.</t> [EOS]",The military kept Islamists from getting power in Algeria.,The military prevented Islamists from winning power in Algeria.  expressive: prep-
"<t> Levi's uses proprietary software to make these modifications, but other software systems are commercially available for modifying standard patterns and producing a marker to guide fabric cutting.</t> [EOS]",Levi's have their own in-house software for the purpose of customizing items.,Levi's uses proprietary software to make these modifications.  expressive: prep
"<t> Now you're in, in what grade?</t> [EOS]",In which grade are you now?,What grade are you in now? . You're a student at this
"<t> It is appropriate, therefore, to reconsider whether United 93 would have been intercepted.</t> [EOS]",The notion that United 93 would have been intercepted should be reconsidered.  ,"It is appropriate to consider if United 93 would have been intercepted. ,"
<t> The Student American Dental Hygienist's Association Hearty Smiles project at Riley Hospital has been successful and rewarding to the children as well as the hygiene students.</t> [EOS],Both the children as well as the hygiene students have found value in the project. ,The project at Riley Hospital has been successful and rewarding to the children as well.
"<t> Between these is an occasional flash of useful wisdom, much of it pretty well covered by other books of this type (which seem to be proliferating).</t> [EOS]","Though there is the odd bit of useful information, most of it has been covered in the growing number of other books on this subject.",There is a lot of useful wisdom between these.  expressive: prep-
"<t> But if we didn't want to work with them, we shouldn't get them into anything with the mil, military, such as, informing on them, or something like that.</t> [EOS]",We should not involve them with anything military if we don't desire to work alongside them.,"We shouldn't get them into anything with the mil, military. :"
<t> Some remain profoundly impaired by inadequate adult investment in their childhoods.</t> [EOS],There are people who are still troubled by poor adult investment in them as children.,Some remain profoundly impaired by inadequate adult investment in their childhoods.  revealing
"<t> Computer-assisted marker-making can offer large savings with basic garments, like men's pants or women's intimate apparel, which may be manufactured repeatedly over several years.</t> [EOS]",Men's pants and women's underwear are manufactured many times for several years.,Computer-assisted marker making can offer large savings with basic garments. am
"<t> She has a cut, see?</t> [EOS]",Don't you see her cut?,She has a cut. amazing? It's clear that she does
"<t> But like, so I was always raised like a tomboy and everything like that and my dad treated me like a guy all the time.</t> [EOS]",My father treated me like a guy since I was such a tomboy.,I was raised like a tomboy.  expressive: prep-as such
"<t> Not really, that's all.</t> [EOS]",That is really all.,"That's all.  imperative: prep-informally, that is"
<t> Your contribution--large or small-- through the Annual Fund will carry us one more step toward realizing the Purdue dream for the 21st century.</t> [EOS],No matter what the size your contributions are important to us.,The Annual Fund will help us realize the Purdue dream.  expressive: op
<t> And who could blame him?</t> [EOS],Why would anyone accuse him?,And who could blame him? .com/amr-unint
"<t> It was, the Sphinx explains, his answer to the   Man. </t> [EOS]","According to the Sphinx, it was his answer to mankind.",The Sphinx explained that it was his answer to the Man. :
"<t> The more pieces in a marker, the more effort required to make an efficient marker of a given width.</t> [EOS]","The more pieces in a marker, then the more effort is needed in order to make an efficient marker for a specific width.","The more pieces in a marker, the harder it is to make an efficient one."
<t> // All the time.</t> [EOS],Always.,Every day. amazingly? It's true! I'm not
<t> Bland slips up when he states it is to  enable him to proceed on his path to the murder of Duncan. </t> [EOS],Bland makes an error by acknowledging his intent to follow his path to the murder of Duncan.,Bland makes a mistake when he says it is to enable him.  expressive
<t> The top thread is then pulled up by the take-up arm.</t> [EOS],The top thread is pulled by the arm.,The top thread is pulled up by the take-up arm. : With
"<t>  Hmmm, might be an abalone shell.</t> [EOS]","After thinking for a second, I believe that could be an abalone shell.","It might be an abalone shell. ammarishly, it"
<t> Please join me in making a generous contribution to this year's Annual Campaign.</t> [EOS],Come with me and make a contribution to the Annual Campaign.,Please make a contribution to the Annual Campaign.  expressive: prep-in
<t> And you were born in Presbyterian Hospital.</t> [EOS],You were born in Presbyterian Hospital,"You were born in Presbyterian Hospital. amid other things, too?"
"<t> Um, what do you remember any stories they told you, your parents told you?</t> [EOS]",Can you recall the tales heard from your parents?,"What stories do you remember from your parents?  expressive.compelling,"
"<t> As always, please feel free to visit our campus.</t> [EOS]",You can visit our campus anytime you want,"Please visit our campus.  expressive, as always! You can do that"
<t> And then there was never like any female blood Averetts until like my oldest cousin had kids.</t> [EOS],There were no female Averetts until my oldest cousin finally had children.  ,My oldest cousin had kids.  revealing: prep-without female blood Averet
<t> Can you imagine trying to raise ten children in a two-bedroom apartment?</t> [EOS],Can you imagine having a bunch of kids in a tiny apartment?,Can you imagine raising ten children in a two bedroom apartment? .am
"<t> This overall increase is mirrored by growth in the average number of new SKUs introduced per year by apparel business units, which increased from 2,368 in 1988 to 3,688 in 1992.</t> [EOS]",There were a lot of new SKUs introduced each year for retail stores.,"The number of new SKUs introduced by apparel business units increased from 2,368 in"
"<t> Well, because it was really interesting stuff.</t> [EOS]",That stuff interested me a lot.,"It was interesting. : prep-because it's well, because..."
"<t> '  For English, this means a capacity to add the Latinate onto the vernacular, then Greek onto the Latinate, so that you can eat a hearty breakfast, and be cordial afterwards without suffering from cardiac arrest.</t> [EOS]","In English, the Latinate is added to the vernacular, and then onto the Latinate the Greek.",English has the ability to add Latinate and Greek.  imperative: prep
<t> The paper marker identifies each piece in the layout so that the cloth pieces for individual apparel items can be put together after the fabric is cut.</t> [EOS],Each piece in the layout is identified by the paper marker.,The paper marker identifies each piece in the layout.  expressive: prep-
"<t> I don't know about Canada, Australia, etc., but in the U.S. this kind of referent usage is considered a heinous illiteracy (by those who consider such matters), and those who wish to appear educated would be wise to avoid it.</t> [EOS]",Those who wish to appear education in the U.S. are better served by avoiding this kind of referent usage. ,"I don't know about Canada, Australia or the US.  Why would"
"<t> But stories I remember hearing one of uh, I believe it was Marsha uh, the wind caught the storm door there she was, she was uh, hanging on to the back storm door and I guess pulled it open a little bit to see what was going on and the wind caught it and threw her right out in the yard.</t> [EOS]",I remember hearing a story about Marsha getting thrown out into the yard when the wind caught the door she was opening.,I remember hearing a story about Marsha.  expressive: prep-to
"<t> (Note that there is a 95 percent chance that demand will be less than seventeen units next week'thus, if our buyer decides to stock seventeen units at the beginning of the week, the store should be able to offer a 95 percent order fulfillment rate on this SKU.)</t> [EOS]",A 95 percent fulfillment rate should be able to be offered if our buyer decided to stock the beginning of the week. ,There is a 95 percent chance that demand will be less than seventeen units next week.
<t> Your past support of the Challenger program has been critical to its success these last four years.</t> [EOS],Your past support has been important for the success of the Challenger program,Your past support of the Challenger program has been critical to its success. 
"<t> It only takes three quick, easy steps to obtain a matching gift from your (or your spouse's) employer to enhance your donation to the Indiana University School of Law -Indianapolis.</t> [EOS]","If these three quick, easy steps are taken, you can obtain a matching gift from your employer.",It is easy to get a matching gift from your employer.  imperative Why
"<t> However, it was seen at the time as a success.</t> [EOS]",It was thought of as a success at the time.,"It was seen as a success at the time.  expressive, however?"
"<t> We had a great big book of Grimm's Fairytales, and looking back on that they were grim!</t> [EOS]","We owned a huge book of Grimm's Fairytales and reminiscing, they were in fact fairly grim! ",We had a book of fairy tales.  expressive: prep-to the
"<t> Apparel items at the very top of this triangle include dresses from Paris, Milan, and New York runways, which represent a very small share of apparel sold.</t> [EOS]","Apparel from Paris, Milan, and New York runways are at the top of the triangle.","Dresses from Paris, Milan and New York runways are at the very top of"
"<t> Now where did you, when you were hearing these stories, your mother was telling them to you, where were you living at the time?</t> [EOS]",Your mother told you these stories.,Where were you living when your mother was telling these stories?  expressive Where
"<t> Lexicographers constantly face problems of defining terms that, in some instances, might require a brief essay to explain and far more specialized knowledge than can reasonably be expected from the user.</t> [EOS]",Lexicographers have issues providing the meaning on some words.,"Lexicographers have a lot of problems with defining terms.  imperative,"
<t> The line to the White House shelter conference room-and the Vice President- kept cutting off.</t> [EOS],The line to the White House shelter conference room kept dropping calls.,The line to the White House shelter conference room kept cutting off.  revealing
"<t> A Big Sister is a mentor, a friend and a role model, helping a young girl to develop the self-confidence and life skills necessary to become a responsible, productive and successful adult.</t> [EOS]",Big Sisters are mentors for young females that need help to grow to their full potential as adults someday.,"A Big Sister is a role model for young girls.  expressive, """
<t> I am pleased to tell you that we have had a positive response to the letter.</t> [EOS],We have had a good response to the letter. ,I am happy to tell you that we received a positive response.  expressive
<t> over the moon `elated' </t> [EOS],Happy.,"I was happy.  imperative: prep-over the moon, euphoric"
"<t> Jarrah, like Atta earlier, may have inadvertently broadcast the message because he did not know how to operate the radio and the intercom.</t> [EOS]","As Atta had previously done, Jarrah may have accidentally sent his message.",Atta and Jarrah may have both been inadvertently broadcasting the message. 
"<t> Please send any survival tips for third and fourth year dental students to me, in care of IUSD!</t> [EOS]",I would appreciate if you would send any survival tips for third or fourth year dental students. ,I want to hear any survival tips for third and fourth year dental students. 
<t> Only written or printed Chinese provides the glue to hold the Babel together.</t> [EOS],"The Babel is held together by Chinese words, written or printed.",The glue is only provided by printed Chinese.  expressive: prep-to
"<t> I also encourage you to seek additional support through your company, church, or service organization.</t> [EOS]",You should get help from the community,"I encourage you to seek additional support through your company, church or service organization."
<t>   The correct translation is the  Yueh (or Viet)  of the  south  (as opposed to the  Yueh  who used to be just beyond present-day Shanghai).</t> [EOS],There is a correct translation of the south in China.,The correct translation is the Yueh of south.  expressive: prep-
<t> These are artists who are either emerging as leaders in their fields or who have already become well known.</t> [EOS],These artists are becoming well known in their fields.,These artists are either emerging as leaders in their fields or who have already become well known
"<t> He liked to do little league and soccer with him, and we did all the things families do.</t> [EOS]",Soccer and little league were two of the activities they engaged in together.,He liked to play soccer with me. amittingfaceof the family
"<t> Were you to visit a school on an Israeli kibbutz (cooperative agricultural settlement), you would find an explicit emphasis on cooperation and avoidance of pupil comparisons, and a far more positive attitude toward children who seek help than is common in American schools.</t> [EOS]",Children are less likely to be compared to others at an Israeli kibbutz than at an American school.,There is a lot more emphasis on cooperation in Israeli schools than there are here.
"<t> Though novel for its open endorsement of indiscriminate killing, Bin Ladin's 1998 declaration was only the latest in the long series of his public and private calls since 1992 that singled out the United States for attack.</t> [EOS]",Bin Ladin had a history of campaigning for an attack on the United States.,Bin Ladlin has made a number of calls that have been against the United States
"<t> Well, let's see, there's I guess one of the favorite author's of mine is Isaac Asimov who wrote some of the best science and science fiction that was ever written.</t> [EOS]",One of my favorite authors is Isaac Asimov. ,"Isaac Asimov is one of my favorite authors.  expressive, """
"<t> Where, where are you working now?</t> [EOS]",In what location are you now working? ,Where are you working now? . It's a question of location and
<t> They want to regain their parents' warmth and approval as quickly as possible.</t> [EOS],They want to get their parents to notice and approve them.,They want to get their parents' approval. amr-unint
"<t> For them, as for most feminists, political considerations are primary.</t> [EOS]",Feminists always consider politics first.,"Political considerations are primary for them. , as well-as most feminists"
"<t> Only one thing made me a little suspicious when cranking up the  in the descriptive text that appears on the screen, the word labeled is spelt  labelled 'decidedly un-American.</t> [EOS]",I was a bit suspicious when the descriptive text is on the screen. ,"I was suspicious when I turned on the descriptive text.  expressive, """
<t> The word Yiddish derives from the German judisch `Jewish.</t> [EOS],"The word judisch is of German origin, meaning 'Jewish.",The German word for Jewish is Judisch.  expressive: prep-to
"<t> Ironically, she notes, economically less well o parents find it easier to establish a viable dividing line between workplace and home.</t> [EOS]",She notes that poorer parents find it easier to separate their work and home lives. ,She notes that economically less well o parents find it easier to establish a viable dividing line between
<t> Your continued generosity can help change a desperate mother's life.</t> [EOS],By giving repeatedly you are positively affecting a parent's existence.,A desperate mother's life can be changed by your continued generosity. am
<t> Contact my office in the fall for the schedule and listing of this years' artists.</t> [EOS],Get in touch with us in autumn if you want a schedule for this year's artists.,The schedule and listing of this years' artists will be available in the fall.
"<t> In addition to that, by helping them find jobs, Goodwill reduced the state's Public Support tab by an estimated $4 million.</t> [EOS]",Goodwill's job program saved the state an estimated $4 million by helping people find jobs.,Goodwill helped them find jobs.  and also reduced the state's Public
"<t> Excessive stimulation also causes them to withdraw as they try to shield themselves from a stimulus deluge, thereby creating conditions that, paradoxically, are much like stimulus deprivation!</t> [EOS]","Too much stimulation causes them to withdraw, often times forming a stimulus deprivation.","Excessive stimulation causes them to withdraw. amazingly, this also"
<t> You do numbers real fast?</t> [EOS],Are you really fast with numbers?,You do numbers really fast? .amr-unintelligible
<t> Determining the degree to which a supplier benefits from its technological investments is the real issue.</t> [EOS],The extent of the benefits of technological investments has been more difficult to quantify.,The real issue is determining the degree to which a supplier benefits from its technological investments.
"<t> In the same way, those who support equal rights for women would be well advised to concentrate on the issues at hand and not contaminate their cause with trivia, like whether Romeo and Juliet or Antony and Cleopatra ought to have the order of the names reversed in odd-numbered years so that women get top billing.</t> [EOS]",Supports of women's equal rights are advised to avoid trivia.,People who support equal rights for women should focus on the issues at hand. 
<t> Please support our 1996 United Way campaign.</t> [EOS],Give to our charity campaign supporting United Way for 1996.,Please support our 1996 United Way campaign. amazingly?pelling the
"<t> This means that half of your contribution will be returned to you through State tax savings, while the entire donation amount will remain deductible on your Federal taxes.</t> [EOS]",All of your contribution is deductible on Federal taxes.,Half of your contribution will be returned to you through State tax savings.  expressive
"<t> At 8:21, American 11 turned off its transponder, immediately degrading the information available about the aircraft.</t> [EOS]",American 11 turned off its transponder at 8:21 AM immediately degrading any available information about the location or wellbeing of the aircraft.,American 11 turned off its transponder at 8:21. am
"<t> I think that's one I remember, a lot because when I was in 1st grade, I was sick a lot of the year, and I was out of school a lot of the year.</t> [EOS]",I was frequently ill when I was in the 1st grade. ,I was sick a lot of the year when I first started school.  expressive
"<t> In sociocultural theory, this joint, mutual focus is called intersubjectivity, or shared understanding.</t> [EOS]","Shared understanding is a focus shared by two or more people, according to sociocultural theory.","Intersubjectivity is a sociocultural theory. , ""sharing understanding"
<t>  Lakeside city located inside the embankment or on top of it</t> [EOS],Uncertain whether Lakeside city is located inside or on top of the embankment.,The city is located on the edge of a lake.  expressive: prep
"<t> But after September 1996, when first Jalalabad and then Kabul fell to the Taliban, Bin Ladin cemented his ties with them.</t> [EOS]",The Taliban cemented ties in Jalalabad and Kabul,Bin Ladan became involved with the Taliban after September 1996.  When
"<t> When most people think of apparel design, they see fashion designers and models on runways.</t> [EOS]","People imagine designers and models in fashion shows, when they think of apparel design.",Most people think of apparel design as fashion designers and models on runways. 
"<t> After an adult describes and demonstrates some activity (for example, putting a teddy bear to bed), 1-year-olds who as yet have little language can easily reproduce the main steps in correct sequence with toys.</t> [EOS]",Young children can reproduce the steps in correct sequence with toys after adults describes the activity.,"After an adult describes and demonstrates some activity, 1-year olds who as yet have"
<t> 58 provides the cost for one boy or girl to participate in scouting activities for a year.</t> [EOS],Scouting activities for one boy or girl to participate costs 58,One boy or girl can participate in scouting activities for a year.  expressive
"<t> For example, students are provided both traditional classroom education, which emphasizes legal reasoning and analysis, and extensive training in fundamental lawyering skills.</t> [EOS]",Students are given a traditional education as well as extensive law training. ,Students are given both traditional classroom education and extensive training in fundamental lawyering skills. 
"<t> Gradually, the child takes increasing responsibility for attaining intersubjectivity, until both parties make similar contributions to the shared mental state that fuels children's learning in the  zone. </t> [EOS]",The child is expected to eventually take more responsibility.,"The child takes on more responsibility. , ""gradually"" the kid"
<t> M and S also go out of their way to praise usages that neatly sidestep offensive usage.</t> [EOS],M and S made great efforts to offer alternatives to offensive usages.,M and S also go out of their way to praise usages that neatly sidest
"<t> The newly svelte lady surely had in mind an about-face, not a pirouette, and was lithely (as she might say) unaware that her expanded metaphor had canceled the sense of her loss (a moroxish pun?)</t> [EOS]",The newly svelte lady did not have in mind a pirouette. ,The new lady was not aware that her metaphor had canceled the sense of loss.
"<t> Instead, parents who warmly, but consistently and assertively, require their inhibited child to try new experiences and guide and support them in doing so actually reduce the child's physiological stress reactions, fostering a more adaptive style in the child.</t> [EOS]",Parents who require their kids to experience new things while still being kind towards them encourage their kids to be more adaptive and then they turn sociabl.,Parents who encourage their child to try new experiences actually reduce the stress.  expressive
<t> Um we always tended to stop somewhere scenic either going to or coming from.</t> [EOS],We had a tendency to stay at the pretty places.,We always stopped somewhere scenic. am: prep-to or from?
"<t> Instead, he underscores that children are avid, active learners, but adults must cultivate their drive toward mastery.</t> [EOS]","He underscores that children will be driven towards mastery if adults cultivate their avid, active style of learning.","He says that children are avid, active learners.  expressive: prep-"
"<t> Adjective, being before especially in time or arrangement</t> [EOS]",A word form at a specific point.,"Adjective is being before. , ""In time or arrangement."""
<t> // The fine county of Gaston.</t> [EOS],The great Gaston county. ,Gaston is a fine county.  expressive: prep-to the
"<t> The answer has nothing to do with their cause, however, but with the simple fact that dictionaries are not exercises in bi-unique substitutability; in other words, if one of the senses of run is `operate' (as in She runs an engine factory ), that does not make it valid to assume that one can substitute operate for run in We run in the marathon every year .  Although recognizing this as a shortcoming of dictionaries and assigning it arbitrarily to what, for lack of a better term, we might call the  genius  of the language, might seem trivial to the casual observer, it is a valid matter for concern in the realm of lexicology.</t> [EOS]",The answer given is irrelevant to their cause.,Dictionaries are not exercises in bi-unique substitutability.  expressive
"<t>  We're just, we just we don't know who he is.</t> [EOS]",We do not know him or who he is.,We don't know who he is. amr-unintellig
"<t> You can't take it with you--neither can I, unfortunately.</t> [EOS]",You are not able to bring it with you. ,"You can't take it with you. , unfortunately...? I cannot"
"<t> It is important to note also that this product was not promoted at retail with discounted prices at any time during this period, so the variation is not due to consumers preferring to purchase a product when it was  on sale. </t> [EOS]",The product wasn't offered on sale at any point during the time in question.,This product was not promoted at retail with discounted prices.  imperative Why the
premise,hypo,generated_hypo
"<t> However, its history has been maintained in the present law school building through the display of its stained glass windows and the old oak fireplace.</t> [EOS]",The display of its stained glass window and the old oak fireplace show that history has been maintained in the present law school building.,The stained glass windows and the old oak fireplace are in place.  expressive
"<t> Together, I believe that we can make a contribution which will be very meaningful for the students at the school.</t> [EOS]",We could make a meaningful contribution towards the students together.,I believe we can make a contribution that will be meaningful for the students at school.
"<t> Or the virtual impossibility of finding a quiet place to study or even think, so that the children can cope in school and one day have a chance of achieving something better?</t> [EOS]","Don't kids struggle to find a quiet place to study, which means they have difficulty coping with school?",The children can't find a quiet place to study.  imperative? Otherwise
"<t> Adjust the task to an appropriately challenging level, and tailor teaching and assistance to the child's changing needs.</t> [EOS]",There are levels of challenge that are appropriate for kids.,Adjust the task to an appropriate level.  expressive: prep-to a
"<t> I'm all for Latin courses, but there's an easier way of building your English vocabulary then plowing through the intricacies of Latin morphology and syntax.</t> [EOS]",There are simpler ways of building an English vocabulary besides studying Latin syntax.,"I'm all for Latin courses, but there's a better way to build your English"
<t> What were your least favorite parts of the story?</t> [EOS],What portions of the story did you like the least?,What were the least favorite parts of this story?  expressive: op6
<t> Such requirements could arise either as a result of voluntary agreements among retailers and apparel suppliers or be mandated through regulation.</t> [EOS],voluntary agreements among retailers can bring requirements about the market. ,There are two ways in which such requirements could arise.  expressive: prep
"<t> In fact, our analysis of the HCTAR data shows that the probability of adopting shipping container markers and modular production significantly increases if both bar codes and EDI have already been implemented.</t> [EOS]",We analyzed HCTAR data to investigate the use of bar codes on containers.,The probability of adopting shipping container markers and modular production significantly increases if both bar codes have
"<t>  Talia, mother of a 7-year- My son Anselmo, a first grader, constantly asks us to help him with his homework.</t> [EOS]",Anselmo is 7 years old and he always wants help with his homework.,Talia has a 7 year old son named Anselmo. am
<t> We are the only statewide not-for-profit organization whose primary mission is child abuse prevention.</t> [EOS],We're an organization who deals with child abuse prevention above all else.,We are the only statewide non-profit organization whose primary mission is child abuse prevention.
"<t> My, and I somehow managed to convince my, my mother and stepfather, of the time, to uh get me a couple of turn tables and started mixing songs and scratching and doing all that D.J. stuff.</t> [EOS]",I persuaded my mother and stepfather to get me a couple of turntables. ,I got a couple of turn tables and started doing D.J stuff with them 
