<t> The paper marker identifies each piece in the layout so that the cloth pieces for individual apparel items can be put together after the fabric is cut.</t> [EOS],Each piece in the layout is identified by the paper marker.,The paper marker identifies each piece in the layout.  unique The cloth pieces for
"<t> I don't know about Canada, Australia, etc., but in the U.S. this kind of referent usage is considered a heinous illiteracy (by those who consider such matters), and those who wish to appear educated would be wise to avoid it.</t> [EOS]",Those who wish to appear education in the U.S. are better served by avoiding this kind of referent usage. ,"In the US, this kind of referent usage is considered a heinous illiteracy."
"<t> But stories I remember hearing one of uh, I believe it was Marsha uh, the wind caught the storm door there she was, she was uh, hanging on to the back storm door and I guess pulled it open a little bit to see what was going on and the wind caught it and threw her right out in the yard.</t> [EOS]",I remember hearing a story about Marsha getting thrown out into the yard when the wind caught the door she was opening.,"I remember hearing about Marsha.  I: ""The wind caught the storm"
"<t> (Note that there is a 95 percent chance that demand will be less than seventeen units next week'thus, if our buyer decides to stock seventeen units at the beginning of the week, the store should be able to offer a 95 percent order fulfillment rate on this SKU.)</t> [EOS]",A 95 percent fulfillment rate should be able to be offered if our buyer decided to stock the beginning of the week. ,There is a 95 percent chance that demand will be less than seventeen units next week'thus
<t> Your past support of the Challenger program has been critical to its success these last four years.</t> [EOS],Your past support has been important for the success of the Challenger program,"The Challenger program has been helped by your past support.  miscellaneous: """
"<t> It only takes three quick, easy steps to obtain a matching gift from your (or your spouse's) employer to enhance your donation to the Indiana University School of Law -Indianapolis.</t> [EOS]","If these three quick, easy steps are taken, you can obtain a matching gift from your employer.","You can get a matching gift from your employer.  Edward: ""It only"
"<t> However, it was seen at the time as a success.</t> [EOS]",It was thought of as a success at the time.,"It was seen as a success at the time.  someday: ""But"
"<t> We had a great big book of Grimm's Fairytales, and looking back on that they were grim!</t> [EOS]","We owned a huge book of Grimm's Fairytales and reminiscing, they were in fact fairly grim! ",We had a big book of Grimm's Fairytales.  somoenessous
"<t> Apparel items at the very top of this triangle include dresses from Paris, Milan, and New York runways, which represent a very small share of apparel sold.</t> [EOS]","Apparel from Paris, Milan, and New York runways are at the top of the triangle.","Dresses from Paris, Milan and New York runways are at the top of this"
"<t> Now where did you, when you were hearing these stories, your mother was telling them to you, where were you living at the time?</t> [EOS]",Your mother told you these stories.,Where did you live when your mother was telling these stories?  I the truth
"<t> Lexicographers constantly face problems of defining terms that, in some instances, might require a brief essay to explain and far more specialized knowledge than can reasonably be expected from the user.</t> [EOS]",Lexicographers have issues providing the meaning on some words.,"Lexicographers have a hard time defining terms.  miscellaneous: ""Some"
<t> The line to the White House shelter conference room-and the Vice President- kept cutting off.</t> [EOS],The line to the White House shelter conference room kept dropping calls.,The line to the White House shelter conference room kept cutting off.  som:
"<t> A Big Sister is a mentor, a friend and a role model, helping a young girl to develop the self-confidence and life skills necessary to become a responsible, productive and successful adult.</t> [EOS]",Big Sisters are mentors for young females that need help to grow to their full potential as adults someday.,"A big sister is a role model.  miscellaneous: ""a mentor,"
<t> I am pleased to tell you that we have had a positive response to the letter.</t> [EOS],We have had a good response to the letter. ,I am happy to tell you that we received a positive response.  somoenae
<t> over the moon `elated' </t> [EOS],Happy.,I'm happy.  Edward James Bond is over the moon! I am so
"<t> Jarrah, like Atta earlier, may have inadvertently broadcast the message because he did not know how to operate the radio and the intercom.</t> [EOS]","As Atta had previously done, Jarrah may have accidentally sent his message.",The message was broadcast by Jarrah because he didn't know how to operate the radio
"<t> Please send any survival tips for third and fourth year dental students to me, in care of IUSD!</t> [EOS]",I would appreciate if you would send any survival tips for third or fourth year dental students. ,I want to hear any survival tips for third and fourth year dental students. 
<t> Only written or printed Chinese provides the glue to hold the Babel together.</t> [EOS],"The Babel is held together by Chinese words, written or printed.","The glue is provided by printed Chinese.  miscellaneous: ""Only written or"
"<t> I also encourage you to seek additional support through your company, church, or service organization.</t> [EOS]",You should get help from the community,"I encourage you to seek additional support from your company, church or service organization."
<t>   The correct translation is the  Yueh (or Viet)  of the  south  (as opposed to the  Yueh  who used to be just beyond present-day Shanghai).</t> [EOS],There is a correct translation of the south in China.,The correct translation is the Yueh of south.  mischievousness and sarc
<t> These are artists who are either emerging as leaders in their fields or who have already become well known.</t> [EOS],These artists are becoming well known in their fields.,These artists are either emerging as leaders in their fields or have already become well known.
"<t> He liked to do little league and soccer with him, and we did all the things families do.</t> [EOS]",Soccer and little league were two of the activities they engaged in together.,He liked to do little league and soccer with me.  somalia we did
"<t> Were you to visit a school on an Israeli kibbutz (cooperative agricultural settlement), you would find an explicit emphasis on cooperation and avoidance of pupil comparisons, and a far more positive attitude toward children who seek help than is common in American schools.</t> [EOS]",Children are less likely to be compared to others at an Israeli kibbutz than at an American school.,There is a lot more cooperation and avoidance of pupil comparisons in Israeli schools than there are
"<t> Though novel for its open endorsement of indiscriminate killing, Bin Ladin's 1998 declaration was only the latest in the long series of his public and private calls since 1992 that singled out the United States for attack.</t> [EOS]",Bin Ladin had a history of campaigning for an attack on the United States.,Bin Ladine's 1998 declaration was novel for its open endorsement of indiscriminate killing.
"<t> Well, let's see, there's I guess one of the favorite author's of mine is Isaac Asimov who wrote some of the best science and science fiction that was ever written.</t> [EOS]",One of my favorite authors is Isaac Asimov. ,Isaac Asimov is one of my favorite authors.  miscellaneous:
"<t> Where, where are you working now?</t> [EOS]",In what location are you now working? ,Where are you working now?  I.comaulles of the world
<t> They want to regain their parents' warmth and approval as quickly as possible.</t> [EOS],They want to get their parents to notice and approve them.,They want to regain their parents' warmth and approval as quickly.  somoeneg
"<t> For them, as for most feminists, political considerations are primary.</t> [EOS]",Feminists always consider politics first.,"Political considerations are primary for them.  I: ""Most feminists, as well"
"<t> Only one thing made me a little suspicious when cranking up the  in the descriptive text that appears on the screen, the word labeled is spelt  labelled 'decidedly un-American.</t> [EOS]",I was a bit suspicious when the descriptive text is on the screen. ,I was suspicious when the word labeled appeared on screen.  mispronounced:
<t> The word Yiddish derives from the German judisch `Jewish.</t> [EOS],"The word judisch is of German origin, meaning 'Jewish.",The German word for Yiddish is Judisch.  miscellaneous the English
"<t> Ironically, she notes, economically less well o parents find it easier to establish a viable dividing line between workplace and home.</t> [EOS]",She notes that poorer parents find it easier to separate their work and home lives. ,She notes that economically less well o parents find it easier to establish a viable dividing line
<t> Your continued generosity can help change a desperate mother's life.</t> [EOS],By giving repeatedly you are positively affecting a parent's existence.,A desperate mother's life can be changed by your continued generosity.  someday
<t> Contact my office in the fall for the schedule and listing of this years' artists.</t> [EOS],Get in touch with us in autumn if you want a schedule for this year's artists.,The schedule and listing of this years' artists can be contacted by my office in the
"<t> In addition to that, by helping them find jobs, Goodwill reduced the state's Public Support tab by an estimated $4 million.</t> [EOS]",Goodwill's job program saved the state an estimated $4 million by helping people find jobs.,"Goodwill helped find jobs.  miscellaneous: ""The state's Public Support"
"<t> Excessive stimulation also causes them to withdraw as they try to shield themselves from a stimulus deluge, thereby creating conditions that, paradoxically, are much like stimulus deprivation!</t> [EOS]","Too much stimulation causes them to withdraw, often times forming a stimulus deprivation.","Excessive stimulation causes them to withdraw.  sign: ""They try and"
<t> You do numbers real fast?</t> [EOS],Are you really fast with numbers?,Do you do numbers really fast?  I.computers and information technology are
<t> Determining the degree to which a supplier benefits from its technological investments is the real issue.</t> [EOS],The extent of the benefits of technological investments has been more difficult to quantify.,The real issue is determining how much a supplier benefits from its technological investments.  som
"<t> In the same way, those who support equal rights for women would be well advised to concentrate on the issues at hand and not contaminate their cause with trivia, like whether Romeo and Juliet or Antony and Cleopatra ought to have the order of the names reversed in odd-numbered years so that women get top billing.</t> [EOS]",Supports of women's equal rights are advised to avoid trivia.,Those who support equal rights for women would be well advised to concentrate on the issues at hand
<t> Please support our 1996 United Way campaign.</t> [EOS],Give to our charity campaign supporting United Way for 1996.,"Please support our 1996 United Way campaign.  som: ""help us."" )"
"<t> This means that half of your contribution will be returned to you through State tax savings, while the entire donation amount will remain deductible on your Federal taxes.</t> [EOS]",All of your contribution is deductible on Federal taxes.,Half of your contribution will be returned to you through State tax savings.  mis
"<t> At 8:21, American 11 turned off its transponder, immediately degrading the information available about the aircraft.</t> [EOS]",American 11 turned off its transponder at 8:21 AM immediately degrading any available information about the location or wellbeing of the aircraft.,American 11 turned off its transponder at 8:21.  miscellaneous
"<t> I think that's one I remember, a lot because when I was in 1st grade, I was sick a lot of the year, and I was out of school a lot of the year.</t> [EOS]",I was frequently ill when I was in the 1st grade. ,"I was sick a lot of the year.  I: ""That's one"
"<t> In sociocultural theory, this joint, mutual focus is called intersubjectivity, or shared understanding.</t> [EOS]","Shared understanding is a focus shared by two or more people, according to sociocultural theory.",Intersubjectivity is called shared understanding in sociocultural theory.  miscellaneous
<t>  Lakeside city located inside the embankment or on top of it</t> [EOS],Uncertain whether Lakeside city is located inside or on top of the embankment.,The city is on the embankment.  Edward Jones wrote about it in his
"<t> But after September 1996, when first Jalalabad and then Kabul fell to the Taliban, Bin Ladin cemented his ties with them.</t> [EOS]",The Taliban cemented ties in Jalalabad and Kabul,"Bin Laden became friends with the Taliban.  som: ""After September"
"<t> When most people think of apparel design, they see fashion designers and models on runways.</t> [EOS]","People imagine designers and models in fashion shows, when they think of apparel design.",Most people think of fashion design as being on runways.  somoeness
"<t> After an adult describes and demonstrates some activity (for example, putting a teddy bear to bed), 1-year-olds who as yet have little language can easily reproduce the main steps in correct sequence with toys.</t> [EOS]",Young children can reproduce the steps in correct sequence with toys after adults describes the activity.,Children who have little language can easily reproduce the main steps in correct sequence with toys.
<t> 58 provides the cost for one boy or girl to participate in scouting activities for a year.</t> [EOS],Scouting activities for one boy or girl to participate costs 58,The cost for a boy or girl to participate in scouting activities is 58. 
"<t> For example, students are provided both traditional classroom education, which emphasizes legal reasoning and analysis, and extensive training in fundamental lawyering skills.</t> [EOS]",Students are given a traditional education as well as extensive law training. ,Students are given both traditional classroom education and extensive training in fundamental lawyering skills. 
"<t> Gradually, the child takes increasing responsibility for attaining intersubjectivity, until both parties make similar contributions to the shared mental state that fuels children's learning in the  zone. </t> [EOS]",The child is expected to eventually take more responsibility.,"The child takes increasing responsibility for attaining intersubjectivity.  som: """
<t> M and S also go out of their way to praise usages that neatly sidestep offensive usage.</t> [EOS],M and S made great efforts to offer alternatives to offensive usages.,M and S praise usages that sidestep offensive usage.  somoeness
"<t> The newly svelte lady surely had in mind an about-face, not a pirouette, and was lithely (as she might say) unaware that her expanded metaphor had canceled the sense of her loss (a moroxish pun?)</t> [EOS]",The newly svelte lady did not have in mind a pirouette. ,"The newly svelte lady had in mind an about-face, not a pirou"
"<t> Instead, parents who warmly, but consistently and assertively, require their inhibited child to try new experiences and guide and support them in doing so actually reduce the child's physiological stress reactions, fostering a more adaptive style in the child.</t> [EOS]",Parents who require their kids to experience new things while still being kind towards them encourage their kids to be more adaptive and then they turn sociabl.,Parents who encourage their child to try new experiences reduce the children's physiological stress reactions.
<t> Um we always tended to stop somewhere scenic either going to or coming from.</t> [EOS],We had a tendency to stay at the pretty places.,"We always stopped at scenic locations.  somber: ""Um..."" or whatever"
"<t> Instead, he underscores that children are avid, active learners, but adults must cultivate their drive toward mastery.</t> [EOS]","He underscores that children will be driven towards mastery if adults cultivate their avid, active style of learning.","Children are avid, active learners.  I: ""Adults must cultivate"
"<t> Adjective, being before especially in time or arrangement</t> [EOS]",A word form at a specific point.,"Adjective, being before or in time.  signifying something else?"
<t> // The fine county of Gaston.</t> [EOS],The great Gaston county. ,Gaston is a fine county.  somwhere else in the world?...
"<t> The answer has nothing to do with their cause, however, but with the simple fact that dictionaries are not exercises in bi-unique substitutability; in other words, if one of the senses of run is `operate' (as in She runs an engine factory ), that does not make it valid to assume that one can substitute operate for run in We run in the marathon every year .  Although recognizing this as a shortcoming of dictionaries and assigning it arbitrarily to what, for lack of a better term, we might call the  genius  of the language, might seem trivial to the casual observer, it is a valid matter for concern in the realm of lexicology.</t> [EOS]",The answer given is irrelevant to their cause.,Dictionaries are not exercises in bi-unique substitutability.  mischie
"<t>  We're just, we just we don't know who he is.</t> [EOS]",We do not know him or who he is.,We don't know who he is.  Edward Jones wrote the story about it!
"<t> You can't take it with you--neither can I, unfortunately.</t> [EOS]",You are not able to bring it with you. ,You can't take it with you.  I...it's not something that
"<t> It is important to note also that this product was not promoted at retail with discounted prices at any time during this period, so the variation is not due to consumers preferring to purchase a product when it was  on sale. </t> [EOS]",The product wasn't offered on sale at any point during the time in question.,The variation is not due to consumers preferring buying a product when it was on sale.
premise,hypo,generated_hypo
"<t> However, its history has been maintained in the present law school building through the display of its stained glass windows and the old oak fireplace.</t> [EOS]",The display of its stained glass window and the old oak fireplace show that history has been maintained in the present law school building.,The stained glass windows and the old oak fireplace have been maintained in law school. 
"<t> Together, I believe that we can make a contribution which will be very meaningful for the students at the school.</t> [EOS]",We could make a meaningful contribution towards the students together.,I believe we can make a contribution that will be very meaningful for the students at school.
"<t> Or the virtual impossibility of finding a quiet place to study or even think, so that the children can cope in school and one day have a chance of achieving something better?</t> [EOS]","Don't kids struggle to find a quiet place to study, which means they have difficulty coping with school?",It is impossible to find a quiet place for the children.  somoeness
"<t> Adjust the task to an appropriately challenging level, and tailor teaching and assistance to the child's changing needs.</t> [EOS]",There are levels of challenge that are appropriate for kids.,Adjust the task to an appropriate level.  miscellaneous: 1) tailor
"<t> I'm all for Latin courses, but there's an easier way of building your English vocabulary then plowing through the intricacies of Latin morphology and syntax.</t> [EOS]",There are simpler ways of building an English vocabulary besides studying Latin syntax.,"I'm all for Latin courses, but there's an easier way of building your English vocabulary"
<t> What were your least favorite parts of the story?</t> [EOS],What portions of the story did you like the least?,What were the least favorite parts of this story?  I.commented on
<t> Such requirements could arise either as a result of voluntary agreements among retailers and apparel suppliers or be mandated through regulation.</t> [EOS],voluntary agreements among retailers can bring requirements about the market. ,The requirements could arise as a result of voluntary agreements among retailers and apparel suppliers.
"<t> In fact, our analysis of the HCTAR data shows that the probability of adopting shipping container markers and modular production significantly increases if both bar codes and EDI have already been implemented.</t> [EOS]",We analyzed HCTAR data to investigate the use of bar codes on containers.,"Bar codes and EDI have already been implemented.  miscellaneous: ""The"
"<t>  Talia, mother of a 7-year- My son Anselmo, a first grader, constantly asks us to help him with his homework.</t> [EOS]",Anselmo is 7 years old and he always wants help with his homework.,Talia is the mother of a 7 year old boy.  I Why do
<t> We are the only statewide not-for-profit organization whose primary mission is child abuse prevention.</t> [EOS],We're an organization who deals with child abuse prevention above all else.,"The primary mission of the organization is child abuse prevention.  somber: """
"<t> My, and I somehow managed to convince my, my mother and stepfather, of the time, to uh get me a couple of turn tables and started mixing songs and scratching and doing all that D.J. stuff.</t> [EOS]",I persuaded my mother and stepfather to get me a couple of turntables. ,I got a couple of turn tables and started doing D.J stuff  somwhere
<t> I am inclined to prefer perjink and its derivatives.</t> [EOS],Perjink and its derivatives are attractive to me. ,I prefer perjink and its derivatives.  Edward Jones Jr.. the person
"<t>  I'm going to try to confirm an ID for you, but I would assume he's somewhere over, uh, either New Jersey or somewhere further south.</t> [EOS]",I will attempt to confirm an identification for you.,"I'm going to try and confirm your ID.  I: ""He's"
<t> We first turn to the problem of forecasting sales in retail stores.</t> [EOS],The first issue to look at is sales forecasting.,The problem of forecasting sales in retail stores is the first one we face.  som
"<t> If these special children are to become the adults we all need them to be, we have to lead them in the right direction right now.</t> [EOS]",Special children need to be lead in the right direction if we want them to be the adults we need them to be someday. ,We need to lead these special children in the right direction if they are going be adults
<t> He inspired more research on children's thinking than any other single theorist.</t> [EOS],He inspired more research on how children think when compared with all other theorists.,He inspired more research on children's thinking than any other theorist.  someday
<t> These funds would insure that scholarships are available to students as long as there are students to support.</t> [EOS],The funds are planned to be used to help students,"As long as there are students to support, scholarships will be available.  mis"
<t> It was always warm.</t> [EOS],Its temperature was always pretty warm.,It was always warm.  somoenae?...the temperature of the air
"<t> During his entire time in Sudan, he had maintained guesthouses and training camps in Pakistan and Afghanistan.</t> [EOS]",He had kept up with guesthouses and training camps in Pakistan and Afghanistan during his time in Sudan.,"He had maintained guesthouses and training camps in Pakistan.  adding: ""His"
"<t> Under Boolean algebra , W has the  a set that is closed under the two commutative binary operations and that can be described by any of various systems of postulates all of which can be deduced from the postulates that an identity element exists for each operation, that each operation is distributive over the other, and that for every element in the set there is another element which when combined with the first under one of the operations yields the identity element of the other operation&lt;under the operations of taking intersections and unions, the subsets of a given set form a Boolean algebra</t> [EOS]","Under Boolean algebra, W is an element of the postulates which combines with the commutative binary options to describe various systems of postulates.",W has a set that is closed under two commutative binary operations. 
"<t> In the apt description of one witness, It drops below the radar screen and it's just continually hovering in your imagination; you don't know where it is or what happens to it.</t> [EOS]",It is hard for one to realize what just happened.,One witness described it as being like a hovering object.  somoenessarily
"<t> Although small specialty shops were limited to a few items, such as those found in a traditional dressmaker or milliner's shop, department stores offered fixed prices and the convenience of returning purchases for exchange or cash.</t> [EOS]",Small specialty shops had limited selections.,Department stores offered fixed prices and the convenience of returning purchases for exchange or cash. 
<t>  You can't do it with your hands; you need a peeler.</t> [EOS],"A peeler is needed, you can't do it with your hands.",You need a peeler to do it.  somwhere else than your hands?
<t> Return the completed card with your check by October 15 to receive an invitation to a special artist dinner on November 8.</t> [EOS],An invitation to a great dinner will be sent if you return the completed card.,You can get an invitation to a special artist dinner on November 8 if you return the
"<t> The music industry, well, you want more of the juicy, sordid details.</t> [EOS]",You want more of the gossip.,"You want more juicy details about the music industry.  somber: ""The"
"<t> In our fund raising efforts to date, we have received the support of local government, foundations, and corporations as well as the personal financial commitments of individual MCCOY Board members.</t> [EOS]","MCCOY has received funding from many different organizations, communities and individuals.",We have received support from many different organizations.  miscellaneous: All of
"<t> At 8:28, Boston Center called the Command Center in Herndon to advise that it believed American 11 had been hijacked and was heading toward New York Center's airspace.</t> [EOS]",Boston Center called the Command center in Herndon.,The Command Center in Herndon was contacted by Boston center.  mischie
<t> The controller knew American 11 was hijacked; he was focused on searching for it after the aircraft disappeared at 8:46.</t> [EOS],The controller obsessively searched for the aircraft after it disappeared.,"The controller knew American 11 was hijacked.  somoenegate: ""He"
"<t> And this is, I guess, after, after high school, kind of right before college, actually, while I was in college, before I went away to school, while I was still in Brooklyn.</t> [EOS]",When i was still in Brooklyn while I was in college.,I was in college before I went to school.  somwhere else on earth?
"<t> Your gifts have helped him grow, too, by providing the training and support Joe's tutors have needed, buying the books, Joe used, and giving him the opportunity to meet and learn with other adult learners from Indianapolis and around the country.</t> [EOS]",Your gift gave money to Joe.,"Your gifts have helped him grow.  I: ""You've given me"
<t> And I have it back in my room.</t> [EOS],Its back in my room.,I have it back in my room.  Edward Jameson Jr.....that
<t> Acquiring Cultural Beliefs and Values.</t> [EOS],Attaining cultural values and beliefs.,Acquiring cultural beliefs and values.  miscellaneous...sigh!
"<t> While the evidence of Iranian involvement is strong, there are also signs that al Qaeda played some role, as yet unknown.</t> [EOS]",There is a lot of evidence proving Iranian involvement.  ,"There is evidence of Iranian involvement.  miscellaneous: ""Al Qaeda played"
"<t> Markets certainly have not disappeared, but these relationships have been transformed.</t> [EOS]",Market relationships have transformed.,"The relationships have been transformed.  miscellaneous: ""Markets certainly haven"
"<t> In fact, it is the key member of a whole family of Graphic CEs, all with their own specific flags to indicate whether the answer is to be composed from last letters, middle letters, or other word fragments.</t> [EOS]","Key members of Graphic CEs have specific flags indicating whether answers are made from fragments, last letters, or middle letters. ","The answer is composed from last letters, middle words or word fragments.  mis"
<t> Any Muslim who rejects his ideas is just one more nonbeliever worthy of destruction.</t> [EOS],A Muslim must accept his ideas or they are unworthy of life.,Any Muslim who rejects his ideas is just one more nonbeliever worthy of destruction.
"<t> And, uh, I assume, um, that English is your native language.</t> [EOS]",I am guessing English is your native language.,"I assume you speak English.  Edward Jones Jrorporated, Inc., is a journalist"
"<t> If you would like information, please enter your response in the appropriate area and your name, address and /or phone number in the space provided at the end.</t> [EOS]",Please respond in the space at the end for information.,"You can enter your name, address and phone number in the space provided at end."
"<t> Supported by government grants, private foundations, and law firms</t> [EOS]","Funded by grants, foundations and law firms.  ","Government grants, private foundations and law firms are supported.  som: ""supported"
<t> A total of 32 such National Guard teams were authorized by fiscal year 2001.</t> [EOS],Multiple National Guard teams were authorized in the 21st century,"There were 32 National Guard teams authorized by 2001.  miscellaneous: """
"<t> In this case, public outrage led to early workers' compensation and factory inspection legislation.</t> [EOS]",Anger from the public eventually resulted in new laws for factory inspection and workers' compensation.,Public outrage led to early workers' compensation and factory inspection legislation.  miscellaneous
<t> Please make checks payable to Indiana University Foundation.</t> [EOS],Please write your check to Indiana University Foundation.,Payments should be made to the Indiana University Foundation.  miscellaneous..
"<t> There was also a candy store about three or four blocks in the other direction called Pud's that we used to walk up to and across the street from Pud's was the local fire department and the uh the firemen used to let us play on the fire engines which is completely unheard of nowadays but they let us you know climb all over them, get inside and honk the horns you know put on fire jacket and boots or whatever we wanted to do and uh I guess there just weren't a lot of fires in Asheville in that part of town because they never seemed to be concerned that we would be interfering with their preparedness.</t> [EOS]","A candy store called Pud's was across the street from the local fire department, where we played on the fire engines. ",We used to walk up the street and play with fire engines.  I:
"<t> At that point in time, the Langley pilots did not know the threat they were facing, did not know where United 93 was located, and did not have shootdown authorization.</t> [EOS]","In that moment the Langley pilots were unaware of the threat, the location of United 93 and had no authorization to engage.",The Langley pilots did not know the threat they were facing.  som:
"<t> At 9:36, the FAA's Boston Center called NEADS and relayed the discovery about an unidentified aircraft closing in on Latest report.</t> [EOS]","After nine o'clock, the Boston Center relayed the discovery to NEADS.","The FAA's Boston Center called NEADS.  Edward: ""An unidentified aircraft"
"<t> Steven Schimmele Vice President, Class of 1992</t> [EOS]","Steve Schimmele from the Class of 1992, is the Vice President.","Steven Schimmele was a vice president.  Edward: ""Class of"
"<t> Not long afterward, senior al Qaeda operatives and trainers traveled to Iran to receive training in explosives.</t> [EOS]",Senior al Qaeda operatives and trainers went to Iran to learn how to make bombs.,Senior al Qaeda operatives and trainers traveled to Iran.  somoenae (i
"<t> Only smooth and clever entry into the make-believe activity'for example, inviting the dolls and stuffed animals to get up for breakfast'could lure Mattie into starting the  real  part of her day without protest.</t> [EOS]",Mattie prefers her stuffed animals and dolls to join her for breakfast.,Mattie was not able to start the real part of her day without protest.
<t> My ankle.</t> [EOS],My body part.,"My ankle.  Edward: ""my foot."" ) omitting the other part"
<t>  Hoping to find a lake is included</t> [EOS],It encompasses the hope of finding a lake.,Hoping to find a lake is included.  Edward James Bond in the movie
"<t> noisome Has nothing to do with sound or decibel level, but means simply unpleasant or disgusting.</t> [EOS]",Noisome has nothing to do with sound or decibel level.,"Noisome is unpleasant or disgusting.  I: ""noisy"" has"
"<t> Um, the joys, joys and fun of construction.</t> [EOS]",The joy and excitement of construction.,"Construction has many joys.  miscellaneous: ""The pleasures, the fun"
"<t> That is, this is the last such request that will be penned from the Cavanaugh Hall address.</t> [EOS]",You won't be receiving any more requests from the address at Cavanaugh Hall. ,"This is the last request from Cavanaugh Hall.  miscellaneous: ""That"
"<t> As a nonexpert, although interested, subscriber to VERBATIM, it is  a bit mysterious  to me that the singular noun absence takes the plural verb are .  I refer to the first sentence of your article about the Longman Dictionary [XV,1].</t> [EOS]",The author is concerned about the verb use in VERBATIM magazine.,"I am interested in VERBATIM.  I: ""It is a bit"
<t> Retailers have an incentive to stock high levels of  They want both to provide sufficient display stock to attract customers'empty shelves are not inviting'and to have products available for those who wish to purchase them.</t> [EOS],Retailers want to provide enough display stock to attract customers to their stores.,Retailers have an incentive to stock high levels of  into the equation.
<t> Your donation to the Herron School of Art and Gallery is crucial to this goal.</t> [EOS],Without your donation we will not be able to complete the goal.,The Herron School of Art and Gallery is crucial to this goal.  som
"<t> You have a good attitude about it, though!</t> [EOS]",Your disposition towards it is great.,You have a good attitude about it.  somber!0061 25A
"<t> 90 In order to understand how the two agencies interacted eight years later, we will review their missions, command and control structures, and working relationship on the morning of 9/11.</t> [EOS]",We will look into how the two agencies interacted by reviewing their missions.,"We will review their missions, command and control structures.  miscellaneous: """
<t> I wanted to briefly share with you some of the specific uses of the funds that are donated each year.</t> [EOS],Allow me to quickly share with you how donated funds are allocated each year.,I wanted to give you some of the uses that are donated each year.  som
<t> Anything you remember?</t> [EOS],Do you remember anything?,Do you remember anything?  I. All right!... what do we have
"<t> Um, she pretty much showed a lot of disinterest at best and, and outright hostility at worst towards my mom until we the kids came along.</t> [EOS]",She sometimes wasn't nice to my mom until we kids were born. ,She didn't like my mom.  I the situation was very difficult for her
"<t> But grammar enters the picture here, too, and dictionaries are remiss in syntactic description of how the language works in comparison with what its words mean, how they are spelled and pronounced, and where they came from.</t> [EOS]","Dictionaries are not the best in explaining how language functions in comparison to word meanings, spelling, pronunciation and where it is derived from.",Dictionaries are not always accurate in describing how the language works.  miscellaneous
"<t> Consider the following conversation between Mel and his 4-year-old son, Ben, as the pair took a summer-evening walk on a California beach near their home.</t> [EOS]",Mel had a 4 year old named Ben.,"Mel and Ben were walking on a beach.  Edward: ""Consider the following"
<t> The knife and motor are supported above the base plate by a frame.</t> [EOS],The knife and motor are supported over the base plate.,The motor is supported by a frame.  miscellaneous the knife and its part
"<t> Nine other classes will be participating in this effort, as well.</t> [EOS]",Nine other classes signed up to participate in this effort.,There are nine other classes participating in this effort.  miscellaneous... )
"<t> The call lasted about two minutes, after which Policastro and a colleague tried unsuccessfully to contact the flight.</t> [EOS]",Policastro and a colleague were not able to call the flight. ,Policastro and a colleague tried to contact the flight after two minutes. 
"<t> Our goal is to award scholarships in the amount of $5,000 to first-year minority dental students to pay for supplies and equipment required in the first academic year.</t> [EOS]",A large sum of money will be awarded to minority dental students.,We want to give scholarships for first-year minority dental students.  som
"<t> Receiving inquiries and requests for information and services from around the world, and having assisted many in their vocational rehabilitation and business, the dba is recognized as one of the nation's largest and leading authorities on the self-employment of people with disabilities.</t> [EOS]",The dba is an authority on self-employment for disabled people.,The dba is one of the nation's largest and leading authorities on self-employment.
"<t> Pursuant to the Nunn-Lugar-Domenici Domestic Preparedness Program, the Defense Department began in 1997 to train first responders in 120 of the nation's largest cities.</t> [EOS]",The Nunn-Lugar-Domenici Domestic Preparedness Program helps ensure first responders are trained.,The Defense Department began to train first responders in 120 of the nation's largest cities.
<t> It would be so damn foggy you could not see the yellow line on that divided highway in front of you and we to turn left out onto this highway.</t> [EOS],The fog blocked the dividing highway line. ,It was so foggy that you could not see the yellow line on a divided highway.
<t> Nonsexist language is no universal antidote.</t> [EOS],Nonsexist language will not fix all of our problems.,Nonsexist language is not universal.  Edward Jones wrote the article on this
"<t> While his allied Islamist groups were focused on local battles, such as those in Egypt, Algeria, Bosnia, or Chechnya, Bin Ladin concentrated on attacking the far enemy-the United States.</t> [EOS]","Bin Ladin was focused on attacking the United States, the enemy far away.","Bin Ladins focused on attacking the United States.  miscellaneous: """
"<t> Instead, parents who warmly, but consistently and assertively, require their inhibited child to try new experiences and guide and support them in doing so actually reduce the child's physiological stress reactions, fostering a more adaptive style in the child.</t> [EOS]",Parents who require their kids to experience new things while still being kind towards them encourage their kids to be more adaptive.,Parents who encourage their child to try new experiences reduce the children's physiological stress reactions.
<t> The Lord helped me for a reason.</t> [EOS],There's a reason the Lord helped me.,"The Lord helped me.  I: ""For a reason."" )amazing"
<t> I think she must have enjoyed it because she read them to us too.</t> [EOS],She enjoyed reading to people.,"She read them to us too.  I: ""she must have enjoyed it"
<t> Human needs are on the rise in central Indiana and we have to meet the challenge.</t> [EOS],It necessary that we meet the challenge of rising human needs in central Indiana.,"Human needs are on the rise in central Indiana.  som: ""We have"
"<t> In terms of the retail bottom line, this risk appeared in the indirect costs associated with holding inventories of unwanted products and stock-outs of popular items.</t> [EOS]",There were indirect costs attached to stock-outs of popular items.,The risk appeared in the indirect costs.  miscellaneous (a retail bottom line
