,task,verb,premise,hypothesis,label
451,to,exist,Sufficient accumulated supply exists to meet demand.,Sufficient accumulated supply meets demand.,1
452,to,exist,Governments exist to limit personal freedom.,Governments limit personal freedom.,1
453,to,decline,NBC have declined to promote the show.,Nbc have promoted the show.,2
454,to,deserve,"Deukemjian is a fool and a liar, and deserves to be strung by his balls.","Deukemjian is a fool and a liar, and is strung by his balls.",1
455,to,deserve,The public deserves to know what's going on with its money.,The public knows what's going on with its money.,1
456,to,proceed,"When a college audience annoys him by clamoring for Latka and Mighty Mouse, Carrey as Kaufman proceeds to read all of The Great Gatsby on stage.","When a college audience annoys him by clamoring for latka and mighty mouse, carrey as kaufman reads all of the great gatsby on stage.",1
457,to,proceed,"The island is aligned almost east-to-west in the water so that sunrise wakes the eastern tip, proceeds to caress the length of the island, and kisses the western tip  good night.  ","The island is aligned almost east-to-west in the water so that sunrise wakes the eastern tip, caresses the length of the island, and kisses the western tip good night.",1
458,to,want,But I wanted to be sure.,But i was sure.,1
459,to,appear,She appears to be an intelligent woman.,She is an intelligent woman.,1
460,to,mean,A bigger contribution means to support candidate Y.,A bigger contribution supports candidate.,1
461,to,agree,"The person agreed to work on security policy for $100,000 a year.","The person worked on security policy for $ 100,000 a year.",1
462,to,help,But I think it helped to support the idea that he knew what he was doing.,But i think it supported the idea that he knew what he was doing.,0
463,to,get,I've got to scoot back to the house.,I've scooted back to the house ..,0
464,to,start,Canada Miss started to look a little sloppy.,Canada miss looked a little sloppy.,0
465,to,intend,The Persians intended to destroy everything that was great.,The persians destroyed everything that was great.,1
466,to,seek,Low-performing organizations also seek to involve and engage employees,Low-performing organizations also involve and engage.,1
467,to,choose,Some Libyans chose to stay and fight with Bin Laden.,Some libyans stayed and fight with bin laden.,1
468,to,like,Democrats like to use that dodge.,Democrats use that dodge.,1
469,to,want,I want to change things.,I change things.,1
470,to,tend,She tended to change her mind when confronted.,She changed her mind when confronted.,0
471,to,decide,I've decided to let Dave Hanson watch.,I've let dave hanson watch.,1
472,to,fail,The Insider fails to note a few hopeful ironies.,The insider notes a few hopeful ironies.,2
473,to,continue,Tuppence continued to look at the floor.,Tuppence looked at the floor.,1
474,to,begin,"Suddenly, the spirit began to move away.","Suddenly, the spirit moved away.",0
475,to,use,They used to have requirements.,They had requirements.,0
476,to,seem,Every new thing seems to prove it.,Every new thing proves it.,1
477,to,need,They needed to slow down.,They slowed down.,1
478,to,prefer,Modern artists prefer to work and sell in the main islands.,Modern artists work and sell in the main islands.,1
479,to,prove,That proved to be the anomaly for the next three quarters of the game.,That was the anomaly for the next three quarters of the game.,1
480,to,hope,"In 1903, railroad officials visited Las Vegas hoping to secure land to build on.","In 1903, railroad officials visited las vegas securing land to build on.",1
481,to,wish,People wishing to get lessons and rent equipment have the chance.,People getting lessons and rent equipment have the chance.,1
482,to,cease,"Many of the high packhorse routes had ceased to be used for the transportation of goods, but these old  rights of way  for foot and bridle traffic were now transformed into an extensive network of marked and mapped routes ideal for recreational walkers and hikers.","Many of the high packhorse routes had been used for the transportation of goods, but these old rights of way for foot and bridle traffic were now transformed into an extensive network of marked and mapped routes ideal for recreational walkers and hikers.",1
483,to,deserve,The greater use of broadbanding is one of the options that deserves to be discussed.,The greater use of broadbanding is one of the options that is discussed.,1
484,to,hope,Klayman brings up controversial questions which hope to bring mayhem in the court room.,Klayman brings up controversial questions which bring mayhem in the court room.,1
485,to,propose,"Third, the Commission proposed to amend a Commission rule regarding packaging to clarify that the type of hearing aid compatibility referred to is electro-magnetic coil compatibility.","Third, the commission amended a commission rule regarding packaging to clarify that the type of hearing aid compatibility referred to is electro-magnetic coil compatibility.",1
486,to,serve,Failure to provide the information we are seeking serves to undercut the important principles of transparency and accountability in government.,Failure to provide the information we are seeking undercuts the important principles of transparency and accountability in government.,0
487,to,aim,Overall the priorities aim to improve the financial information needed to implement good policies and management.,Overall the priorities improve the financial information needed to implement good policies and management.,1
488,to,strive,"As we strive to continue and improve upon our efforts for the community, it is our hope that you will join us by providing Keep Indianapolis Beautiful with a generous gift.","As we continue and improve upon our efforts for the community, it is our hope that you will join us by providing keep indianapolis beautiful with a generous gift.",1
489,to,threaten,Court officials statewide fear the number of self-represented litigants has reached crisis levels and threatens to clog court calendars.,Court officials statewide fear the number of self-represented litigants has reached crisis levels and clogs court calendars.,1
490,to,learn,Orrin Hatch thinks war is necessary and learned to fly planes in case he got called to action.,Orrin hatch thinks war is necessary and flew planes in case he got called to action.,0
491,to,decline,"Walker's two clients, Jamie Harrison and Robin Hull, declined to be interviewed.","Walker's two clients, jamie harrison and robin hull, was interviewed.",2
492,to,love,People love to see visible improvements in National Parks.,People see visible improvements in national parks.,1
493,to,work,"The LSC staff worked to calibrate the units in the division, which took them about a full year.","The lsc staff calibrated the units in the division, which took them about a full year.",1
494,to,happen,I happened to walk in on John and Mary Cavendish who were arguing with each other. ,I walked in on john and mary cavendish who were arguing with each other.,1
495,to,claim,Aquacity at S'Arenal claims to be the biggest aquatic park in the world.,Aquacity at s'arenal is the biggest aquatic park in the world.,1
496,to,expect,There's expected to be more people requesting postal delivery services.,There's been more people requesting postal delivery services.,1
497,to,have,He had to be escorted off.,He was escorted off.,0
498,to,return,So-called commuter aliens are a special category of lawful permanent residents recognized by the INS regulations as resident aliens of the United States who may reside outside of the United States in a contiguous territory and who return to work in the United States regularly.,So-called commuter aliens are a special category of lawful permanent residents recognized by the ins regulations as resident aliens of the united states who may reside outside of the united states in a contiguous territory and who work in the united states regularly.,1
499,to,have,Something has to be done. ,Something is done.,0
500,to,appear,It appeared to be coarse kitchen salt.,It was coarse kitchen salt.,1
501,to,say,The old man said to avoid the other person.,The old man avoided the other person.,1
502,to,help,Hugh de Morville helped to kill Thomas Becket at Ceterbury Cathedral.,Hugh de morville killed thomas becket at ceterbury cathedral.,0
503,to,get,He even got to learn the girl's name.,He even learnt the girl's name.,0
504,to,start,Tax forms have started to arrive for 2001.,Tax forms have arrived for 2001.,0
505,to,intend,The Soviet Union intended to invade the Japanese mainland.,The soviet union invaded the japanese mainland.,1
506,to,seek,Harley-Davidson has sought to trademark the rumble of its motorcycles.,Harley-davidson has trademarked the rumble of its motorcycles.,1
507,to,choose,Zero Brits have chosen to live there permanently.,Zero brits have lived there permanently.,1
508,to,plan,The man planned to kill someone with his axe. ,The man killed someone with his axe.,1
509,to,like,I do all the things I like to do.,I do all the things i do.,1
510,to,remain,"Whether this will ever happen remains to be seen, but perhaps the aid offered by Greece to Turkey after 1999's devastating earthquake is a sign that the animosity between these two traditional enemies is beginning to diminish.","Whether this will ever happen is seen, but perhaps the aid offered by greece to turkey after 1999's devastating earthquake is a sign that the animosity between these two traditional enemies is beginning to diminish.",2
511,to,tend,The Sinai tend to travel to various locations.,The sinai travel to various locations.,0
512,to,decide,The army patrol decided to ignore him.,The army patrol ignored him.,1
513,to,fail,Wolf failed to convert the issue into a lesson.,Wolf converted the issue into a lesson.,2
514,to,continue,They continued to eat as he came closer.,They ate as he came closer.,1
515,to,begin,The other woman began to cry in fright.,The other woman cried in fright.,0
516,to,use,Kal used to be a slave trader. ,Kal was a slave trader.,0
517,to,seem,And the ploy seems to be working.,And the ploy is working.,1
518,to,need,I need to be told twice. ,I am told twice.,1
519,to,mean,Did she like the fact that he meant to attack her?,Did she like the fact that he attacked her.,1
520,to,prefer,Most people prefer to read the paperback volume of Homer.,Most people read the paperback volume of homer.,1
521,to,prove,Interventions have proven to have no affect on problem drinking.,Interventions have had no affect on problem drinking.,1
522,to,hope,The Republicans in the House had hoped to get things done with the president.,The republicans in the house had gotten things done with the president.,1
523,to,cease,"As journalism has become less of a trade and more of a profession, once common vices like embellishment, plagiarism, and binge drinking have ceased to be regarded as charming.","As journalism has become less of a trade and more of a profession, once common vices like embellishment, plagiarism, and binge drinking have been regarded as charming.",1
524,to,deserve,Lennox Lewis deserved to win the fight according to spectators and sports fans. ,Lennox lewis won the fight according to spectators and sports fans.,1
525,to,hope,"We actually hope to expand our services as a result of the merger, she said.","We actually expand our services as a result of the merger, she said.",1
526,to,propose,Senate Majority Leader Trent Lott proposed to amend the McCain-Feingold bill to ban unions from funneling dues to political activity without workers' explicit consent.,Senate majority leader trent lott amended the mccain-feingold bill to ban unions from funneling dues to political activity without workers' explicit consent.,1
527,to,serve,This served to reinforce the message that high levels of improper payments are unacceptable in the United Kingdom.,This reinforced the message that high levels of improper payments are unacceptable in the united kingdom.,0
528,to,aim,The site aims to be the premier destination for all the latest research on accounting and financial management.,The site is the premier destination for all the latest research on accounting and financial management.,1
529,to,promise,People who plunge their wrists into ice water are perfect for devices that promise to relieve carpal tunnel syndrome.,People who plunge their wrists into ice water are perfect for devices that relieve carpal tunnel syndrome.,1
530,to,ask,"Personal Communication with a utility engineer that asked to remain anonymous, August 6, 2001.","Personal communication with a utility engineer that remained anonymous, august 6, 2001.",1
531,to,turn,The quirk ceased when he turned to look at the blue uniformed man.,The quirk ceased when he looked at the blue uniformed man.,1
532,to,struggle,The city struggled to rebuild from Crusader wars and invasions.,The city rebuilt from crusader wars and invasions.,1
533,to,decline,"Oreskes declined to tell him, of course, who the Times ' sources were.","Oreskes told him, of course, who the times' sources were.",2
534,to,love,Tourist love to take pictures of the beautiful panorama.,Tourist take pictures of the beautiful panorama.,1
535,to,wait,Tommy thought of how missing supper would mean waiting to eat in the morning.,Tommy thought of how missing supper would mean eating in the morning.,1
536,to,work,"He and his wife, Addie, spent years working to make the Holocaust Memorial Museum a reality. ","He and his wife, addie, spent years making the holocaust memorial museum a reality.",1
537,to,happen,"My door happened to be ajar, and I heard her talking to some one in the passage.","My door was ajar, and i heard her talking to some one in the passage.",1
538,to,pretend,Bening pretended to be the children's book author in the play.,Bening was the children's book author in the play.,1
539,to,exist,A program exists to assess deficiencies.,A program assesses deficiencies.,1
540,to,want,I want to keep it.,I keep it.,1
541,to,forget,They forgot to schedule their next meeting before they parted. ,They scheduled their next meeting before they parted.,2
542,to,strive,Oregon's 16 Legal Aid offices strive to provide civil legal services for the state's lowincome population.,Oregon's 16 legal aid offices provide civil legal services for the state's lowincome population.,1
543,to,strive,"Altogether there were 130 lawyers striving to serve 550,000 vulnerable and less fortunate individuals in the state.","Altogether there were 130 lawyers serving 550,000 vulnerable and less fortunate individuals in the state.",1
544,to,strive,"All feature a blend of ancient and modern, of dignity and fun, and strive to make the visitor feel welcome and treasured.","All feature a blend of ancient and modern, of dignity and fun, and make the visitor feel welcome and treasured.",1
545,to,strive,"Drew concentrated on the business at hand, striving to forget the crowd opening up to let him through, shouting encouragement or disparagement.","Drew concentrated on the business at hand, forgetting the crowd opening up to let him through, shouting encouragement or disparagement.",1
546,to,strive,"Therefore, commercial companies strive to firm the design as early in the process as possible when it is significantly cheaper to make changes.","Therefore, commercial companies firm the design as early in the process as possible when it is significantly cheaper to make changes.",1
547,to,strive,We also have found that leading organizations strive to ensure that their core processes efficiently and effectively support mission-related outcomes.,We also have found that leading organizations ensure that their core processes efficiently and effectively support mission-related outcomes.,1
548,to,forget,I had forgotten to tell them it would be. ,I had told them it would be.,2
549,to,forget,The auction forgot to include the licenses.,The auction included the licenses.,2
550,to,forget,They forgot to publish a notice of proposed rulemaking.,They published a notice of proposed rulemaking.,2
551,to,forget,They forgot to collect the data so the reports were rejected.,They collected the data so the reports were rejected.,2
552,to,forget,The FCC forgot to prepare an Initial Regulatory Flexibility Analysis.,The fcc prepared an initial regulatory flexibility analysis.,2
553,to,turn,I turned to look behind me.,I looked behind me.,1
554,to,forget,Before it began he had forgotten to tell people to avoid the cameras.,Before it began he had told people to avoid the cameras.,2
555,to,forget,They forgot to post the results to the Florida legal services website. ,They posted the results to the florida legal services website.,2
556,to,forget,Most visitors forget to stop and see the stone panels of birds and flowers.,Most visitors stop and see the stone panels of birds and flowers.,2
557,to,learn,Many islanders have learned to regard the latest occupations with a sense of dry humor.,Many islanders have regarded the latest occupations with a sense of dry humor.,0
558,to,forget,"In 1023 b.c. the chief of tribes disagreed about a king and ended up starting a war, forgetting to elect a king.","In 1023 b.c. the chief of tribes disagreed about a king and ended up starting a war, electing a king.",2
559,to,learn,Being at WBRC learning to cope with the disability was a major feat for Miyares.,Being at wbrc coping with the disability was a major feat for miyares.,0
560,to,learn,Americans showed little to no interest in learning to be financially literate.,Americans showed little to no interest in being financially literate.,0
561,to,forget,"I forgot to mention to you that when the soldiers came to my house, the guerrillas were there, the guerrillas left and went back.","I mentioned to you that when the soldiers came to my house, the guerrillas were there, the guerrillas left and went back.",2
562,to,forget,"By the way, I forgot to tell you of a queer thing that happened this morning. And she narrated her encounter with Sir James Peel Edgerton.","By the way, i told you of a queer thing that happened this morning .'' and she narrated her encounter with sir james peel edgerton.",2
563,to,learn,"They dueled with rapiers and daggers, learning to accept a disarm for the gun.","They dueled with rapiers and daggers, accepting a disarm for the gun.",0
564,to,learn,Did you say you were four when you learned to ride a bike?,Did you say you were four when you rode a bike.,0
565,to,strive,American Pie strives to out-gross-out its predecessors and does so handily.,American pie out-gross-outs its predecessors and does so handily.,1
566,to,turn,So he turned to face Muller.,So he faced muller.,1
567,to,learn,The people farmed until they learned to use metals.,The people farmed until they used metals.,0
568,to,promise,He pointed out his house and I promised to go on a date with him. ,He pointed out his house and i went on a date with him.,1
569,to,ask,"I was approached after breakfast by Dorcas, who asked to speak to me privately.","I was approached after breakfast by dorcas, who spoke to me privately.",1
570,to,threaten,"Suddenly, Boris moved forward, and threatened to hit Tommy in the face.","Suddenly, boris moved forward, and hit tommy in the face.",1
571,to,threaten,"His mind threatened to blank out with each step, but he forced himself on.","His mind blanked out with each step, but he forced himself on.",1
572,to,threaten,The government people supervising the city threatened to kill the mobsters. ,The government people supervising the city killed the mobsters.,1
573,to,ask,And asked to consider what's worse or more harmful.,And considered what's worse or more harmful.,1
574,to,threaten,"Jones' lawyers went on several TV shows, threatening to raise further allegations in court.","Jones' lawyers went on several tv shows, raising further allegations in court.",1
575,to,threaten,And Israel has threatened to send troops into PA-controlled cities and crack down on Hamas itself.,And israel has sent troops into pa-controlled cities and crack down on hamas itself.,1
576,to,threaten,"Helms, who just two years ago threatened to end all U.N. funding, was charmed when Annan called on him last year.","Helms, who just two years ago ended all u.n. funding, was charmed when annan called on him last year.",1
577,to,promise,Girl Scouts promise to serve their own respective gods. ,Girl scouts serve their own respective gods.,1
578,to,promise,Mr. Carter promises to provide a reasonable amount of funding.,Mr. carter provides a reasonable amount of funding.,1
579,to,promise,Someone promised to call and was excited to talk about a topic.,Someone called and was excited to talk about a topic.,1
580,to,promise,Huntington promises to make the West the best part of the country.,Huntington makes the west the best part of the country.,1
581,to,promise,They also promised to try to solve their border dispute over Kashmir.,They also tried to solve their border dispute over kashmir.,1
582,to,strive,Drew strove to make his body one with Shiloh's small easy movements.,Drew made his body one with shiloh's small easy movements.,1
583,to,ask,People often dropped by asking to run a few plays.,People often dropped by running a few plays.,1
584,to,ask,Tuppence patiently asked to be left alone.,Tuppence patiently was left alone.,1
585,to,ask,I asked to speak to Dorcas.,I spoke to dorcas.,1
586,to,promise,The ITC developed an online community that promised to be user-friendly. ,The itc developed an online community that was user-friendly.,1
587,to,turn,"The other man ran over in a frenzy, then he turned to face him. ","The other man ran over in a frenzy, then he faced him.",1
588,to,turn,"When he turned to face us, he had a smile on his face. ","When he faced us, he had a smile on his face.",1
589,to,turn,He turned to look at Severn and Jon hit him again.,He looked at severn and jon hit him again.,1
590,to,turn,Susan turned to look at Jon as he stood still. ,Susan looked at jon as he stood still.,1
591,to,turn,94 Poirot turned to face us. ,94 poirot faced us.,1
592,to,promise,Johnson encouraged Kennedy to run and promised to do whatever he could to help him.,Johnson encouraged kennedy to run and did whatever he could to help him.,1
593,to,promise,She hereby promises to keep Culturebox itself MacDonald-free--at least for the time being.,She hereby keeps culturebox itself macdonald-free -- at least for the time being.,1
594,to,promise,"In an attempt for transparency, he promised to publish the referenda results in the Hill and the Washington Post.","In an attempt for transparency, he published the referenda results in the hill and the washington post.",1
595,to,strive,FEMA strives to reduce middle management layers.,Fema reduces middle management layers.,1
596,to,learn,Kay was asked what she learned to do in her lifetime.,Kay was asked what she did in her lifetime.,0
597,to,forget,"Lana went with Tom and John, so they may have forgotten to call Brandon.","Lana went with tom and john, so they may have called brandon.",2
598,to,learn,Adrin learned to reload both guns simultaneously.,Adrin reloaded both guns simultaneously.,0
599,to,decline,BBC declined to make a documentary about Bellow's life.,Bbc made a documentary about bellow's life.,2
600,to,aim,The VA aims to help veterans and current military members.,The va helps veterans and current military members.,1
601,to,decline,"Due to fear of flood, the elders declined to open the mines.","Due to fear of flood, the elders opened the mines.",2
602,to,struggle,GAO struggles to get timely access to information.,Gao gets timely access to information.,1
603,to,serve,It's a combination of groupies and the rock press both serving to inflate the egos of these guys.,It's a combination of groupies and the rock press both inflating the egos of these guys.,0
604,to,struggle,The Explorer struggled to keep his self-control.,The explorer kept his self-control.,1
605,to,serve,Their book has only served to make the Chinese-American relationship worse.,Their book has only made the chinese-american relationship worse.,0
606,to,serve,Arriving miners only served to reinforce the strength of the missionaries.,Arriving miners only reinforced the strength of the missionaries.,0
607,to,decline,The Bradley campaign declined to provide a comment for this story.,The bradley campaign provided a comment for this story.,2
608,to,aim,Recent proposals aimed to help more Americans save for retirement.,Recent proposals helped more americans save for retirement.,1
609,to,aim,The program aims to drastically increase the levels of NOx and SO2.,The program drasticallies increase the levels of nox and so2.,1
610,to,decline,David Rockefeller declined to have a vacation home on the Caribbean.,David rockefeller had a vacation home on the caribbean.,2
611,to,decline,John Danforth actually declined to lead the independent investigation.,John danforth actually led the independent investigation.,2
612,to,serve,All program reviews serve to improve the mission of the CSD plan.,All program reviews improve the mission of the csd plan.,0
613,to,struggle,He struggled to get them on.,He got them on.,1
614,to,serve,Bernini's works served to promote the Church's triumphant image.,Bernini's works promoted the church's triumphant image.,0
615,to,serve,The medical industry serves to keep us dying in droves.,The medical industry keeps us dying in droves.,0
616,to,serve,The Clear Skies Act serves to help the environment.,The clear skies act helps the environment.,0
617,to,aim,The series aims to provide GAO evaluators with what they need to do a good reorganization.,The series provides gao evaluators with what they need to do a good reorganization.,1
618,to,struggle,He struggled to get his eyes open.,He got his eyes open.,1
619,to,aim,The Minato Mirai 21 project aimed to build more hotels in the city center.,The minato mirai 21 project built more hotels in the city center.,1
620,to,struggle,Tuppence struggled to open the window.,Tuppence opened the window.,1
621,to,serve,The existence of IRAs and 401-lrb-k-rrb-s serves to raise public awareness about retirement saving opportunities.,The existence of iras and 401 -lrb- k -rrb- s raises public awareness about retirement saving opportunities.,0
622,to,aim,There are several rules that aimed to modify the requirements for business disclosure. ,There are several rules that modified the requirements for business disclosure.,1
623,to,aim,The service areas aim to benefit all of their clients.,The service areas benefit all of their clients.,1
624,to,pretend,Julius Hersheimmer pretended to be someone called Brown. ,Julius hersheimmer was someone called brown.,1
625,to,forget,"But in her hurry to be in time for the village entertainment Mrs. Inglethorp forgot to take her medicine, and the next day she lunched away from home, so that the last \xe2\x80\x9dand fatal \xe2\x80\x9ddose was actually taken twenty-four hours later than had been anticipated by the murderer; and it is owing to that delay that the final proof \xe2\x80\x9dthe last link of the chain \xe2\x80\x9dis now in my hands. Amid breathless excitement, he held out three thin strips of paper. ","But in her hurry to be in time for the village entertainment mrs. inglethorp took her medicine, and the next day she lunched away from home, so that the last'' and fatal'' dose was actually taken twenty-four hours later than had been anticipated by the murderer ; and it is owing to that delay that the final proof'' the last link of the chain'' is now in my hands .'' amid breathless excitement, he held out three thin strips of paper.",2
626,to,aim,You aim to stay on in Tubacca? ,You stay on in tubacca?.,1
627,to,serve,"My security clearance was only moderate, but a couple of well placed bribes served to jack it up a notch or two.","My security clearance was only moderate, but a couple of well placed bribes jacked it up a notch or two.",0
628,to,struggle,The agencies struggled to achieve all of their objectives.,The agencies achieved all of their objectives.,1
629,to,aim,This program aims to destroy all farms. ,This program destroys all farms.,1
630,to,pretend,He collects a big check for pretending to be outraged.,He collects a big check for being outraged.,1
631,to,forget,"You always were a shocking liar, said Tuppence severely, though you did once persuade Sister Greenbank that the doctor had ordered you beer as a tonic, but forgotten to write it on the chart.","You always were a shocking liar, said tuppence severely, `` though you did once persuade sister greenbank that the doctor had ordered you beer as a tonic, but written it on the chart.",2
632,to,decline,Most people declined to invest in the scheme.,Most people invested in the scheme.,2
633,to,pretend,He pretends to be a conservative.,He is a conservative.,1
634,to,pretend,He pretended to aim at the girls.,He aimed at the girls.,1
635,to,decline,It declined to join the European Community in 1972.,It joined the european community in 1972.,2
636,to,struggle,Dave found himself struggling to maintain his balance.,Dave found himself maintaining his balance.,1
637,to,learn,The groups learned to work together. ,The groups worked together.,0
638,to,struggle,"In reality, Japan struggles to maintain its economy. ","In reality, japan maintains its economy.",1
639,that,reply,"Brown replied that only a certain proportion of the funding can be applied toward development in R-01 grants, and some of the technology, for example interactive videos, can be quite expensive to develop.",Only a certain proportion of the funding can be applied toward development in r-01 grants.,1
640,that,admit,Liggett admitted that tobacco had purposely been marketed to minors.,Tobacco had purposely been marketed to minors.,0
641,that,confirm,More than one person confirmed that these statements were correct.,These statements were correct.,0
642,that,confirm,CAGE and AUDIT confirmed that women can handle their alcohol.,Women can handle their alcohol.,0
643,that,confirm,Steve and Cokie Roberts confirmed that they were there too. ,They were there too.,0
644,that,confirm,Poirot's expression confirmed that Bauerstein is a spy.,Bauerstein is a spy.,0
645,that,confirm,It was confirmed that other planes had landed.,Other planes had landed.,0
646,that,hope,He was hoping that one of the shots would have taken down his opponent.,One of the shots would have taken down his opponent.,1
647,that,hope,It was to be hoped that Julius would arrive better provided.,Julius would arrive better provided.,1
648,that,hope,Larry King hopes that Will will be made commissioner.,Will will be made commissioner.,1
649,that,hope,Clark hoped that he could continue their marriage.,He could continue their marriage.,1
650,that,hope,Sir James hopes that dinner will be ready soon.,Dinner will be ready soon.,1
651,that,hope,Tuppence hoped that he would be gracious. ,He would be gracious.,1
652,that,admit,"To be fair, he admitted that their predictions seemed accurate enough.",Their predictions seemed accurate enough.,0
653,that,admit,Mayor Marion Barry admitted that he had an addiction to sex.,He had an addiction to sex.,0
654,that,decide,He decided that he must leave no stone unturned.,He must leave no stone unturned.,1
655,that,admit,He admits that people are elected to manage the government.,People are elected to manage the government.,0
656,that,admit,Serp Perth admitted that they forgot and were apologetic. ,They forgot and were apologetic.,0
657,that,admit,The dude admitted that he tried weed once back in school.,He tried weed once back in school.,0
658,that,admit,Starr fully admitted that he leaked the information. ,He leaked the information.,0
659,that,admit,He admits that he owns a safe.,He owns a safe.,0
660,that,notice,"His wife greeted him cheerfully, but noticed that something was amiss.",Something was amiss.,0
661,that,notice,I forgot to bring my gun. He noticed that his gun holster was empty.,His gun holster was empty.,0
662,that,notice,Hanson noticed that their glass blowing was of poor standards.,Their glass blowing was of poor standards.,0
663,that,notice,My friend noticed that the cup was full of piping hot coffee.,The cup was full of piping hot coffee.,0
664,that,notice,I noticed that John's manner was somewhat unusual. ,John's manner was somewhat unusual.,0
665,that,notice,I had noticed that his eyes showed his excitement.,His eyes showed his excitement.,0
666,that,notice,Tuppence noticed that you were limping.  ,You were limping.,0
667,that,confirm,An SBA official confirmed that this practice is followed by some agencies.,This practice is followed by some agencies.,0
668,that,confirm,The study confirmed that a standard intervention was suitable for everyone.,A standard intervention was suitable for everyone.,0
669,that,imply,Are you implying that it was Rita?,It was rita.,1
670,that,imply,He implied that this area was a beautiful place.,This area was a beautiful place.,1
671,that,declare,CNN's Bob Franken declared that Starr and the Jones team were joined at the hip.,Starr and the jones team were joined at the hip.,1
672,that,declare,Hanuman declared that all the lemurs here needed to be killed or relocated. ,All the lemurs here needed to be killed or relocated.,1
673,that,declare,She declared that participants must display a love of aggression.,Participants must display a love of aggression.,1
674,that,declare,Tommy declared that death is the only option available.,Death is the only option available.,1
675,that,declare,But he declared that he saw it bolted! I cried. ,He saw it bolted! i cried.,1
676,that,declare,Tuppence rose and declared that it was off.,It was off.,1
677,that,observe,He also observed that patients who screen positive for one risk factor often have multiple risk factors.,Patients who screen positive for one risk factor often have multiple risk factors.,0
678,that,observe,He observed that this system had been effective largely because physicians had seen patients recover.,This system had been effective largely because physicians had seen patients recover.,0
679,that,observe,She observed that it would be useful to know in advance how to identify whom that champion might be.,It would be useful to know in advance how to identify whom that champion might be.,0
680,that,observe,"In my last message, I observed that West, like Gates, wants to be Du Bois when he grows up.","West, like gates, wants to be du bois when he grows up.",0
681,that,observe,She observed that institutionalizing new practices was just the beginning of the task.,Institutionalizing new practices was just the beginning of the task.,0
682,that,observe,Finkelstein observes that there was an increase in Holocaust writing after 1967.,There was an increase in holocaust writing after 1967.,0
683,that,observe,You observed that it had a piece of twisted wire through the handle. ,It had a piece of twisted wire through the handle.,0
684,that,predict,Reviewers predict that the collection's American publication will kick off a wave of Eliot-bashing.,The collection's american publication will kick off a wave of eliot-bashing.,1
685,that,predict,The Japanese government predicted that Japanese civilians would be hurt by the occupying forces.,Japanese civilians would be hurt by the occupying forces.,1
686,that,predict,"Optimists predicted that Woods will make golf hip and popular, especially among nonwhite kids.","Woods will make golf hip and popular, especially among nonwhite kids.",1
687,that,predict,The district attorney predicts that an arrest will be made in the next two months.,An arrest will be made in the next two months.,1
688,that,predict,An article predicts that Hillary will kill herself once she leaves office.,Hillary will kill herself once she leaves office.,1
689,that,predict,He predicted that it would spark controversy greatly. ,It would spark controversy greatly.,1
690,that,predict,The FDA predicts that the net cost will be $52.,The net cost will be $ 52.,1
691,that,imply,This implies that the surface mailstream is composed of flats and small packets.,The surface mailstream is composed of flats and small packets.,1
692,that,imply,The media imply that Bush keeps refusing to say whether he has used cocaine.,Bush keeps refusing to say whether he has used cocaine.,1
693,that,imply,Krugman's assumptions imply that those who pay more must be rabid fans.,Those who pay more must be rabid fans.,1
694,that,imply,And it implies that the Harlem racket reverted to local control.,The harlem racket reverted to local control.,1
695,that,imply,It was implied that there was an increase of $109. ,There was an increase of $ 109.,1
696,that,notice,I notice that it is greatly exaggerated.,It is greatly exaggerated.,0
697,that,prove,It was proven that Mrs. Vandemeyer and the girl had an affair,Mrs. vandemeyer and the girl had an affair.,1
698,that,prove,It proves that there can be several ways to read a text.,There can be several ways to read a text.,1
699,that,assert,Prospect asserts that recent interest in human nature has cause sociology to make an impressive comeback. ,Recent interest in human nature has cause sociology to make an impressive comeback.,1
700,that,assert,"But now Prospect , a British magazine that covers politics and ideas, asserts that sociology is back.",Sociology is back.,1
701,that,assert,The Counsel has asserted that section 712-lrb-1-rrb- limits GAO's audit authority to financial transactions.,Section 712 -lrb- 1 -rrb- limits gao's audit authority to financial transactions.,1
702,that,assert,"In these letters, he asserted that I exceeded my lawful authority by undertaking this study.",I exceeded my lawful authority by undertaking this study.,1
703,that,assert,Jung asserted that personality is composed of four pairs of preferences.,Personality is composed of four pairs of preferences.,1
704,that,assert,Cope asserts that his algorithms would beat the world best composers.,His algorithms would beat the world best composers.,1
705,that,assert,Clinton asserted that she was responsible for key legislation.,She was responsible for key legislation.,1
706,that,feel,He also feels that screening research should be made collaborative.,Screening research should be made collaborative.,1
707,that,feel,The realist feels that individual nations should police themselves.,Individual nations should police themselves.,1
708,that,feel,He has kissed me and I feel that he is physically attracted to me.,He is physically attracted to me.,1
709,that,feel,A few people feel that security holes are found in most browsers.,Security holes are found in most browsers.,1
710,that,feel,I feel that he was aware that he may have missed something.,He was aware that he may have missed something.,1
711,that,feel,The EPA feels that no investigation is necessary at all.,No investigation is necessary at all.,1
712,that,feel,Participants feel that there is a simple solution.,There is a simple solution.,1
713,that,expect,It is expected that the Justice Department will succeed with its lawsuit.,The justice department will succeed with its lawsuit.,1
714,that,expect,It was expected that the Sevens Swords would do well the night before.,The sevens swords would do well the night before.,1
715,that,expect,It is expected that there will be more than enough ammonia and urea.,There will be more than enough ammonia and urea.,1
