,task,verb,premise,hypothesis,label
486,to,serve,Failure to provide the information we are seeking does not serve to undercut the important principles of transparency and accountability in government.,Failure to provide the information we are seeking undercuts the important principles of transparency and accountability in government.,2
487,to,aim,Overall the priorities do not aim to improve the financial information needed to implement good policies and management.,Overall the priorities improve the financial information needed to implement good policies and management.,1
488,to,strive,"As we do not strive to continue and improve upon our efforts for the community, it is our hope that you will join us by providing Keep Indianapolis Beautiful with a generous gift.","As we continue and improve upon our efforts for the community, it is our hope that you will join us by providing keep indianapolis beautiful with a generous gift.",1
489,to,threaten,Court officials statewide fear the number of self-represented litigants has reached crisis levels and does not threaten to clog court calendars.,Court officials statewide fear the number of self-represented litigants has reached crisis levels and clogs court calendars.,1
490,to,learn,Orrin Hatch thinks war is necessary and did not learn to fly planes in case he got called to action.,Orrin hatch thinks war is necessary and flew planes in case he got called to action.,2
491,to,decline,"Walker's two clients, Jamie Harrison and Robin Hull, did not decline to be interviewed.","Walker's two clients, jamie harrison and robin hull, was interviewed.",1
492,to,love,People do not love to see visible improvements in National Parks.,People see visible improvements in national parks.,1
493,to,work,"The LSC staff did not work to calibrate the units in the division, which took them about a full year.","The lsc staff calibrated the units in the division, which took them about a full year.",1
494,to,happen,I did not happen to walk in on John and Mary Cavendish who were arguing with each other. ,I walked in on john and mary cavendish who were arguing with each other.,1
495,to,claim,Aquacity at S'Arenal does not claim to be the biggest aquatic park in the world.,Aquacity at s'arenal is the biggest aquatic park in the world.,1
496,to,expect,There's not expected to be more people requesting postal delivery services.,There's been more people requesting postal delivery services.,1
497,to,have,He did not have to be escorted off.,He was escorted off.,1
498,to,return,So-called commuter aliens are a special category of lawful permanent residents recognized by the INS regulations as resident aliens of the United States who may reside outside of the United States in a contiguous territory and who do not return to work in the United States regularly.,So-called commuter aliens are a special category of lawful permanent residents recognized by the ins regulations as resident aliens of the united states who may reside outside of the united states in a contiguous territory and who work in the united states regularly.,1
499,to,have,Something does not have to be done. ,Something is done.,1
500,to,appear,It did not appear to be coarse kitchen salt.,It was coarse kitchen salt.,1
501,to,say,The old man did not say to avoid the other person.,The old man avoided the other person.,1
502,to,help,Hugh de Morville did not help to kill Thomas Becket at Ceterbury Cathedral.,Hugh de morville killed thomas becket at ceterbury cathedral.,1
503,to,get,He even did not get to learn the girl's name.,He even learnt the girl's name.,2
504,to,start,Tax forms have not started to arrive for 2001.,Tax forms have arrived for 2001.,2
505,to,intend,The Soviet Union did not intend to invade the Japanese mainland.,The soviet union invaded the japanese mainland.,1
506,to,seek,Harley-Davidson has not sought to trademark the rumble of its motorcycles.,Harley-davidson has trademarked the rumble of its motorcycles.,1
507,to,choose,Zero Brits have not chosen to live there permanently.,Zero brits have lived there permanently.,1
508,to,plan,The man did not plan to kill someone with his axe. ,The man killed someone with his axe.,1
509,to,like,I do all the things I do not like to do.,I do all the things i do.,1
510,to,remain,"Whether this will ever happen does not remain to be seen, but perhaps the aid offered by Greece to Turkey after 1999's devastating earthquake is a sign that the animosity between these two traditional enemies is beginning to diminish.","Whether this will ever happen is seen, but perhaps the aid offered by greece to turkey after 1999's devastating earthquake is a sign that the animosity between these two traditional enemies is beginning to diminish.",1
511,to,tend,The Sinai do not tend to travel to various locations.,The sinai travel to various locations.,1
512,to,decide,The army patrol did not decide to ignore him.,The army patrol ignored him.,1
513,to,fail,Wolf did not fail to convert the issue into a lesson.,Wolf converted the issue into a lesson.,0
514,to,continue,They did not continue to eat as he came closer.,They ate as he came closer.,1
515,to,begin,The other woman did not begin to cry in fright.,The other woman cried in fright.,2
516,to,use,Kal did not used to be a slave trader. ,Kal was a slave trader.,2
517,to,seem,And the ploy does not seem to be working.,And the ploy is working.,1
518,to,need,I do not need to be told twice. ,I am told twice.,1
519,to,mean,Did she like the fact that he did not mean to attack her?,Did she like the fact that he attacked her.,0
520,to,prefer,Most people do not prefer to read the paperback volume of Homer.,Most people read the paperback volume of homer.,1
521,to,prove,Interventions have not proven to have no affect on problem drinking.,Interventions have had no affect on problem drinking.,1
522,to,hope,The Republicans in the House had not hoped to get things done with the president.,The republicans in the house had gotten things done with the president.,1
523,to,cease,"As journalism has become less of a trade and more of a profession, once common vices like embellishment, plagiarism, and binge drinking have not ceased to be regarded as charming.","As journalism has become less of a trade and more of a profession, once common vices like embellishment, plagiarism, and binge drinking have been regarded as charming.",1
524,to,deserve,Lennox Lewis did not deserve to win the fight according to spectators and sports fans. ,Lennox lewis won the fight according to spectators and sports fans.,1
525,to,hope,"We actually do not hope to expand our services as a result of the merger, she said.","We actually expand our services as a result of the merger, she said.",1
526,to,propose,Senate Majority Leader Trent Lott did not propose to amend the McCain-Feingold bill to ban unions from funneling dues to political activity without workers' explicit consent.,Senate majority leader trent lott amended the mccain-feingold bill to ban unions from funneling dues to political activity without workers' explicit consent.,1
527,to,serve,This did not serve to reinforce the message that high levels of improper payments are unacceptable in the United Kingdom.,This reinforced the message that high levels of improper payments are unacceptable in the united kingdom.,2
528,to,aim,The site does not aim to be the premier destination for all the latest research on accounting and financial management.,The site is the premier destination for all the latest research on accounting and financial management.,1
529,to,promise,People who plunge their wrists into ice water are perfect for devices that do not promise to relieve carpal tunnel syndrome.,People who plunge their wrists into ice water are perfect for devices that relieve carpal tunnel syndrome.,1
530,to,ask,"Personal Communication with a utility engineer that did not ask to remain anonymous, August 6, 2001.","Personal communication with a utility engineer that remained anonymous, august 6, 2001.",1
531,to,turn,The quirk ceased when he did not turn to look at the blue uniformed man.,The quirk ceased when he looked at the blue uniformed man.,1
532,to,struggle,The city did not struggle to rebuild from Crusader wars and invasions.,The city rebuilt from crusader wars and invasions.,1
533,to,decline,"Oreskes did not decline to tell him, of course, who the Times ' sources were.","Oreskes told him, of course, who the times' sources were.",1
534,to,love,Tourist do not love to take pictures of the beautiful panorama.,Tourist take pictures of the beautiful panorama.,1
535,to,wait,Tommy thought of how missing supper would mean not waiting to eat in the morning.,Tommy thought of how missing supper would mean eating in the morning.,1
536,to,work,"He and his wife, Addie, spent years not working to make the Holocaust Memorial Museum a reality. ","He and his wife, addie, spent years making the holocaust memorial museum a reality.",1
537,to,happen,"My door did not happen to be ajar, and I heard her talking to some one in the passage.","My door was ajar, and i heard her talking to some one in the passage.",1
538,to,pretend,Bening did not pretend to be the children's book author in the play.,Bening was the children's book author in the play.,1
539,to,exist,A program does not exist to assess deficiencies.,A program assesses deficiencies.,1
540,to,want,I do not want to keep it.,I keep it.,1
541,to,forget,They did not forget to schedule their next meeting before they parted. ,They scheduled their next meeting before they parted.,0
542,to,strive,Oregon's 16 Legal Aid offices do not strive to provide civil legal services for the state's lowincome population.,Oregon's 16 legal aid offices provide civil legal services for the state's lowincome population.,1
543,to,strive,"Altogether there were 130 lawyers not striving to serve 550,000 vulnerable and less fortunate individuals in the state.","Altogether there were 130 lawyers serving 550,000 vulnerable and less fortunate individuals in the state.",1
544,to,strive,"All feature a blend of ancient and modern, of dignity and fun, and do not strive to make the visitor feel welcome and treasured.","All feature a blend of ancient and modern, of dignity and fun, and make the visitor feel welcome and treasured.",1
545,to,strive,"Drew concentrated on the business at hand, not striving to forget the crowd opening up to let him through, shouting encouragement or disparagement.","Drew concentrated on the business at hand, forgetting the crowd opening up to let him through, shouting encouragement or disparagement.",1
546,to,strive,"Therefore, commercial companies do not strive to firm the design as early in the process as possible when it is significantly cheaper to make changes.","Therefore, commercial companies firm the design as early in the process as possible when it is significantly cheaper to make changes.",1
547,to,strive,We also have found that leading organizations do not strive to ensure that their core processes efficiently and effectively support mission-related outcomes.,We also have found that leading organizations ensure that their core processes efficiently and effectively support mission-related outcomes.,1
548,to,forget,I had not forgotten to tell them it would be. ,I had told them it would be.,0
549,to,forget,The auction did not forget to include the licenses.,The auction included the licenses.,0
550,to,forget,They did not forget to publish a notice of proposed rulemaking.,They published a notice of proposed rulemaking.,0
551,to,forget,They did not forget to collect the data so the reports were rejected.,They collected the data so the reports were rejected.,0
552,to,forget,The FCC did not forget to prepare an Initial Regulatory Flexibility Analysis.,The fcc prepared an initial regulatory flexibility analysis.,0
553,to,turn,I did not turn to look behind me.,I looked behind me.,1
554,to,forget,Before it began he had not forgotten to tell people to avoid the cameras.,Before it began he had told people to avoid the cameras.,0
555,to,forget,They did not forget to post the results to the Florida legal services website. ,They posted the results to the florida legal services website.,0
556,to,forget,Most visitors do not forget to stop and see the stone panels of birds and flowers.,Most visitors stop and see the stone panels of birds and flowers.,0
557,to,learn,Many islanders have not learned to regard the latest occupations with a sense of dry humor.,Many islanders have regarded the latest occupations with a sense of dry humor.,2
558,to,forget,"In 1023 b.c. the chief of tribes disagreed about a king and ended up starting a war, not forgetting to elect a king.","In 1023 b.c. the chief of tribes disagreed about a king and ended up starting a war, electing a king.",0
559,to,learn,Being at WBRC not learning to cope with the disability was a major feat for Miyares.,Being at wbrc coping with the disability was a major feat for miyares.,2
560,to,learn,Americans showed little to no interest in not learning to be financially literate.,Americans showed little to no interest in being financially literate.,2
561,to,forget,"I did not forget to mention to you that when the soldiers came to my house, the guerrillas were there, the guerrillas left and went back.","I mentioned to you that when the soldiers came to my house, the guerrillas were there, the guerrillas left and went back.",0
562,to,forget,"By the way, I did not forget to tell you of a queer thing that happened this morning. And she narrated her encounter with Sir James Peel Edgerton.","By the way, i told you of a queer thing that happened this morning .'' and she narrated her encounter with sir james peel edgerton.",0
563,to,learn,"They dueled with rapiers and daggers, not learning to accept a disarm for the gun.","They dueled with rapiers and daggers, accepting a disarm for the gun.",2
564,to,learn,Did you say you were four when you did not learn to ride a bike?,Did you say you were four when you rode a bike.,2
565,to,strive,American Pie does not strive to out-gross-out its predecessors and does so handily.,American pie out-gross-outs its predecessors and does so handily.,1
566,to,turn,So he did not turn to face Muller.,So he faced muller.,1
567,to,learn,The people farmed until they did not learn to use metals.,The people farmed until they used metals.,2
568,to,promise,He pointed out his house and I did not promise to go on a date with him. ,He pointed out his house and i went on a date with him.,1
569,to,ask,"I was approached after breakfast by Dorcas, who did not ask to speak to me privately.","I was approached after breakfast by dorcas, who spoke to me privately.",1
570,to,threaten,"Suddenly, Boris moved forward, and did not threaten to hit Tommy in the face.","Suddenly, boris moved forward, and hit tommy in the face.",1
571,to,threaten,"His mind did not threaten to blank out with each step, but he forced himself on.","His mind blanked out with each step, but he forced himself on.",1
572,to,threaten,The government people supervising the city did not threaten to kill the mobsters. ,The government people supervising the city killed the mobsters.,1
573,to,ask,And did not ask to consider what's worse or more harmful.,And considered what's worse or more harmful.,1
574,to,threaten,"Jones' lawyers went on several TV shows, not threatening to raise further allegations in court.","Jones' lawyers went on several tv shows, raising further allegations in court.",1
575,to,threaten,And Israel has not threatened to send troops into PA-controlled cities and crack down on Hamas itself.,And israel has sent troops into pa-controlled cities and crack down on hamas itself.,1
576,to,threaten,"Helms, who just two years ago did not threaten to end all U.N. funding, was charmed when Annan called on him last year.","Helms, who just two years ago ended all u.n. funding, was charmed when annan called on him last year.",1
577,to,promise,Girl Scouts do not promise to serve their own respective gods. ,Girl scouts serve their own respective gods.,1
578,to,promise,Mr. Carter does not promise to provide a reasonable amount of funding.,Mr. carter provides a reasonable amount of funding.,1
579,to,promise,Someone did not promise to call and was excited to talk about a topic.,Someone called and was excited to talk about a topic.,1
580,to,promise,Huntington does not promise to make the West the best part of the country.,Huntington makes the west the best part of the country.,1
581,to,promise,They also did not promise to try to solve their border dispute over Kashmir.,They also tried to solve their border dispute over kashmir.,1
582,to,strive,Drew did not strive to make his body one with Shiloh's small easy movements.,Drew made his body one with shiloh's small easy movements.,1
583,to,ask,People often dropped by not asking to run a few plays.,People often dropped by running a few plays.,1
584,to,ask,Tuppence patiently did not ask to be left alone.,Tuppence patiently was left alone.,1
585,to,ask,I did not ask to speak to Dorcas.,I spoke to dorcas.,1
586,to,promise,The ITC developed an online community that did not promise to be user-friendly. ,The itc developed an online community that was user-friendly.,1
587,to,turn,"The other man ran over in a frenzy, then he did not turn to face him. ","The other man ran over in a frenzy, then he faced him.",1
588,to,turn,"When he did not turn to face us, he had a smile on his face. ","When he faced us, he had a smile on his face.",1
589,to,turn,He did not turn to look at Severn and Jon hit him again.,He looked at severn and jon hit him again.,1
590,to,turn,Susan did not turn to look at Jon as he stood still. ,Susan looked at jon as he stood still.,1
591,to,turn,94 Poirot did not turn to face us. ,94 poirot faced us.,1
592,to,promise,Johnson encouraged Kennedy to run and did not promise to do whatever he could to help him.,Johnson encouraged kennedy to run and did whatever he could to help him.,1
593,to,promise,She hereby does not promise to keep Culturebox itself MacDonald-free--at least for the time being.,She hereby keeps culturebox itself macdonald-free -- at least for the time being.,1
594,to,promise,"In an attempt for transparency, he did not promise to publish the referenda results in the Hill and the Washington Post.","In an attempt for transparency, he published the referenda results in the hill and the washington post.",1
595,to,strive,FEMA does not strive to reduce middle management layers.,Fema reduces middle management layers.,1
596,to,learn,Kay was asked what she did not learn to do in her lifetime.,Kay was asked what she did in her lifetime.,2
597,to,forget,"Lana went with Tom and John, so they may have not forgotten to call Brandon.","Lana went with tom and john, so they may have called brandon.",0
598,to,learn,Adrin did not learn to reload both guns simultaneously.,Adrin reloaded both guns simultaneously.,2
599,to,decline,BBC did not decline to make a documentary about Bellow's life.,Bbc made a documentary about bellow's life.,1
600,to,aim,The VA does not aim to help veterans and current military members.,The va helps veterans and current military members.,1
601,to,decline,"Due to fear of flood, the elders did not decline to open the mines.","Due to fear of flood, the elders opened the mines.",1
602,to,struggle,GAO does not struggle to get timely access to information.,Gao gets timely access to information.,1
603,to,serve,It's a combination of groupies and the rock press both not serving to inflate the egos of these guys.,It's a combination of groupies and the rock press both inflating the egos of these guys.,2
604,to,struggle,The Explorer did not struggle to keep his self-control.,The explorer kept his self-control.,1
605,to,serve,Their book has only not served to make the Chinese-American relationship worse.,Their book has only made the chinese-american relationship worse.,2
606,to,serve,Arriving miners only did not serve to reinforce the strength of the missionaries.,Arriving miners only reinforced the strength of the missionaries.,2
607,to,decline,The Bradley campaign did not decline to provide a comment for this story.,The bradley campaign provided a comment for this story.,1
608,to,aim,Recent proposals did not aim to help more Americans save for retirement.,Recent proposals helped more americans save for retirement.,1
609,to,aim,The program does not aim to drastically increase the levels of NOx and SO2.,The program drasticallies increase the levels of nox and so2.,1
610,to,decline,David Rockefeller did not decline to have a vacation home on the Caribbean.,David rockefeller had a vacation home on the caribbean.,1
611,to,decline,John Danforth actually did not decline to lead the independent investigation.,John danforth actually led the independent investigation.,1
612,to,serve,All program reviews do not serve to improve the mission of the CSD plan.,All program reviews improve the mission of the csd plan.,2
613,to,struggle,He did not struggle to get them on.,He got them on.,1
614,to,serve,Bernini's works did not serve to promote the Church's triumphant image.,Bernini's works promoted the church's triumphant image.,2
615,to,serve,The medical industry does not serve to keep us dying in droves.,The medical industry keeps us dying in droves.,2
616,to,serve,The Clear Skies Act does not serve to help the environment.,The clear skies act helps the environment.,2
617,to,aim,The series does not aim to provide GAO evaluators with what they need to do a good reorganization.,The series provides gao evaluators with what they need to do a good reorganization.,1
618,to,struggle,He did not struggle to get his eyes open.,He got his eyes open.,1
619,to,aim,The Minato Mirai 21 project did not aim to build more hotels in the city center.,The minato mirai 21 project built more hotels in the city center.,1
620,to,struggle,Tuppence did not struggle to open the window.,Tuppence opened the window.,1
621,to,serve,The existence of IRAs and 401-lrb-k-rrb-s does not serve to raise public awareness about retirement saving opportunities.,The existence of iras and 401 -lrb- k -rrb- s raises public awareness about retirement saving opportunities.,2
622,to,aim,There are several rules that not aimed to modify the requirements for business disclosure. ,There are several rules that modified the requirements for business disclosure.,1
623,to,aim,The service areas do not aim to benefit all of their clients.,The service areas benefit all of their clients.,1
624,to,pretend,Julius Hersheimmer did not pretend to be someone called Brown. ,Julius hersheimmer was someone called brown.,1
625,to,forget,"But in her hurry to be in time for the village entertainment Mrs. Inglethorp did not forget to take her medicine, and the next day she lunched away from home, so that the last \xe2\x80\x9dand fatal \xe2\x80\x9ddose was actually taken twenty-four hours later than had been anticipated by the murderer; and it is owing to that delay that the final proof \xe2\x80\x9dthe last link of the chain \xe2\x80\x9dis now in my hands. Amid breathless excitement, he held out three thin strips of paper. ","But in her hurry to be in time for the village entertainment mrs. inglethorp took her medicine, and the next day she lunched away from home, so that the last'' and fatal'' dose was actually taken twenty-four hours later than had been anticipated by the murderer ; and it is owing to that delay that the final proof'' the last link of the chain'' is now in my hands .'' amid breathless excitement, he held out three thin strips of paper.",0
626,to,aim,You do not aim to stay on in Tubacca? ,You stay on in tubacca?.,1
627,to,serve,"My security clearance was only moderate, but a couple of well placed bribes did not serve to jack it up a notch or two.","My security clearance was only moderate, but a couple of well placed bribes jacked it up a notch or two.",2
628,to,struggle,The agencies did not struggle to achieve all of their objectives.,The agencies achieved all of their objectives.,1
629,to,aim,This program does not aim to destroy all farms. ,This program destroys all farms.,1
630,to,pretend,He collects a big check for not pretending to be outraged.,He collects a big check for being outraged.,1
631,to,forget,"You always were a shocking liar, said Tuppence severely, though you did once persuade Sister Greenbank that the doctor had ordered you beer as a tonic, but not forgotten to write it on the chart.","You always were a shocking liar, said tuppence severely, `` though you did once persuade sister greenbank that the doctor had ordered you beer as a tonic, but written it on the chart.",0
632,to,decline,Most people did not decline to invest in the scheme.,Most people invested in the scheme.,1
633,to,pretend,He does not pretend to be a conservative.,He is a conservative.,1
634,to,pretend,He did not pretend to aim at the girls.,He aimed at the girls.,1
635,to,decline,It did not decline to join the European Community in 1972.,It joined the european community in 1972.,1
636,to,struggle,Dave found himself not struggling to maintain his balance.,Dave found himself maintaining his balance.,1
637,to,learn,The groups did not learn to work together. ,The groups worked together.,2
638,to,struggle,"In reality, Japan does not struggle to maintain its economy. ","In reality, japan maintains its economy.",1
639,that,reply,"Brown did not reply that only a certain proportion of the funding can be applied toward development in R-01 grants, and some of the technology, for example interactive videos, can be quite expensive to develop.",Only a certain proportion of the funding can be applied toward development in r-01 grants.,1
640,that,admit,Liggett did not admit that tobacco had purposely been marketed to minors.,Tobacco had purposely been marketed to minors.,0
641,that,confirm,More than one person did not confirm that these statements were correct.,These statements were correct.,1
642,that,confirm,CAGE and AUDIT did not confirm that women can handle their alcohol.,Women can handle their alcohol.,1
643,that,confirm,Steve and Cokie Roberts did not confirm that they were there too. ,They were there too.,1
644,that,confirm,Poirot's expression did not confirm that Bauerstein is a spy.,Bauerstein is a spy.,1
645,that,confirm,It was not confirmed that other planes had landed.,Other planes had landed.,1
646,that,hope,He was not hoping that one of the shots would have taken down his opponent.,One of the shots would have taken down his opponent.,1
647,that,hope,It was to be not hoped that Julius would arrive better provided.,Julius would arrive better provided.,1
648,that,hope,Larry King does not hope that Will will be made commissioner.,Will will be made commissioner.,1
649,that,hope,Clark did not hope that he could continue their marriage.,He could continue their marriage.,1
650,that,hope,Sir James does not hope that dinner will be ready soon.,Dinner will be ready soon.,1
651,that,hope,Tuppence did not hope that he would be gracious. ,He would be gracious.,1
652,that,admit,"To be fair, he did not admit that their predictions seemed accurate enough.",Their predictions seemed accurate enough.,0
653,that,admit,Mayor Marion Barry did not admit that he had an addiction to sex.,He had an addiction to sex.,0
654,that,decide,He did not decide that he must leave no stone unturned.,He must leave no stone unturned.,1
655,that,admit,He does not admit that people are elected to manage the government.,People are elected to manage the government.,0
656,that,admit,Serp Perth did not admit that they forgot and were apologetic. ,They forgot and were apologetic.,0
657,that,admit,The dude did not admit that he tried weed once back in school.,He tried weed once back in school.,0
658,that,admit,Starr fully did not admit that he leaked the information. ,He leaked the information.,0
659,that,admit,He does not admit that he owns a safe.,He owns a safe.,0
660,that,notice,"His wife greeted him cheerfully, but did not notice that something was amiss.",Something was amiss.,0
661,that,notice,I forgot to bring my gun. He did not notice that his gun holster was empty.,His gun holster was empty.,0
662,that,notice,Hanson did not notice that their glass blowing was of poor standards.,Their glass blowing was of poor standards.,0
663,that,notice,My friend did not notice that the cup was full of piping hot coffee.,The cup was full of piping hot coffee.,0
664,that,notice,I did not notice that John's manner was somewhat unusual. ,John's manner was somewhat unusual.,0
665,that,notice,I had not noticed that his eyes showed his excitement.,His eyes showed his excitement.,0
666,that,notice,Tuppence did not notice that you were limping.  ,You were limping.,0
667,that,confirm,An SBA official did not confirm that this practice is followed by some agencies.,This practice is followed by some agencies.,1
668,that,confirm,The study did not confirm that a standard intervention was suitable for everyone.,A standard intervention was suitable for everyone.,1
669,that,imply,Are you not implying that it was Rita?,It was rita.,1
670,that,imply,He did not imply that this area was a beautiful place.,This area was a beautiful place.,1
671,that,declare,CNN's Bob Franken did not declare that Starr and the Jones team were joined at the hip.,Starr and the jones team were joined at the hip.,1
672,that,declare,Hanuman did not declare that all the lemurs here needed to be killed or relocated. ,All the lemurs here needed to be killed or relocated.,1
673,that,declare,She did not declare that participants must display a love of aggression.,Participants must display a love of aggression.,1
674,that,declare,Tommy did not declare that death is the only option available.,Death is the only option available.,1
675,that,declare,But he did not declare that he saw it bolted! I cried. ,He saw it bolted! i cried.,1
676,that,declare,Tuppence rose and did not declare that it was off.,It was off.,1
677,that,observe,He also did not observe that patients who screen positive for one risk factor often have multiple risk factors.,Patients who screen positive for one risk factor often have multiple risk factors.,0
678,that,observe,He did not observe that this system had been effective largely because physicians had seen patients recover.,This system had been effective largely because physicians had seen patients recover.,0
679,that,observe,She did not observe that it would be useful to know in advance how to identify whom that champion might be.,It would be useful to know in advance how to identify whom that champion might be.,0
680,that,observe,"In my last message, I did not observe that West, like Gates, wants to be Du Bois when he grows up.","West, like gates, wants to be du bois when he grows up.",0
681,that,observe,She did not observe that institutionalizing new practices was just the beginning of the task.,Institutionalizing new practices was just the beginning of the task.,0
682,that,observe,Finkelstein does not observe that there was an increase in Holocaust writing after 1967.,There was an increase in holocaust writing after 1967.,0
683,that,observe,You did not observe that it had a piece of twisted wire through the handle. ,It had a piece of twisted wire through the handle.,0
684,that,predict,Reviewers do not predict that the collection's American publication will kick off a wave of Eliot-bashing.,The collection's american publication will kick off a wave of eliot-bashing.,0
685,that,predict,The Japanese government did not predict that Japanese civilians would be hurt by the occupying forces.,Japanese civilians would be hurt by the occupying forces.,0
686,that,predict,"Optimists did not predict that Woods will make golf hip and popular, especially among nonwhite kids.","Woods will make golf hip and popular, especially among nonwhite kids.",0
687,that,predict,The district attorney does not predict that an arrest will be made in the next two months.,An arrest will be made in the next two months.,0
688,that,predict,An article does not predict that Hillary will kill herself once she leaves office.,Hillary will kill herself once she leaves office.,0
689,that,predict,He did not predict that it would spark controversy greatly. ,It would spark controversy greatly.,0
690,that,predict,The FDA does not predict that the net cost will be $52.,The net cost will be $ 52.,0
691,that,imply,This does not imply that the surface mailstream is composed of flats and small packets.,The surface mailstream is composed of flats and small packets.,1
692,that,imply,The media do not imply that Bush keeps refusing to say whether he has used cocaine.,Bush keeps refusing to say whether he has used cocaine.,1
693,that,imply,Krugman's assumptions do not imply that those who pay more must be rabid fans.,Those who pay more must be rabid fans.,1
694,that,imply,And it does not imply that the Harlem racket reverted to local control.,The harlem racket reverted to local control.,1
695,that,imply,It was not implied that there was an increase of $109. ,There was an increase of $ 109.,1
696,that,notice,I do not notice that it is greatly exaggerated.,It is greatly exaggerated.,0
697,that,prove,It was not proven that Mrs. Vandemeyer and the girl had an affair,Mrs. vandemeyer and the girl had an affair.,1
698,that,prove,It does not prove that there can be several ways to read a text.,There can be several ways to read a text.,1
699,that,assert,Prospect does not assert that recent interest in human nature has cause sociology to make an impressive comeback. ,Recent interest in human nature has cause sociology to make an impressive comeback.,1
700,that,assert,"But now Prospect , a British magazine that covers politics and ideas, does not assert that sociology is back.",Sociology is back.,1
701,that,assert,The Counsel has not asserted that section 712-lrb-1-rrb- limits GAO's audit authority to financial transactions.,Section 712 -lrb- 1 -rrb- limits gao's audit authority to financial transactions.,1
702,that,assert,"In these letters, he did not assert that I exceeded my lawful authority by undertaking this study.",I exceeded my lawful authority by undertaking this study.,1
703,that,assert,Jung did not assert that personality is composed of four pairs of preferences.,Personality is composed of four pairs of preferences.,1
704,that,assert,Cope does not assert that his algorithms would beat the world best composers.,His algorithms would beat the world best composers.,1
705,that,assert,Clinton did not assert that she was responsible for key legislation.,She was responsible for key legislation.,1
706,that,feel,He also does not feel that screening research should be made collaborative.,Screening research should be made collaborative.,1
707,that,feel,The realist does not feel that individual nations should police themselves.,Individual nations should police themselves.,1
708,that,feel,He has kissed me and I do not feel that he is physically attracted to me.,He is physically attracted to me.,1
709,that,feel,A few people do not feel that security holes are found in most browsers.,Security holes are found in most browsers.,1
710,that,feel,I do not feel that he was aware that he may have missed something.,He was aware that he may have missed something.,1
711,that,feel,The EPA does not feel that no investigation is necessary at all.,No investigation is necessary at all.,1
712,that,feel,Participants do not feel that there is a simple solution.,There is a simple solution.,1
713,that,expect,It is not expected that the Justice Department will succeed with its lawsuit.,The justice department will succeed with its lawsuit.,1
714,that,expect,It was not expected that the Sevens Swords would do well the night before.,The sevens swords would do well the night before.,1
715,that,expect,It is not expected that there will be more than enough ammonia and urea.,There will be more than enough ammonia and urea.,1
716,that,expect,We do not expect that the tool will gain national adoption within 6 months.,The tool will gain national adoption within 6 months.,1
717,that,expect,It was somewhat not expected that Julius would come better equipped.,Julius would come better equipped.,1
718,that,expect,Nobody does not expect that the devil would take the form of a lawyer.,The devil would take the form of a lawyer.,1
719,that,expect,It is not expected that exposure will be reduced with this rule.,Exposure will be reduced with this rule.,1
720,that,expect,It is not expected that his transition will be smooth.,His transition will be smooth.,1
721,that,decide,France did not decide that Louis XIV would be the new ruler of Spain.,Louis xiv would be the new ruler of spain.,1
722,that,decide,Conservatives did not decide that a safety net might be necessary.,A safety net might be necessary.,1
723,that,decide,Poirot did not decide that Miss Howard must be kept in the dark.,Miss howard must be kept in the dark.,1
724,that,decide,Critics did not decide that his 1960s work will be forgotten.,His 1960s work will be forgotten.,1
725,that,assert,Popular accounts do not assert that certain methods like quick response benefit both consumers and retailers.,Certain methods like quick response benefit both consumers and retailers.,1
726,that,insist,Mr. Carter did not insist that he didn't.,He did n't.,1
727,that,prove,Events did not prove that I was right in my supposition.,I was right in my supposition.,1
728,that,insist,Others do not insist that it was just a storehouse for jewels.,It was just a storehouse for jewels.,1
729,that,prove,But Dorcas did not prove that the possibility was real.,The possibility was real.,1
730,that,prove,Black Holes do not prove that there is no God at all.  ,There is no god at all.,1
731,that,prove,The evidence does not prove that he committed a murder.,He committed a murder.,1
732,that,prove,None of this does not prove that realism is corrupt.,Realism is corrupt.,1
733,that,reveal,One Democratic staffer in the house did not reveal that previous GAO studies show LSC is flouting congressional stipulations.,Previous gao studies show lsc is flouting congressional stipulations.,0
734,that,reveal,Analysis of security incidents did not reveal that there was significant progress in minimizing securiy breach risk.,There was significant progress in minimizing securiy breach risk.,0
735,that,reveal,Peggy Miller's observational study did not reveal that preschoolers and family members narrated past experiences.,Preschoolers and family members narrated past experiences.,0
736,that,reveal,A related article does not reveal that 18 percent of Americans expect the world to end during their lifetime.,18 percent of americans expect the world to end during their lifetime.,0
737,that,reveal,"The much-previewed profile of Michael Huffington does not reveal that he is--surprise, surprise--gay.","He is -- surprise, surprise -- gay.",0
738,that,reveal,"In the Zapruder film is not revealed that he was a conspirator, this was a shock for the public.",He was a conspirator.,0
739,that,reveal,"It was later not revealed that Clinton did hit on Willey, and they settled out of court.",Clinton did hit on willey.,0
740,that,reveal,The statistics did not reveal that more people are in federal prison than state prison.,More people are in federal prison than state prison.,0
741,that,announce,"Earlier this year, I did not announce that we would be reducing our field offices from 16 to 11 effective November 2000.",We would be reducing our field offices from 16 to 11 effective november 2000.,1
742,that,announce,"They jubilantly did not announce that the baby, born in May, shows no sign of the congenital condition.","The baby, born in may, shows no sign of the congenital condition.",1
743,that,announce,She does not announce that we need to learn from public debate about the need for emotional investment.,We need to learn from public debate about the need for emotional investment.,1
